w1,w2,w3,w4
ครานั้นจึงโฉมเจ้าพลายแก้ว,แม่กับเมียไปแล้วก็จัดสรร,เครื่องอานว่านยาสารพัน,สำหรับกันอาวุธไม่ไว้ใจ
รีบไปหาท่านผู้รับสั่ง,แล้วยับยั้งค้างอยู่ที่เคหา,จนแจ่มแจ้งแสงศรีสุริยา,ก็เข้ามาเฝ้าองค์พระทรงธรรม์
ปราบลาวให้ละเอียดลงเป็นแป้ง,จะเรืองฤทธิ์เรี่ยวแรงดังราชสีห์,กูจะให้อาวุธไปราวี,ดาบนี้ที่ด้ามประจุพราย
ประทานผ้ายกดีสีสะอาด,สนับเพลาเจียระบาดอันเฉิดฉาย,ทั้งหมวกตุ้มปี่มีระบาย,พลายแก้วกราบถวายบังคมลา
ออกไปยังศาลาลูกขุน,ชุลมุนพวกพหลพลอาสา,ตรวจพร้อมเสร็จสรรพแล้วรับตรา,ลาท่านผู้ใหญ่ท่านให้พร
ได้ฤกษ์เลิกพลพยุหบาตร,เกลื่อนกลาดคั่งคับสลับสลอน,ยกออกมานอกพระนคร,ทั้งช้างม้าหมู่นิกรโยธี
เสื้อแสงแดงดาดดูสง่า,ถือสาตราอาวุธมาอึงมี่,ธงเทียวเถือกทุ่งลุมพลี,ฆ้องตีหึ่งโห่สนั่นนาน
ถึงปากบางลางอยู่ข้างหนึ่ง,ยกพลข้ามถึงข้างฟากบ้าน,ปลงหาบยาบเยิบสาแหรกยาน,ถอดคานคึกคักพักผู้คน
กินอยู่พูวายสำเร็จแล้ว,พลายแก้วจึงสั่งพวกพหล,ให้เร่งเคลื่อนไคลคลายาตราพล,ไปอยู่ต้นทางที่จะคลาศคลาย
ปลงวางช้างม้าอยู่ท่ากู,เที่ยวอยู่ที่ศาลาวัดป่าฝ้าย,พวกพลโยธากราบลานาย,ขยายยกกองทัพไปฉับพลัน
พลายแก้วอยู่เดียวก็เหลียวแล,เห็นแม่กับพิมจอดอยู่นั่น,ลงจากศาลามาหากัน,ปรึกษาสำคัญทั้งสามคน
ไปทัพทางไกลไม่รู้เหตุ,จะสังเกตปลูกโพธิ์ไว้สามต้น,ถ้าแม้นจะย่อยยับถึงอับจน,ขอให้โพธิ์พิกลไปเหมือนกัน
นั่งปรึกษากันมิทันช้า,ให้เที่ยวหาหน่อโพธิ์ขมีขมัน,ค่อยขุดมิให้ฉุดกระชากฟัน,ดินนั้นพันพอกไว้ดิบดี
ยกลงเรือแล้วก็ข้ามฟาก,ผลักหัวเรือบากไปถึงที่,ขึ้นบกยกโพธิ์มาทันที,มีต้นไม้ใหญ่ได้สำคัญ
จึงแต่งเครื่องบัตรพลีบูชา,บวงสรวงเทวดาที่อยู่นั่น,ขุดหลุมแล้วพิษฐานพลัน,ปลูกกันคนละต้นนั่งบนไป
ทองประศรีนั้นพิษฐานก่อน,ถ้าม้วยมรณ์ชีวาหารอดไม่,ให้ต้นโพธิ์ของข้านั้นบรรลัย,ถ้าตัวไข้โพธิ์ไข้เหมือนตัวเป็น
แม้นตัวอยู่ดีมีสุข,ความทุกข์ไม่กำเนิดเกิดเข็ญ,ขอให้โพธิ์ชุ่มชอุ่มเย็น,ให้เห็นประจักษ์อยู่แก่ตา
ว่าแล้วเท่านั้นด้วยทันใด,ยกต้นโพธิ์ใส่ไว้หลุมหน้า,เจ้าพลายไหว้วอนแก่เทวา,ตัวข้าจะขึ้นไปชิงชัย
แม้นจะมีชัยแก่ไพรี,ขอให้โพธิ์ต้นนี้งอกงามไสว,ถ้าแม้นจะอาสัญบรรลัย,ขอให้โพธิ์ข้านี้ตายตาม
แม้นตัวข้านี้มิป่วยไข้,ขอให้โพธิ์สุกใสเรืองอร่าม,ถ้าสำเร็จณรงค์สงคราม,ขอให้งามเขียวชอุ่มเป็นพุ่มชัฏ
อธิษฐานแล้วพลันทันใด,ยกต้นโพธิ์ใส่ในหลุมอัด,รากรอมพร้อมสิ้นเอาดินยัด,น้ำตาพิมเจ้าก็หยัดกระเด็นลง
ยกมือกราบกรานเทพารักษ์,สะอื้นไห้ฮักฮักตะลึงหลง,ประคองต้นโพธิ์น้อยละห้อยงง,ขอเดชะเทพทรงศักดาฤทธิ์
โพธิ์ทองของพิมพิษฐาน,ถ้าอยู่บ้านตัวตายวายดับจิตร,ขอให้โพธิ์ตายตามอย่างามชิด,มาดแม้นคงชีวิตไม่บรรลัย
ขอให้โพธิ์ชุ่มชื่นระรื่นร่ม,น้ำสุรามฤตพรมไม่เปรียบได้,ถ้าตัวไข้ไผ่ผอมตรอมใจ,ใบโพธิ์จงสลดลงหลากตา
ครั้นพิษฐานแล้วจึงปลูกลง,นํ้าตาตกซกสรงลงโซมหน้า,พูนพวนถ้วนสิ้นทุกหลุมมา,นํ้ารดปลดผ้าสไบพลัน
ทั้งสามผืนผ้าพับลงไว้,ประจงใจแล้วก็ห่มประจำมั่น,ขอเดชะผ้านี้ที่ผูกพัน,ห่มโพธิ์สำคัญทั้งสามคน
จะเกิดไปในภพชาติหน้า,ขอให้ข้าพบกันให้จงได้,ร้อยกัปแสนกัลป์อนันต์ไกล,พบกันไปตราบเท่าเข้านิพพาน
ครั้นห่มโพธิ์เสร็จสรรพทั้งสามต้น,สามคนจากที่พิษฐาน,ลงเรือพร้อมกันมิทันนาน,บ่าวคํ้าเรือกรานออกพายไป
จอดวัดป่าฝ้ายที่ท้ายเขื่อน,เตือนคนขนของไม่ช้าได้,บรรทุกหลังช้างพลันทันใด,พลายแก้วแววไวไหว้มารดา
ทองประศรีอวยพรสถาผล,จงสวัสดิมงคลไปภายหน้า,นางพิมไหว้พลันกลั้นนํ้าตา,สะอื้นออกปากว่าไปจงดี
เจ้าพลายแก้วสั่งพิมพิลาไลย,สงวนใจสงวนรักไว้ท่าพี่,แล้วเด็ดรักหักใจจรลี,ย่างขึ้นจากที่นาวาพลัน
ทองประศรีกับพิมพิลาไลย,บ่าวไพร่ก็ผลักหัวเรือหัน,ผัวเมียชะแง้แลดูกัน,น้ำตาหยดอดกลั้นจนลับไป
ครานั้นจึงโฉมเจ้าพลายแก้ว,แม่กับเมียไปแล้วละห้อยหา,ตระเตรียมพร้อมกันทันเวลา,ช้างม้าหาบคอนสลอนไป
แฟ้มโพล่โย้ยานอยู่ยาบยาบ,หัวปลาอ้างาบดังกาบไผ่,กลักพริกกลักขิงกริ่งกร่างไป,แกว่งไกวเยิ่นเยิ่นเดินตามกัน
