w1,w2,w3,w4
มาจะกล่าวถึงแสนคำแมน,เป็นนายแคว้นหมู่บ้านจอมทองใหญ่,กับนางศรีเงินยวงผู้ดวงใจ,รักใคร่ได้กันแต่ก่อนมา
สองเถ้ามีลูกสาวชื่อลาวทอง,ปกป้องพิทักษ์รักษา,เจริญรุ่นละมุนทั้งกายา,อายุได้สิบห้าปีปลาย
งามปลั่งดังบัวขึ้นบนนํ้า,ยังไม่ต้องแดดช้ำเมื่อยามสาย,ไฝฝ้าหน้านางไม่มีระคาย,ไหล่ผายเอวกลมดังแกล้งรัด
ชายใดยังมิได้จะมาต้อง,ด้วยทั้งสองพี่เลี้ยงเขาเจนจัด,นางเวียงนางวันนั้นสันทัด,ปรนนิบัติปกไว้ในห้องนอน
เมื่อนายพลายแก้วมาตีเวียง,ชาวบ้านหลีกเลี่ยงไปซุ่มซ่อน,ถูกไทยไล่แตกเข้าดงดอน,เขาขับต้อนไว้ได้ก็มากมาย
เว้นแต่บ้านจอมทองของคำแมน,ยังหนาแน่นอยู่ได้ไม่ระสํ่าระสาย,ปลดปลอดรอดตัวด้วยนายพลาย,มิให้ทำอันตรายจึงอยู่ดี
ครั้นการทัพระงับสงบแล้ว,เจ้าพลายแก้วจะกลับไปกรุงศรี,เงินยวงภิริยากับสามี,ตรีตรึกนึกคุณของแม่ทัพ
ร้อยบ้านพันเมืองได้เคืองแค้น,หนีเแล่นป่นไปเขาไล่จับ,ล้มตายชายหญิงก็ย่อยยับ,เขาระงับเป็นสุขแต่บ้านเรา
บัดนี้เขาจะกลับไปเมืองใต้,เขาจะทำอย่างไรไม่รู้เท่า,จะมานั่งนิ่งอยู่เหมือนดูเบา,ฉวยถ้าเขากวาดกว้านบ้านจอมทอง
จะพากันย่อยยับอัปภาคย์,ได้ทุกข์ยากไปหมดทั้งบ้านช่อง,ยายตาปรึกษากันปรองดอง,ลาวทองลูกเราผู้ร่วมใจ
จะพาไปยกให้เป็นคำนับ,แม่ทัพเห็นทีจะรักใคร่,ถึงลูกเราจะเข้าไปกรุงไทย,พอจะออกหน้าได้ไม่อับอาย
แม่ทัพชุบเลี้ยงเจ้าลาวทอง,คงมิให้พวกพ้องต้องระส่ำระสาย,ชาวบ้านก็จะเป็นสุขสบาย,ไม่ต้องหวั่นอันตรายที่ทัพไทย
ครั้นตกลงปลงใจกันทั้งสอง,จึงเรียกเจ้าลาวทองพิสมัย,นางเวียงนางวันมาทันใด,นั่งใกล้สองเถ้าแล้วเล้าโลม
โอ้เจ้าลาวทองของพ่อแม่,เป็นสาวแส่บริสุทธิ์สวาดิโฉม,ศึกเสือเหนือใต้มาไล่โรม,ข้าวยากหมากโทรมทุกสิ่งไป
