w1,w2,w3,w4
จะกล่าวถึงพระองค์ทรงสวัสดิ,เนาในปรางค์รัตน์จำรัสหล้า,ครั้นพระสุริย์ใสได้เวลา,เสด็จออกข้างหน้าไม่ช้าที
จึงพระหมื่นศรีเสาวรักษ์ราช,อภิวาทประนมก้มเกศี,กราบทูลเบิกความตามคดี,บัดนี้ได้ตัวขุนแผนมา
ครานั้นพระองค์ได้ทรงฟัง,กริ้วดังตละไฟไหม้เวหา,ยังมิทันทราบความตามสารา,โกรธากระทืบพระโรงชัย
มันดีแล้วเป็นไรไม่เหาะเหิน,มุดหัวเดินมาทำไมนั่น,เมืองไหนจับได้ให้รางวัล,จำกันฤๅเปล่าเมื่อเอามา
ครานั้นจึงพระจมื่นศรี,อัญชลีบังคมก้มเกศา,ทูลความตามบอกมิทันช้า,ชีวาอยู่ใต้บาทบงสุ์
ขุนแผนเข้าหาพระพิจิตร,ยอมตัวกลัวผิดให้บอกส่ง,จองจำทำกันเป็นมั่นคง,ว่าตัวซื่อตรงไม่คิดคด
ครั้นถามขุนแผนกับวันทอง,ก็ให้การถูกต้องกันอยู่หมด,ว่าขุนช้างทำแค้นจึงแทนทด,มิได้คิดทรยศขบถใจ
เดิมวันทองยังชื่อว่าพิมอยู่,ได้ขอสู่มารดานั้นยกให้,ปลูกหอส่งตัวรู้ทั่วไป,อยู่ได้สามวันไม่เคลื่อนคลาย
มีทัพเชียงทองต้องขึ้นไป,มิได้หย่าร้างระคางขาย,ขุนช้างมาบอกกับแม่ยาย,ว่าขุนแผนไปตายเสียกลางทัพ
แล้วสู่ขอปลูกหอแต่งงาน,ครั้นว่าเสร็จราชการขุนแผนกลับ,มิได้ฟ้องชู้เมียให้เสียทรัพย์,จึงอยู่กับลาวทองแต่นั้นมา
ครั้นมาเข้าเวรที่ในวัง,ขุนช้างชิงชังริษยา,ทูลว่าปีนกำแพงพระพารา,มุสาใส่โทษแต่โดยเดา
ไม่อาจทูลความจริงต้องนิ่งไว้,เพราะจนใจด้วยตัวนั้นห้ามเฝ้า,จึงเลยเป็นคนหลบซบเซา,ลาวทองก็ต้องเข้าไปอยู่วัง
ขุนแผนแค้นเคืองนายขุนช้าง,จึงลักนางวันทองไปเสียมั่ง,ข้อซึ่งฆ่านายไพร่ในป่ารัง,ก็รู้ว่าโทษกระทั่งถึงที่ตาย
มิให้จับกลับมาลุแก่โทษ,ถ้ามิโปรดชีวิตขอถวาย,ด้วยคิดถึงพระคุณไม่วุ่นวาย,สิ้นบอกก็ถวายบังคมพลัน
ครานั้นพระองค์ผู้ทรงเดช,ปิ่นปักนัคเรศรังสรรค์,ทรงฟังใบบอกออกสำคัญ,พระทรงธรรม์เคลื่อนคลายพระโกรธา
เร่งไปเอาขุนแผนอีวันทอง,ทั้งสองมากูจะดูหน้า,ตำรวจรับสั่งถอยหลังมา,พาตัวขุนแผนวันทองไป
ครั้นถึงบังคมประนมกร,พระเคืองค้อนหาทอดพระเนตรไม่,ขุนแผนอ่านมนตร์เคยสนใจ,เป่าไปด้วยเชื่อวิทยา
กลับมาให้การแก้ว่าแม่ยาย,ยักย้ายให้ลูกมีผัวใหม่,เมียมึงเหมือนว่าฤๅกะไร,จะสู้เขาได้ฤๅจึงมา
ขุนแผนแสนสุภาพกราบกราน,ขอพระราชทานจริงเหมือนอย่างว่า,ถ้าวันทองนี้มิใช่ภรรยา,สืบหาไม่สมดังให้การ
เกล้ากระหม่อมยอมถวายซึ่งชีวิต,ตามผิดอย่าไว้ให้สังหาร,ทูลแล้วบังคมก้มกราบกราน,อยู่ตรงหน้าฉานพระทรงธรรม์
ครานั้นพระองค์ผู้ทรงภพ,ฟังจบใจความที่ข้อขัน,กูจะดูมันสู้เนื้อความกัน,ถ้าใครแพ้จะฟันให้หนำใจ
ที่มึงฆ่าอ้ายขุนเพชรขุนราม,ความผิดทั้งนี้กูยกให้,ด้วยมิได้คิดคดขบถใจ,ถอดมันออกให้สู้ความกัน
พระหมื่นศรีรับสั่งบังคมลา,พาทั้งสองมาขมีขมัน,ให้ถอดตรวนผัวเมียเสียฉับพลัน,แล้วสั่งตำรวจนั้นให้เร่งไป
ถึงเมืองสุพรรณอย่าทันช้า,เอาตัวขุนช้างมาให้จงได้,ตำรวจขี่ม้ามาทันใจ,ใกล้บ้านขุนช้างเข้าทันที
จะกล่าวถึงเจ้าจอมหม่อมขุนช้าง,นอนครางอยู่ในห้องให้หมองศรี,แต่วันทองจากไปได้เกือบปี,ไม่มีเพื่อนนอนสะท้อนทุกข์
มิได้นอนค่อนคืนตื่นสะดุ้ง,ใกล้รุ่งก่อนไก่ไม่พักปลุก,กระทั่งถูกฟูกหมอนเหมือนไฟลุก,แต่เวียนจุกประจุบันทุกวันคืน
ขณะเมื่อวันทองมาถึงกรุง,ตลอดรุ่งหลับใหลมิได้ตื่น,วันนั้นฝันว่าไปตัดฟืน,น้ำตื้นลุยปะสระหนึ่งโต
เห็นดอกบัวบานตระการตา,เกสรครํ่าคร่ากลีบกลวงโหว่,จะถอนเอาไม่ถนัดขัดต้นโพธิ์,โงหน้าสะดุ้งพอรุ่งราง
คิดถึงความฝันก็พรั่นอก,ให้วิตกนิ่งนึกอางขนาง,ฤๅจะได้กับวันทองน้องนาง,เกสรร่วงกลวงกลางเพราะชู้ชม
มันให้คิดวุ่นวายมาหลายวัน,วันนั้นตะวันบ่ายชายร่ม,ออกมาหอนั่งเล่นพอเย็นลม,อารมณ์นึกคะนึงถึงวันทอง
ครานั้นจึงนายพันธการ,ถึงสุพรรณรีบผ่านบ้านช่อง,ลงม้าหน้าประตูดูเยี่ยมมอง,เห็นขุนช้างนั่งร้องสักระวา
ครวญถึงวันทองได้สองคำ,กลอนผิดติดซ้ำอยู่หนักหนา,จะลงเอยเลยเลี้ยวไปหลายครา,คอยท่าให้เอยจนอ่อนใจ
ขี้คร้านรั้งรอก็เข้ามา,ขุนช้างทักว่าจะไปไหน,พันธการบอกพลันทันใด,เขาได้ตัวขุนแผนวันทองมา
ให้การแนบเนียนเป็นเสี้ยนหนาม,จะเป็นความในวังรับสั่งหา,ไปเสียด้วยกันทันเวลา,อย่าช้าบัดนี้จงรีบไป
ครานั้นเจ้าจอมหม่อมขุนช้าง,ทราบว่าได้นางดังเกิดใหม่,ผุดลุกขึ้นโลดโดดดีใจ,วิ่งแร่เข้าไปที่ในเรือน
ไขกำปั่นเปิดหาผ้านุ่งห่ม,เรียกข้าระงมอยู่ป่นเปื้อน,น้ำใจโชติช่วงดังดวงเดือน,เบือนหน้ามาสั่งกับข้าไท
อยู่หลังระวังซึ่งบ้านช่อง,ข้าวของออเจ้าเอาใจใส่,สั่งแล้วลุกมาด้วยทันใด,ขึ้นช้างวางไปอยุธยา
ครั้นถึงปลงช้างไว้ทันใด,อาบน้ำสำราญใจแล้วผลัดผ้า,เดินตามพันธการลนลานมา,ขึ้นบนศาลาลูกขุนใน
เห็นขุนนางน้อยใหญ่ที่อยู่นั่น,แลเลยไปหาทันเห็นเมียไม่,หลีกแทรกแหวกคนด้นเข้าไป,นั่งไหว้พระหมื่นศรีผู้ปรีชา
ขุนแผนวันทองก็อยู่นั่น,ขุนช้างถลันขึ้นนั่งหน้า,ไหว้พลางทางถามเนื้อความมา,คุณเจ้าขาเมียฉันอยู่แห่งไร
พระหมื่นศรีชี้บอกว่านั้นแน,จะเป็นวันทองแน่ฤๅมิใช่,ขุนช้างเหลียวหน้าตาแลไป,ดีใจผวาคว้าวันทอง
วันทองหวีดว้ายตะกายอก,ขุนแผนชกเงื้อศอกแล้วซ้ำถอง,ถีบไถลไปพลันเข้ากันน้อง,ขุนช้างร้องบอกกล่าวมี่ฉาวไป
โอ้ว่าอนิจจาเจ้าวันทอง,ให้ชู้ถองแล้วมิหนำซ้ำผลักไส,เจ้าสิ้นรักหักเด็ดกระเด็นไป,พี่อาลัยมิได้ลืมสักเวลา
นี่จะมีลูกเต้าเจ้าวันทอง,สำคัญฤๅว่าท้องมาแต่ป่า,เมื่อเจ้าอยู่ในห้องของพี่ยา,เจ้าก็ขาดระดูมากว่าเดือนปลาย
