w1,w2,w3,w4
เจ้าพลายแก้วเข้าไปในบ้านแม่,ชำเลืองแลย่างกรายผายผัน,ในจิตรคิดแต่ทางสุพรรณ,โศกศัลย์ถึงน้องให้หมองใจ
โอ้เจ้าพิมผู้เพื่อนชีวิตพี่,ปานนี้เจ้าจะเศร้ากำสรดไห้,จะหมองศรีเพราะพี่นี้จากไกล,เหลืออาลัยแล้วเจ้าพิมของพี่เอย
มาด้วยก็จะได้มาไหว้แม่,ทุกข์แท้เหลือวิตกแล้วอกเอ๋ย,ผู้ใดใครจะให้เจ้าเสบย,เดินเลยขึ้นเรือนด้วยทันใด
ตรงเข้าเรือนแม่แลเห็นหน้า,กอดตีนมารดาน้ำตาไหล,ทองประศรีเห็นลูกตะลึงไป,เออแก้วแม่อย่างไรจึงสึกมา
เป็นไรพ่อจอมกระหม่อมแม่,ตั้งแต่ร้องไห้ไม่เงยหน้า,เงินทองเจ้าได้ที่ไหนมา,น้ำตาพลอยย้อยลงด้วยลูกรัก
เจ้าพลายแก้วก้มกราบกับบาทา,แม่ขาครั้งนี้ฉันทุกข์หนัก,เหลือทุกข์สุดทนเป็นพ้นนัก,เพราะพิมน้องรักรักใคร่กัน
จากเจ้าเจ้าให้ซึ่งเงินตรา,ห้าชั่งนี้มาทำทุนนั่น,ให้สู่ขอต่อแม่ศรีประจัน,ไม่ให้ปันบอกความจะตามมา
เอ็นดูลูกเถิดแม่บังเกิดเกล้า,พิมเศร้าโศกสร้อยอยู่คอยท่า,สงสารน้องต้องกินแต่น้ำตา,แม่จงกรุณาอย่าเฉยเมย
ทองประศรีว่ากรรมเอ๋ยกรรมแล้ว,พ่อแก้วแก้วตาของแม่เอ๋ย,บวชก่อนเถิดอย่าเพ่อมีเมียเลย,แม่จะได้ชมเชยชายจีวร
พ่อเจ้าเขาก็ตายไปนานแล้ว,ลูกแก้วจงโปรดแกเสียก่อน,บวชสักสองพรรษาอย่าอาวรณ์,สึกมาแม่จะผ่อนให้มีเมีย
จะขอให้เป็นลูกเขยเจ้าพระยา,ฟังคำแม่ว่าจงทิ้งเสีย,อย่างอีพิมไม่น่ามาเป็นเมีย,กะปลกกะเปลี้ยปลอบลูกพิไรไป
งามกว่าพิมนี้ก็มีมั่ง,ฤๅจะเอาชาววังจะขอให้,ถวายจานเงินทองต้องพระทัย,ก็จะได้นางในที่ชื่นตา
เจ้าพลายแก้วฟังแล้วกราบตีนพลัน,นางสวรรค์ลูกก็ไม่ปรารถนา,นางในงามแต่กิริยา,จะเปรียบพิมแก้วตาเห็นเต็มที
งามประเสริฐเลิศลํ้าทั้งขำคม,งามหน้างามนมเนื้อสองสี,ไม่เทียมทันทั้งสุพรรณบุรี,เห็นไม่มีใครสู้ดูงดงาม
เจ้าประคุณทูนหัวของลูกแก้ว,มีเมียแล้วบวชได้ดอกไม่ห้าม,แม่อย่าทานทัดขัดความ,แม้นมิตามใจลูกคงมรณา
ทองประศรีฟังลูกก็สงสาร,แกจนใจให้รำคาญเป็นหนักหนา,ปลอบว่าอย่าทุกข์เลยแก้วตา,เมื่อไม่ฟังแม่ว่าก็ตามใจ
ขอเขาเขาก็ให้ดอกลูกอา,เป็นเพื่อนบ้านกันมาไม่เสียได้,คงจะได้เป็นเมียอย่าเสียใจ,อย่าร้องไห้จงไปกินข้าวปลา
พลายแก้วฟังแล้วก็ดีใจ,หายร้องไห้ลุกลงไปตีนท่า,อาบนํ้าแล้วกินซึ่งข้าวปลา,ทองประศรีเรียกข้ามาไวไว
