w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายสุวรรณ,มาลี,ศรีสุวรรณ,อยู่พร้อมกัน,ที่ลำ,กำปั่นใหญ่,ฟังสำเนียง,เสียงปี่,พระอภัย,ก็จำได้,ด้วยเคยฟัง,แต่หลังมา,ทั้งถ้อยคำ,ร่ำเรียก,สำเหนียกแน่,เห็นเที่ยงแท้,ภูวไนย,ให้ไปหา,สินสมุทร,สุดคิด,ถึงบิดา,จึงทูลว่า,ปี่นี้,ไม่มีใคร
ทั้งถ้อยคำ,ร่ำเรียก,สำเหนียกแน่,เห็นเที่ยงแท้,ภูวไนย,ให้ไปหา,สินสมุทร,สุดคิด,ถึงบิดา,จึงทูลว่า,ปี่นี้,ไม่มีใคร,คือทรงฤทธิ์,บิตุรงค์,ของลูกรัก,เห็นแน่นัก,พระองค์,อย่าสงสัย,ข้าจะขอ,ทูลลา,อาสาไป,แล้วจะ,ได้รับมา,เภตราเรา
สองกษัตริย์,ตรัสว่า,อย่าว้าวุ่น,เขามีคุณ,พระบิดา,มากับเขา,ควรจะไป,ไต่ถาม,ตามสำเนา,จะด้นเดา,ดื้อไป,นั้นไม่ดี,พวกฝรั่ง,ลังกา,จะว่าได้,ต้องขัดข้อง,หมองใจ,ไม่พอที่,ฉวยขุกเข็ญ,เป็นศึก,จะเสียที,ด้วยพระพี่,มิได้รู้,อยู่ด้วยมัน
พวกฝรั่ง,ลังกา,จะว่าได้,ต้องขัดข้อง,หมองใจ,ไม่พอที่,ฉวยขุกเข็ญ,เป็นศึก,จะเสียที,ด้วยพระพี่,มิได้รู้,อยู่ด้วยมัน,อาจะไป,ให้พบภู,วเรศ,ถ้าแจ้งเหตุ,ทุกข์ร้อน,จะผ่อนผัน,พ่ออย่าไป,ใจเด็ก,ยังดุดัน,อยู่กับน้อง,ป้องกันพระ,ชนนี
อาจะไป,ให้พบภู,วเรศ,ถ้าแจ้งเหตุ,ทุกข์ร้อน,จะผ่อนผัน,พ่ออย่าไป,ใจเด็ก,ยังดุดัน,อยู่กับน้อง,ป้องกันพระ,ชนนี,สินสมุทร,ห้ามว่า,อย่าเสด็จ,เหมือนขาม,เข็ดของ้อ,ไม่พอที่,หลานจะไป,ไต่ถาม,แต่โดยดี,ถ้าย้ำยี,จึงจักสู้,ดูฝีมือ
ฝ่ายโฉมยง,องค์อรุณ,รัศมี,คิดว่าพี่,ตกน้ำ,ร่ำร้องไห้,พระเจ้าป้า,มาช่วย,ด้วยไวไว,พระพี่ไม่,ผุดรอด,จะวอดวาย,ทั้งสององค์,ทรงพระสรวล,ทั้งโศกเศร้า,นางเคียงเข้า,เล้าโลม,นางโฉมฉาย,พระพี่ดำ,น้ำไป,ดอกไม่ตาย,อย่าวุ่นวาย,เลยมานั่ง,คอยฟังความ
ทั้งสององค์,ทรงพระสรวล,ทั้งโศกเศร้า,นางเคียงเข้า,เล้าโลม,นางโฉมฉาย,พระพี่ดำ,น้ำไป,ดอกไม่ตาย,อย่าวุ่นวาย,เลยมานั่ง,คอยฟังความ,ศรีสุวรรณ,นั้นไม่ไว้,ใจฝรั่ง,จึงตรัสสั่ง,นายทหาร,ชาญสนาม,เร่งเตรียมเรือ,เพื่อสำหรับ,รับสงคราม,ไว้สักสาม,สิบลำ,ประจำการ
ศรีสุวรรณ,นั้นไม่ไว้,ใจฝรั่ง,จึงตรัสสั่ง,นายทหาร,ชาญสนาม,เร่งเตรียมเรือ,เพื่อสำหรับ,รับสงคราม,ไว้สักสาม,สิบลำ,ประจำการ,ออกแล่นลอย,คอยดู,อยู่ห่างห่าง,ถ้าขัดขวาง,ก็จะได้,แก้ไขหลาน,อังกุหร่า,บังคม,ค่อยก้มคลาน,มาเตรียมการ,พร้อมพรั่ง,ระวังภัย
ฝ่ายพระหน่อ,บดินทร์,สินสมุทร,ดำมาผุด,กลางมหา,ชลาไหล,แลเห็นลำ,กำปั่น,เป็นหลั่นไป,ไม่มีใคร,ดูแล,แต่สักคน,แต่เสียงปี่,ที่เป่า,ยังไม่หยุด,สินสมุทร,เพ่งพิศ,คิดฉงน,ค่อยแฝงกาย,ว่ายมาใน,สาชล,ปีนขึ้นบน,กำปั่น,ไม่ครั่นคร้าม
แต่เสียงปี่,ที่เป่า,ยังไม่หยุด,สินสมุทร,เพ่งพิศ,คิดฉงน,ค่อยแฝงกาย,ว่ายมาใน,สาชล,ปีนขึ้นบน,กำปั่น,ไม่ครั่นคร้าม,เห็นพวกพล,กรนหลับ,ระดับดาด,ดูเกลื่อนกลาด,กลางเรือ,อยู่เหลือหลาม,ที่ตื่นอยู่,รู้จัก,ล้วนจีนจาม,จึงโดดข้าม,คนเหล่านั้น,มาทันที
