w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายโฉมยง,องค์ธิดา,พระยาหญิง,สมรมิ่ง,ยินดี,จะมีไหน,จึ่งตรัสเรียก,สาวสรรค์,กำนัลใน,มาไวไว,ช่วยจับ,แมงทับทอง,ฝ่ายนารี,พี่เลี้ยง,อยู่เคียงอาสน์,เอาผ้าฟาด,จับได้,มิให้หมอง,ถวายองค์,อรไท,ดั่งใจปอง,นางประคอง,จับใส่,ไว้ในกรง
ฝ่ายนารี,พี่เลี้ยง,อยู่เคียงอาสน์,เอาผ้าฟาด,จับได้,มิให้หมอง,ถวายองค์,อรไท,ดั่งใจปอง,นางประคอง,จับใส่,ไว้ในกรง,พอถูกตัว,พิษยา,อีตาเฒ่า,เข้าจับเอา,ดวงจิต,พิศวง,ทั้งพี่เลี้ยง,สี่นาง,สำอางองค์,พิศวง,แมลงทับ,จับหัวใจ
พอถูกตัว,พิษยา,อีตาเฒ่า,เข้าจับเอา,ดวงจิต,พิศวง,ทั้งพี่เลี้ยง,สี่นาง,สำอางองค์,พิศวง,แมลงทับ,จับหัวใจ,ฝ่ายอนงค์,องค์ธิดา,พระยาหญิง,สมรมิ่ง,ดวงจิต,หวิดหวิดไหว,ให้บังเกิด,ราคร้อน,อ่อนฤทัย,คิดจะใคร่,หาคู่,มาสู่ปรางค์
ฝ่ายพุ่มพวง,ดวงประไพ,สายสมร,มีสุนทร,บอกกล่าว,เล่าแถลง,น้องฝันว่า,งูพิษฤ,ทธิแรง,มันมาแกล้ง,รวบรัด,อัดอุรา,แล้วพ่นพิษ,กรอกใส่,ลงในหู,อันพิษงู,แล่นกระทั่ง,ทั่วมังสา,น้องฟื้นตื่น,จากใน,ที่ไสยา,ในอุรา,นึกว่าตาย,ประลัยลม
แล้วพ่นพิษ,กรอกใส่,ลงในหู,อันพิษงู,แล่นกระทั่ง,ทั่วมังสา,น้องฟื้นตื่น,จากใน,ที่ไสยา,ในอุรา,นึกว่าตาย,ประลัยลม,นางพี่เลี้ยง,แจ้งความ,ตามนิมิต,อสรพิษ,จะได้คู่,มาสู่สม,จึ่งแจ้งว่า,ฝันอย่างนี้,ดีอุดม,จะได้ชม,สิ่งของ,ที่ต้องการ
นางพี่เลี้ยง,แจ้งความ,ตามนิมิต,อสรพิษ,จะได้คู่,มาสู่สม,จึ่งแจ้งว่า,ฝันอย่างนี้,ดีอุดม,จะได้ชม,สิ่งของ,ที่ต้องการ,พระเทพิน,ยินคำพี่,เลี้ยงฉลอง,โดยทำนอง,ปรีดิ์เปรม,เกษมศานต์,นางจึ่งมี,มธุรส,พจมาน,ก่อรำคาญ,ใจน้อง,ให้หมองมน
จะกล่าวข้าง,สังฆราช,พระบาทหลวง,เวลาล่วง,เย็นพลับ,ลับเวหน,เข้าในห้อง,ตรองตำรา,หาข้างมนต์,จะทำกล,การเสน่ห์,เพทุบาย,จึ่งเรียกท้าว,เจ้าพารา,ปตาหวี,เข้ามาชี้,ทางมนต์,ให้ขวนขวาย,ทั้งยาแฝด,แปดอย่าง,ข้างอุบาย,เอาให้ตาย,ราบกู,ผู้อาจารย์
จึ่งเรียกท้าว,เจ้าพารา,ปตาหวี,เข้ามาชี้,ทางมนต์,ให้ขวนขวาย,ทั้งยาแฝด,แปดอย่าง,ข้างอุบาย,เอาให้ตาย,ราบกู,ผู้อาจารย์,แล้วให้เรียน,อาคม,ประสมจิต,ผู้หญิงติด,ใจรัก,สมัครสมาน,เองอุตส่าห์,เล่าไว้,ให้ชำนาญ,คงได้การ,มั่นคง,อย่าสงกา
แล้วให้เรียน,อาคม,ประสมจิต,ผู้หญิงติด,ใจรัก,สมัครสมาน,เองอุตส่าห์,เล่าไว้,ให้ชำนาญ,คงได้การ,มั่นคง,อย่าสงกา,ฝ่ายไทท้าว,เจ้าพารา,ปตาหวี,ก็ยินดี,เรียนมนต์,ดลคาถา,ไม่ใคร่จะ,จำได้,ในตำรา,บาทหลวงด่า,งึมงำ,ร่ำพิไร
ฝ่ายไทท้าว,เจ้าพารา,ปตาหวี,ก็ยินดี,เรียนมนต์,ดลคาถา,ไม่ใคร่จะ,จำได้,ในตำรา,บาทหลวงด่า,งึมงำ,ร่ำพิไร,ว่ามึงนี้,ชาติโง่,อ้ายโคถึก,ไม่ตรองตรึก,พูดมาก,ถลากไถล,เองมันโง่,เต็มประดา,ว่าอย่างไร,จึ่งจะได้,เขามาอยู่,เป็นคู่ครอง
ท้าวกุลา,มาลี,ศรีสวัสดิ์,ให้แค้นขัด,ใจตัว,ให้มัวหมอง,จะเล่าเรียน,ไม่ใคร่ได้,ดั่งใจปอง,มันให้ข้อง,เคืองขัด,อัดอารมณ์,บาทหลวงว่า,หน้าตา,ก็แช่มช้อย,แต่โง่น้อย,ไปหรือหวา,ด่าขรม,คนเช่นเอง,มันไม่น่า,สมาคม,โง่ไม่สม,กันกับตัว,ชั่วจริงจริง
ฝ่ายไทท้าว,เจ้าพารา,ปตาหวี,มาถึงที่,แล้วประนม,ก้มเกศา,สนองอรรถ,มธุรส,พจนา,เจ้าพารา,รักใคร่,เป็นไมตรี,มาอยู่ใน,นคเรศ,เขตสถาน,ค่อยสำราญ,ปรีดิ์เปรม,เกษมศรี,หรือโรคภัย,สิ่งใด,มายายี,ต่อเดือนสี,จึ่งค่อยจร,อย่าร้อนรน
มาอยู่ใน,นคเรศ,เขตสถาน,ค่อยสำราญ,ปรีดิ์เปรม,เกษมศรี,หรือโรคภัย,สิ่งใด,มายายี,ต่อเดือนสี,จึ่งค่อยจร,อย่าร้อนรน,ท้าวกุลา,มาลี,ศรีสวัสดิ์,ประสานหัตถ์,ทูลแจ้ง,แห่งนุสนธิ์,มีความสุข,แสนสบาย,ทั้งไพร่พล,ไม่ขัดสน,ได้พึ่งพา,บารมี
ยาอ้นนี้,มีมา,แต่ครั้งก่อน,แกคิดต้อน,พวกกษัตริย์,แทบตักษัย,แต่บรรดา,เชื้อวงศ์,องค์อภัย,หลงเข้าไป,ติดขัง,อยู่ลังกา,ฝ่ายท้าวไท,ให้รัก,บาทหลวงเฒ่า,กับไทท้าว,ปตาหวี,นี้หนักหนา,ยิงกว่า,ญาติผูกพัน,แต่นั้นมา,เธอจึ่งว่า,ขอบใจ,ในเจ้าคุณ
ฝ่ายท้าวไท,ให้รัก,บาทหลวงเฒ่า,กับไทท้าว,ปตาหวี,นี้หนักหนา,ยิงกว่า,ญาติผูกพัน,แต่นั้นมา,เธอจึ่งว่า,ขอบใจ,ในเจ้าคุณ,จะประสงค์,สิ่งไร,ฉันไม่ขัด,สารพัด,ขาดเหลือ,จะเกื้อหนุน,ฉันขอบใจ,ใต้เท้า,เจ้าประคุณ,ได้พึ่งบุญ,พากเพียร,เรียนวิชา
แล้วตรัสเรียก,มเหสี,มานี่เจ้า,อาจารย์เรา,ใจดี,จะมีไหน,ให้ของดี,เป่าปัด,กำจัดภัย,คือดอกไม้,ทำด้วยทอง,เป็นของดี,แล้วหยิบ,ส่งให้นาง,พลางประภาษ,แก่นุชนาฏ,องค์มิ่ง,มเหสี,นางคำนับ,รับมา,ไม่ช้าที,กลิ่นมาลี,หอมหวน,รัญจวนใจ
แล้วหยิบ,ส่งให้นาง,พลางประภาษ,แก่นุชนาฏ,องค์มิ่ง,มเหสี,นางคำนับ,รับมา,ไม่ช้าที,กลิ่นมาลี,หอมหวน,รัญจวนใจ,ให้ฉุนรัก,สังฆราช,พระบาทหลวง,เพราะดอกดวง,ไม้ทอง,อันผ่องใส,กลิ่นเข้าวับ,จับจ้วง,เอาดวงใจ,ให้หอมใน,นาสา,ดั่งทาจันทน์
บาทหลวงแก,จึ่งด่า,อ้ายตาเหลือง,พอไฟเรือง,ก็จะไป,ใครเขาหา,ให้เองตั้ง,หม้อข้าว,เองเผาปลา,มันพูดจา,เอาแต่ได้,ข้างใช้ครู,สอนอะไร,ก็ไม่จำ,อ้ายซำเสือก,ดีแต่เกลือก,กลิ้งนอน,จนอ่อนหู,จะต้องการ,สิ่งไร,มาใช้กู,การเมียชู้,ลูกเต้า,ไม่เข้าใจ
สอนอะไร,ก็ไม่จำ,อ้ายซำเสือก,ดีแต่เกลือก,กลิ้งนอน,จนอ่อนหู,จะต้องการ,สิ่งไร,มาใช้กู,การเมียชู้,ลูกเต้า,ไม่เข้าใจ,แต่ขอสู่,กูพอ,จะรู้บ้าง,พูดเป็นทาง,ตามประสา,อัชฌาสัย,การเช่นนี้,ไม่กังวล,ไม่สนใจ,เองให้ไป,ก็ต้อง,ลองดูที
แล้วเรียกคน,ปรนนิบัติ,พลางจัดของ,เครื่องเงินทอง,สารพัด,แกจัดหา,ทั้งกระบี่,ฝักทอง,ของลงยา,แกได้มา,แต่สิงหล,เพราะสนใจ,แล้วเยื้องย่าง,ไปทาง,ถนนหลวง,ศิษย์ทั้งปวง,กับพวกล่าม,ตามไสว,ถือข้าวของ,ไปพลัน,ด้วยทันใจ,ตรงเข้าไป,ในนิเวศน์,เขตบุรินทร์
เชิญให้นั่ง,บนเก้าอี้,ยินดีเหลือ,ราวกะเชื้อ,วงศ์อันดี,ไม่มีสอง,คำนับน้อม,ยอมเป็นศิษย์,ดั่งจิตปอง,ไม่ขัดข้อง,ปรีดา,ในอาจารย์,บาทหลวงเฒ่า,เอากระบี่,ที่แกถือ,วางในมือ,เจ้าประเทศ,เขตไพศาล,ประสิทธิ์เวท,กล่าวรส,พจมาน,ว่าอาจารย์,ขอให้ท้าว,เจ้าบุรินทร์
บาทหลวงเฒ่า,เอากระบี่,ที่แกถือ,วางในมือ,เจ้าประเทศ,เขตไพศาล,ประสิทธิ์เวท,กล่าวรส,พจมาน,ว่าอาจารย์,ขอให้ท้าว,เจ้าบุรินทร์,สำหรับถือ,ออกศึก,อย่านึกพรั่น,คนหมื่นพัน,สู้ได้ดั่ง,ใจถวิล,เก็บเอาไว้,ใช้เถิดท้าว,เจ้าบุรินทร์,จะเพิ่มภิญ,โญยศ,ปรากฏนาม
ท้าวสินชัย,ได้กระบี่,ยินดีนัก,เป็นที่รัก,ยำเยง,ทั้งเกรงขาม,ทั้งขึ้นชื่อ,ลือยศ,ปรากฏนาม,ไม่มีความ,กินแหนง,แคลงพระทัย,แล้วเชิญองค์,ท่านครู,ผู้วิเศษ,เข้านิเวศน์,เรือนทอง,อันผ่องใส,เชิญให้กิน,เครื่องหวาน,สำราญใจ,ทั้งลูกไม้,เอมโอช,โภชนา
แล้วเชิญองค์,ท่านครู,ผู้วิเศษ,เข้านิเวศน์,เรือนทอง,อันผ่องใส,เชิญให้กิน,เครื่องหวาน,สำราญใจ,ทั้งลูกไม้,เอมโอช,โภชนา,ท้าวเสวย,เนยนม,ขนมหวาน,กับอาจารย์,พูดกัน,ต่างหรรษา,ฝ่ายตาเฒ่า,กล่าวรส,พจนา,ว่าดูรา,ไทท้าว,เจ้านคร
ท้าวเสวย,เนยนม,ขนมหวาน,กับอาจารย์,พูดกัน,ต่างหรรษา,ฝ่ายตาเฒ่า,กล่าวรส,พจนา,ว่าดูรา,ไทท้าว,เจ้านคร,ท่านชุบเลี้ยง,ตัวข้า,เป็นผาสุก,ไม่มีทุกข์,ภิญโญ,สโมสร,ได้เลื่องชื่อ,ลือไป,กระจายจร,ทั้งนคร,แดนด้าว,เพราะท้าวไท
