w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
เสด็จไป,ให้สบาย,วายวิโยค,นิราศโรค,เรืองฤทธิ์,ดังพิษศร,ศรีสุวรรณ,ทูลลา,มานคร,สั่งนิกร,เสนา,บรรดานาย,ให้จัดแจง,แต่งกำปั่น,สุวรรณหงส์,เปลี่ยนเทียวธง,เสากลาง,ระยางสาย,ให้ช่างเขียน,เสียใหม่,ลายระบาย,ทั้งห้องท้าย,บาหลี,ให้มีทอง
ให้จัดแจง,แต่งกำปั่น,สุวรรณหงส์,เปลี่ยนเทียวธง,เสากลาง,ระยางสาย,ให้ช่างเขียน,เสียใหม่,ลายระบาย,ทั้งห้องท้าย,บาหลี,ให้มีทอง,บนบัลลังก์,ตั้งพระแท่น,เพดานดาด,วิสูตรตาด,สลับสี,ไม่มีหมอง,เขนยอิง,พิงพาด,ที่อาสน์รอง,แต่ล้วนของ,อย่างดี,มีราคา
บนบัลลังก์,ตั้งพระแท่น,เพดานดาด,วิสูตรตาด,สลับสี,ไม่มีหมอง,เขนยอิง,พิงพาด,ที่อาสน์รอง,แต่ล้วนของ,อย่างดี,มีราคา,ทั้งกำปั่น,ตามเสด็จ,สักเจ็ดร้อย,เครื่องใช้สอย,ใส่แต่พื้น,ล้วนปืนผา,กับข้าวของ,เครื่องเสบียง,เลี้ยงโยธา,ขุนเสนา,ทุกตำแหน่ง,ไปแจ้งการ
พระสั่งเสร็จ,แล้วเสด็จ,ยุรยาตร,เข้าปรางค์มาศ,ข้างใน,อันไพศาล,สถิตแท่น,เนาวรัตน์,ชัชวาล,เอื้อนโองการ,แก่รำภา,สุดาดวง,พี่จะชวน,เจ้าไป,ไอศวรรย์,หมดด้วยกัน,แต่บรรดา,พวกข้าหลวง,ไปอยู่พา,ราเรา,ให้เบาทรวง,ขอเชิญดวง,นัยนา,จงปรานี
พระชุบเลี้ยง,เพียงนี้,เป็นที่สุด,เป็นมนุษย์,แล้วอย่าให้,ผู้ใดสรวล,ก็อยากตาม,เสด็จไป,แต่ใคร่ครวญ,จะเป็นกวน,บาทา,ฝ่าละออง,พระตรัสว่า,รำภา,นี่ปากแข็ง,เจ้าจะแกล้ง,ให้พี่ทน,ที่หม่นหมอง,เจ้าเพื่อนยาก,ฝากชีวิต,ไม่คิดตรอง,น้อยหรือน้อง,ขืนขัด,ตัดอาลัย
พระตรัสว่า,รำภา,นี่ปากแข็ง,เจ้าจะแกล้ง,ให้พี่ทน,ที่หม่นหมอง,เจ้าเพื่อนยาก,ฝากชีวิต,ไม่คิดตรอง,น้อยหรือน้อง,ขืนขัด,ตัดอาลัย,นิจจาเอ๋ย,แม่ก็เคย,เป็นคู่ชื่น,สำราญรื่น,ชวนชิด,พิสมัย,จนมีลูก,ปลูกฝัง,ไม่หวังใจ,หรือจะไม่,ปรองดอง,จึ่งหมองมัว
ถนอมแนบ,แอบน้อง,ประคองเคล้า,พลางต้องเต้า,เต่งถนัด,ล้นหัตถา,นางป้องปิด,บิดผัน,ด้วยมารยา,พระตรัสว่า,ถ่านเก่า,เจ้ากระบวน,พลางจุมพิต,ชิดปราง,นางฝรั่ง,ยังเปล่งปลั่ง,ชื่นเชย,ระเหยหวน,สนิทสน,อมพร้อมใจ,ในกระบวน,ตัดสำนวน,เสียด้วยเล่ห์,ประเวณี
พลางจุมพิต,ชิดปราง,นางฝรั่ง,ยังเปล่งปลั่ง,ชื่นเชย,ระเหยหวน,สนิทสน,อมพร้อมใจ,ในกระบวน,ตัดสำนวน,เสียด้วยเล่ห์,ประเวณี,ถนอมแนบ,แอบอุ่น,ละมุนละม่อม,ราวกับกล่อม,ให้สนิท,ด้วยดีดสี,พยุหวน,ป่วนปัด,ในนที,เป็นคลื่นตี,กระทบฝั่ง,ตามวังวน
แมงภู่ผึ้ง,คลึงเคล้า,เอาเกสร,เข้าเฟ้นฟอน,กลั้วกลิ่น,บินไสว,ทุกถ้ำธาร,ละหานเหว,เป็นเปลวไฟ,สกุไณ,โผผิน,บินทะยาน,ทั้งหมดหงส์,ลงเล่น,ชลาสินธุ์,เที่ยวโบกบิน,ร้องจำเรียง,เสียงประสาน,จนเดือนดับ,ลับขอบ,จักรวาล,สองสำราญ,อยู่ในที่,ศรีไสยา
อโณทัย,ไขแสง,แจ้งกระจ่าง,ส่องสว่าง,อำพน,บนเวหา,กาดุเหว่า,เร้าเร่งพระ,สุริยา,สกุณา,โผผิน,บินทะยาน,พวกเสนา,มาพร้อม,ทุกตำแหน่ง,ต่างจัดแจง,ตรวจตรา,โยธาหาญ,ทั้งล้าต้า,ต้นหน,พวกคนงาน,คอยพระผ่าน,รมจักร,นัครินทร์
