w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
จะกล่าวเรื่อง,เมืองลังกา,พวกฝรั่ง,นิเวศน์วัง,นางวัณฬา,มารศรี,ทั้งรำภา,นางยุพา,สุลาลี,ตั้งแต่ปี,ผัวกลับ,กองทัพไป,ต่างครองครรภ์,รันทด,สลดจิต,ด้วยจากมิตร,มัวหมอง,ไม่ผ่องใส,ทุกเช้าค่ำ,คร่ำครวญ,รัญจวนใจ,จนครรภ์ได้,สิบเดือน,ไม่เคลื่อนคลา
พระมังคลา,กับวลา,ยุดาราช,อยู่กับบาท,หลวงใหญ่ใน,ไอศวรรย์,กุมารา,วายุ,พัฒน์หัสกัน,ทั้งสองนั้น,อยู่ที่,พระปีโป,ตั้งพากเพียร,เรียนหนังสือ,ถือฝรั่ง,อาจารย์สั่ง,สอนสิกขา,เยวาโห,ดูตำรา,ฟ้าดิน,ค่อยภิญโญ,ไม่มีโร,คาพาน,สำราญใจ
แต่ดิ้นโดย,โหยหวน,คร่ำครวญคิด,มิรู้ลืม,ปลื้มจิต,กนิษฐา,จำจะคิด,บิดผัน,จำนรรจา,ลาบิดา,ชนนี,ตามพี่นาง,แล้วจะ,ได้ไปเมือง,ผลึกน้อง,ได้พบสอง,ศรีสวัสดิ์,ไม่ขัดขวาง,รำพึงความ,ยามเศร้า,ค่อยเบาบาง,พอสว่าง,เวลา,รุ่งราตรี
ไปเที่ยวตาม,ถามข่าว,สืบราวเรื่อง,ตามบ้านเมือง,เกาะแก่ง,ทุกแห่งหน,หรือเสียเรือ,เผื่อจะค้าง,อยู่กลางชล,ถึงอับจน,จะได้พา,มาธานี,พระฟังความ,ห้ามบุตร,สุดสวาท,เขาตัดขาด,เชื้อสาย,จึงหน่ายหนี,อย่าตามไป,ให้ลำบาก,ยากโยธี,อยู่บูรี,เช้าค่ำ,ให้สำราญ
พระฟังตรัส,ตัดรอน,ถอนสะอื้น,อุส่าห์กลืน,ชลนา,น่าสงสาร,ศิโรราบ,กราบประณต,บทมาลย์,ขอประทาน,โทษที่,พระพี่ยา,ซึ่งแค้นเคือง,เรื่องราว,คราวฝรั่ง,ไม่จงหวัง,ร่วมนิเวศน์,กับเชษฐา,จึงหลบลี้,หนีงาน,การวิวาห์,ได้ล่วงราช,อาชญา,ฝ่าธุลี
ซึ่งแค้นเคือง,เรื่องราว,คราวฝรั่ง,ไม่จงหวัง,ร่วมนิเวศน์,กับเชษฐา,จึงหลบลี้,หนีงาน,การวิวาห์,ได้ล่วงราช,อาชญา,ฝ่าธุลี,แต่ส่วนลูก,ผูกใจ,อาลัยหนัก,เคยเห็นพักตร์,พี่น้อง,กันสองศรี,ทั้งเป็นหญิง,ทิ้งขว้าง,เสียอย่างนี้,จะรู้ที่,ผินหน้า,ไปหาใคร
พระรับสั่ง,บังคม,บรมนาถ,จากปราสาท,เสด็จมา,หน้าสนาม,ขึ้นหยุดยั้ง,นั่งพลับพลา,สง่างาม,จึงสั่งความ,แก่มหา,เสนาใน,จงแต่งลำ,กำปั่น,สุวรรณมาศ,ใช้ใบตาด,ธงทอง,ให้ผ่องใส,เปลี่ยนรอกใบ,สายสมอ,เชือกช่อใบ,ทำด้วยไหม,เบญจพรรณ,ให้ทันการ
จงแต่งลำ,กำปั่น,สุวรรณมาศ,ใช้ใบตาด,ธงทอง,ให้ผ่องใส,เปลี่ยนรอกใบ,สายสมอ,เชือกช่อใบ,ทำด้วยไหม,เบญจพรรณ,ให้ทันการ,คนประจำ,กำปั่น,สักพันถ้วน,เลือกแต่ล้วน,เข้มแข็ง,กำแหงหาญ,ทั้งล้าต้า,ต้นหน,พวกคนงาน,ที่ชำนาญ,นาวา,จะคลาไคล
มงกุฎเก็จ,เพชรกระจ่าง,สว่างวับ,เป็นนวลจับ,แจ่มศรี,ฉวีเหลือง,สอดฉลอง,พระบาท,แล้วยาตรเยื้อง,นางเชิญเครื่อง,งามงาม,ตามลีลา,ลงกำปั่น,บัลลังก์,ขึ้นนั่งอาสน์,พร้อมมหาด,เล็กพี่เลี้ยง,เคียงซ้ายขวา,นายทหาร,ขานโห่,เป็นโกลา,ยิงปืนหน้า,เรือตึง,กึงกึงกัง
หน่อกษัตริย์,ตรัสสั่ง,ให้ตั้งเข็ม,ออกแล่นเล็ม,จะไปเข้า,อ่าวผลึก,พอแดดลบ,พลบค่ำ,ออกน้ำลึก,เรือสะทึก,สะท้านเลื่อน,สะเทื้อนคลอน,ถูกลมแดง,แคลงคลื่น,ทะมึนมืด,เป็นเกลียวยืด,ใหญ่กลิ้ง,เท่าสิงขร,เยือกเขยื้อน,เคลื่อนโขยด,โลดกระดอน,กำปั่นคลอน,โคลงป่วน,ซุนซวนเซ
ถูกลมแดง,แคลงคลื่น,ทะมึนมืด,เป็นเกลียวยืด,ใหญ่กลิ้ง,เท่าสิงขร,เยือกเขยื้อน,เคลื่อนโขยด,โลดกระดอน,กำปั่นคลอน,โคลงป่วน,ซุนซวนเซ,ยิ่งดึกดื่น,คลื่นสาด,บนดาดฟ้า,ลมสลา,ตันผัน,พัดหันเห,คนเข้าห้อง,ท้องคลอน,ดังนอนเปล,จนถึงเว,ลาสว่าง,ไม่สร่างลม
ต้องเลื่อนลอย,คอยวา,ยุพาพัด,ให้ฆ่าสัตว์,เซ่นพระกาล,เผาสารส้ม,แล้วตีกลอง,ฆ้องระฆัง,ดังระดม,พอได้ลม,แล่นตัด,ตามอัธยา,ด้วยหมายมุ่ง,กรุงผลึก,ออกลึกล้ำ,เห็นแต่น้ำ,ในทะเล,กับเวหา,จะแลเหลียว,เปลี่ยวใจ,นัยนา,จนเวลา,ค่ำพลบ,จุดคบโคม
คิดคะนึง,ถึงพี่,เป็นที่รัก,เคยพร้อมพรัก,ปรีดิ์เปรม,เกษมสรวล,เคยคิดบอก,ดอกสร้อย,น้องคอยทวน,เคยชี้ชวน,ชมฟ้า,ดาราราย,โอ้ยามนี้,วิบัติ,ต้องพลัดพราก,ต่างจำจาก,จำไกล,จิตใจหาย,ทุกค่ำเช้า,เปล่าเปลี่ยว,อยู่เดียวดาย,มิได้วาย,วันนึก,นิ่งตรึกตรอง
โอ้ยามนี้,วิบัติ,ต้องพลัดพราก,ต่างจำจาก,จำไกล,จิตใจหาย,ทุกค่ำเช้า,เปล่าเปลี่ยว,อยู่เดียวดาย,มิได้วาย,วันนึก,นิ่งตรึกตรอง,แล้วรำพึง,ถึงลูกสาว,เจ้าผลึก,จะรำลึก,ถึงพี่มั่ง,หรือทั้งสอง,ฝาแฝดคู่,ดูดี,ทั้งพี่น้อง,ประไพพริ้ม,ยิ้มย่อง,ละอองนวล
แล้วรำพึง,ถึงลูกสาว,เจ้าผลึก,จะรำลึก,ถึงพี่มั่ง,หรือทั้งสอง,ฝาแฝดคู่,ดูดี,ทั้งพี่น้อง,ประไพพริ้ม,ยิ้มย่อง,ละอองนวล,ดูรูปร่าง,ช่างเหมือน,ไม่เคลื่อนคลาด,เหลือประหลาด,ลืมองค์,ทรงพระสรวล,คิดถึงเคย,เชยชื่น,รื่นรัญจวน,ยิ่งอักอ่วน,ป่วนจิต,คิดคะนึง
ทอดสมอ,รอรา,อยู่หน้าด่าน,พวกทหาร,เห็นรู้จัก,ร้องทักถาม,ด้วยเกี่ยวดอง,สองเมือง,รู้เรื่องความ,ไม่ห้ามปราม,ปล่อยให้,ขึ้นไปวัง,กำปั่นจอด,ทอดท่า,หน้าฉนวน,ขุนนางชวน,กันมารับ,คอยคับคั่ง,พระทรงอาสน์,ราชสุ,วรรณบัลลังก์,เข้าในวัง,คอยเฝ้า,เจ้านคร
ฝ่ายองค์พระ,อภัย,มณีนาถ,บรมบาท,บพิตร,อดิศร,สถิตแท่น,แวนฟ้า,สถาวร,พร้อมนิกร,กัลยา,คณานาง,คอยขับรำ,บำรุง,กรุงกษัตริย์,บริบูรณ์,พูนสวัสดิ์,ไม่ขัดขวาง,ครั้นสายแสง,แต่งองค์,ทรงสำอาง,พร้อมขุนนาง,น้อมประณต,บทมาลย์
แต่พี่นาง,ทั้งสมเด็จ,พระเชษฐา,ไม่ทราบว่า,ดีร้าย,ไปหายสูญ,แสนละห้อย,คอยหา,ให้อาดูร,จึงมาทูล,ถามความ,ตามสงกา,ด้วยเกณฑ์เรือ,เหนือใต้,ไปเที่ยวค้น,ทุกตำบล,เกาะแก่ง,แสวงหา,ไม่เห็นหาย,หมายที่,พระพี่ยา,จะแวะมา,เฝ้าบ้าง,หรืออย่างไร
พระฟังคำ,ร่ำว่า,นิจจาเอ๋ย,จะหลงเลย,ลึกซึ้ง,ไปถึงไหน,ที่จริงจิต,บิดร,ไม่นอนใจ,ให้เวียนไป,สืบเรื่อง,ทุกเมืองราย,แต่เรือใช้,ใหญ่น้อย,สักร้อยเศษ,คอยฟังเหตุ,เช้าเย็น,ก็เห็นหาย,หมอดูดี,ที่ไหน,ก็ให้ทาย,ว่าไม่ตาย,แต่จะมา,ยังช้านาน
แต่เรือใช้,ใหญ่น้อย,สักร้อยเศษ,คอยฟังเหตุ,เช้าเย็น,ก็เห็นหาย,หมอดูดี,ที่ไหน,ก็ให้ทาย,ว่าไม่ตาย,แต่จะมา,ยังช้านาน,พ่อทุกข์ถึง,เสาวคนธ์,วิมลมิ่ง,ด้วยเป็นหญิง,ยากแค้น,แสนสงสาร,ทั้งเห็นเจ้า,เศร้าสร้อย,พลอยรำคาญ,จะคิดอ่าน,เตรียมพล,เที่ยวค้นคว้า
พระมารดา,ว่าพ่อก็,เหมือนบุตร,จงยั้งหยุด,อยู่ปราสาท,ราชฐาน,ได้เห็นเจ้า,เช้าค่ำ,ค่อยสำราญ,อยู่กับมาร,ดาได้,ใกล้ใกล้กัน,แล้วทูลลา,พาพระ,หน่อวรนาถ,ไปปราสาท,สั่งเหล่า,นางสาวสรรค์,ทอดยี่ภู่,ปูลาด,อาสน์สุวรรณ,มีฉากกั้น,บรรจถรณ์,อ่อนสำอาง
แล้วทูลลา,พาพระ,หน่อวรนาถ,ไปปราสาท,สั่งเหล่า,นางสาวสรรค์,ทอดยี่ภู่,ปูลาด,อาสน์สุวรรณ,มีฉากกั้น,บรรจถรณ์,อ่อนสำอาง,นางอยู่งาน,พานพระศรี,มีสำหรับ,คอยกล่อมขับ,ปรนนิบัติ,ไม่ขัดขวาง,แต่บุตรี,พี่น้อง,ทั้งสองนาง,อยู่ห้องกลาง,ต่างหาก,จัดหมากพลู
