w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
นางละเวง,เกรงว่า,พวกข้าศึก,จะหาญฮึก,รบพุ่ง,เอากรุงศรี,อนึ่งพระ,อนุชา,กับสามี,ได้หมอดี,มาแก้,จะแปรปรวน,ทางปรึกษา,ปรารมภ์,ระทมทุกข์,ไม่มีสุข,เศร้าสร้อย,ละห้อยหวน,เขาชิงรัก,หักหาญ,เป็นการจวน,จะก่อกวน,การศึกให้,นึกกลัว
ทางปรึกษา,ปรารมภ์,ระทมทุกข์,ไม่มีสุข,เศร้าสร้อย,ละห้อยหวน,เขาชิงรัก,หักหาญ,เป็นการจวน,จะก่อกวน,การศึกให้,นึกกลัว,นางยุพา,ลาลี,ทั้งพี่น้อง,ไม่จากห้อง,ร้องไห้,อาลัยผัว,คิดถึงที่,มีท้อง,ให้หมองมัว,ต่างซ่อนตัว,ซบสะอื้น,กลืนน้ำตา
ทั้งสามนาง,ต่างรับ,คำนับน้อม,มาเตรียมพร้อม,รถา,ที่หน้าฉาน,เทียนข้าวตอก,ดอกไม้,จัดใส่พาน,พร้อมทหาร,แห่แหน,มาแน่นนันต์,นางวัณฬา,อ่าองค์,แล้วทรงเครื่อง,ค่อยย่างเยื้อง,ขึ้นรถ,พระกลดกั้น,นางรำภา,ยุพาสุ,ลาลีวัน,ขึ้นนั่งชั้น,ลดเลื่อน,ให้เคลื่อนคลา
นางวัณฬา,อ่าองค์,แล้วทรงเครื่อง,ค่อยย่างเยื้อง,ขึ้นรถ,พระกลดกั้น,นางรำภา,ยุพาสุ,ลาลีวัน,ขึ้นนั่งชั้น,ลดเลื่อน,ให้เคลื่อนคลา,ถึงกุฎี,ที่ฝรั่ง,สังฆราช,ค่อยลีลาศ,เลียบบันได,ขึ้นไปหา,เห็นพระนั่ง,ตั้งธูป,เทียนบูชา,ขอสมา,หมอบเรียง,เคียงเคียงไป
นางวัณฬา,สารภาพ,กราบบาทหลวง,ฉันทั้งปวง,ผิดหมด,ปดตอแหล,รู้สึกใน,ใจตัว,ว่าชั่วแท้,สุดแล้วแต่,เจ้าคุณ,กรุณา,ยังเคืองแค้น,แม้นว่า,จะลงโทษ,ไม่ถือโกรธ,เลยสักนิด,ผิดหนักหนา,ฉันไม่มี,ที่เห็น,เป็นกำพร้า,จงเมตตา,หลานรัก,อีกสักครั้ง
ถ้าถึงที่,มีการ,มาวานใช้,ส่วนบุญไม่,ได้ทำ,กรรมหนักหนา,กูคิดถึง,คุณท้าว,เจ้าลังกา,กรุณา,นับถือ,คนซื่อตรง,ครั้นมาถึง,มึงได้,ครองไอศูรย์,ผ่าประยูร,เสียศักดิ์,กูรักหลง,เสียดายเหลือ,เชื้อกษัตริย์,ขัตติย์วงศ์,ไม่ดำรง,รักศักดิ์,รักแต่ตัว
นี่ธุระ,อะไร,ที่ไหนหรือ,จึงด้านดื้อ,มากุฎี,อีมุสา,หรือรู้ตัว,กลัวบาป,ที่หยาบช้า,จะสมา,โทษทัณฑ์,หรือฉันใด,กูก็จะ,อนุญาต,ไม่คาดโทษ,หาถือโกรธ,ให้มึงตก,นรกไม่,ถือคุณพระ,ให้ดี,แต่นี้ไป,จงอย่าได้,โป้ปด,ประชดกู
กูก็จะ,อนุญาต,ไม่คาดโทษ,หาถือโกรธ,ให้มึงตก,นรกไม่,ถือคุณพระ,ให้ดี,แต่นี้ไป,จงอย่าได้,โป้ปด,ประชดกู,จงป้องกัน,อันตราย,เสียดายศักดิ์,แม้ไม่รัก,ษายศ,จะอดสู,เห็นพวกพ้อง,ของเขา,ชาวชมพู,มาตั้งอยู่,พร้อมพรั่ง,ระวังภัย
ต้องลงยันต์,ฟันลิ้น,ให้สิ้นเสร็จ,ถึงพูดเท็จ,ก็เห็นจริง,ทุกสิ่งสรรพ์,แล้วเรียกไป,ในตึก,จารึกยันต์,ลงลิ้นฟัน,ให้สตรี,ทีละคน,แล้วเอามีด,กรีดถัน,คั้นโลหิต,ทำยาติด,เกลือกกิน,แทรกฝิ่นฝน,รสสตรี,แม้บุรุษ,ปุถุชน,ให้รักทน,ไปไม่รอด,ต้องกอดกัน
แล้วเอามีด,กรีดถัน,คั้นโลหิต,ทำยาติด,เกลือกกิน,แทรกฝิ่นฝน,รสสตรี,แม้บุรุษ,ปุถุชน,ให้รักทน,ไปไม่รอด,ต้องกอดกัน,แล้วสอนว่า,ครั้งนี้,มิตีทัพ,เขาจะจับ,ตัวฆ่า,ให้อาสัญ,ทั้งสี่นาง,ต่างรับ,อภิวันท์,พอสายัณห์,กราบลา,มาในวัง
แล้วสอนว่า,ครั้งนี้,มิตีทัพ,เขาจะจับ,ตัวฆ่า,ให้อาสัญ,ทั้งสี่นาง,ต่างรับ,อภิวันท์,พอสายัณห์,กราบลา,มาในวัง,เรียกย่องตอด,ยอดรัก,มาซักซ้อม,มันรับพร้อม,ใจสม,อารมณ์หวัง,ต่างผูกม้า,มาประทับ,แล้วยับยั้ง,ขึ้นหยุดนั่ง,หน้าพลับพลา,ในราตรี
ฝ่ายทิศา,ปาโมกข์,โลกเชษฐ์,เสกทรายเวท,อาถรรพณ์,ให้กันผี,โรยรอบค่าย,ควายธนู,ประตูมี,ในราตรี,ตรวจตรา,เรียกหากัน,บ้างตีฆ้อง,กองไฟ,มิให้หลับ,เห็นคนจับ,เข่นฆ่า,ให้อาสัญ,กองตระเวน,เกณฑ์รบ,ไว้ครบครัน,คอยป้องกัน,เจ้านาย,รายระวัง
