w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
สี่พี่เลี้ยง,เมียงมอง,ตามช่องฉาก,แล้วบุ้ยปาก,ให้กันดู,ด้วยรู้ถึง,ต่างปรึกษา,หารือ,ไม่อื้ออึง,เราก็พึ่ง,เห็นรัก,ประจักษ์ใจ,แต่ดูกัน,ห่างห่าง,สิอย่างนี้,พระบุตรี,ตรอมจิต,พิสมัย,แม้นได้เรียง,เคียงข้าง,จะอย่างไร,รำคาญใจ,จะใคร่ปลอบ,ให้ชอบที
จะสังเวย,สิ่งไร,จะได้จัด,สารพัด,สิ่งของ,ต้องประสงค์,หรือจะคิด,ติดสินบน,ท่านคนทรง,ให้เชิญองค์,อารักษ์,ที่ทักทาย,ทั้งสี่นาง,ต่างยิ้ม,แล้วเยื้อนว่า,จะรักษา,ทรามวัย,เสียให้หาย,อันต้องเท,พารักษ์,ขี้มักร้าย,ให้กระวน,กระวาย,ละอายใจ
ทั้งสี่นาง,ต่างยิ้ม,แล้วเยื้อนว่า,จะรักษา,ทรามวัย,เสียให้หาย,อันต้องเท,พารักษ์,ขี้มักร้าย,ให้กระวน,กระวาย,ละอายใจ,จะขับกล่อม,จอมขวัญ,ให้บรรทม,อย่าปรารมภ์,ร้อนจิต,พิสมัย,พลางแย้มยิ้ม,หยิบกรับ,แล้วขับไป,ให้ต้องใน,น้ำจิต,พระธิดา
ว่าปางหลัง,ยังมี,เจ้าพราหมณ์น้อย,โฉมแฉล้ม,แช่มช้อย,ดังเลขา,ทั้งผิวเหลือง,เรืองรอง,ดังทองทา,เที่ยวเสาะหา,นุชนาง,มาทางไกล,เวลาค่ำ,น้ำค้าง,ลงพร่างพร้อย,พ่อโฉมงาม,พราหมณ์น้อย,จะนอนไหน,สตรีงาม,สามภพ,ไม่สบใจ,จะใคร่ได้,ดอกฟ้า,ลงมาเชย
พี่เลี้ยงรู้,จักใจ,ไม่วิตก,ทำลูบอก,อนิจจา,มาว่าฉัน,จะบอกความ,ตามจริง,ทุกสิ่งอัน,เจ้าพราหมณ์นั้น,เขาจะมา,เป็นข้าไท,ให้พวกพี่,นี้พา,มาถวาย,แต่ดีร้าย,ยังไม่เห็น,เป็นไฉน,ถ้าไล่เลียง,เที่ยงแท้,แน่แก่ใจ,จึงจะได้,ทูลความ,แม่ทรามเชย
ฝ่ายพระหน่อ,นฤเบศร์,เกศกษัตริย์,ดึกกำดัด,ยามสอง,ยิ่งหมองหมาง,เผยพระแกล,แลชม,นภาภางค์,จันทร์กระจ่าง,ส่องฟ้า,สุราลัย,พระดูเดือน,เหมือนวง,นลาฏน้อง,สัมผัสผ่อง,พาจิต,พิสมัย,รื่นรื่นกลิ่น,ลำดวน,รัญจวนใจ,เหมือนเข้า,ใกล้กลิ่นนาง,เมื่อกลางวัน
พระดูเดือน,เหมือนวง,นลาฏน้อง,สัมผัสผ่อง,พาจิต,พิสมัย,รื่นรื่นกลิ่น,ลำดวน,รัญจวนใจ,เหมือนเข้า,ใกล้กลิ่นนาง,เมื่อกลางวัน,ให้เคลิ้มเคล้น,เห็นเงา,เสาตำหนัก,ว่านงลักษณ์,ลงขยับ,ไปรับขวัญ,ไฉนน้อง,มองเมียง,อยู่เพียงนั้น,ขอเชิญขวัญ,เนตรนั่ง,บัลลังก์รัตน์
ให้เคลิ้มเคล้น,เห็นเงา,เสาตำหนัก,ว่านงลักษณ์,ลงขยับ,ไปรับขวัญ,ไฉนน้อง,มองเมียง,อยู่เพียงนั้น,ขอเชิญขวัญ,เนตรนั่ง,บัลลังก์รัตน์,แล้วเคียงเข้า,เล้าโลม,นางโฉมฉาย,พระกรกราย,กอดเสา,เข้าถนัด,เห็นผิดนาง,หมางฤทัย,ให้ฮึดฮัด,จะใคร่ตัด,เสาสับ,ให้ยับเยิน
ศรีสุวรรณ,นั้นยัง,กำลังหลง,คิดว่าองค์,มิ่งมิตร,ขนิษฐา,ประโลมรูป,รับขวัญ,จำนรรจา,วาสนา,เราทั้งสอง,เคยครองกัน,พราหมณ์หัวร่อ,พ่อแปลก,พี่แล้วหรือ,พระหดมือ,เมินพักตร์,แล้วผินผัน,ทำแก้เก้อ,เออพี่,ที่ตรงนั้น,ปีศาจมัน,หลอนข้า,ตาวาววาว
พระฟังปลอบ,ชอบชื่น,ค่อยฝืนพักตร์,กำลังรัก,ลืมอาย,หมายสมาน,จึงว่าพี่,มีปัญญา,ปรีชาชาญ,ช่วยคิดอ่าน,อนุกูล,อย่าสูญใจ,เหมือนหนึ่ง,น้องต้องศร,เสียบสลัก,จะฉุดชัก,ก็ไม่อาจ,จะหวาดไหว,พี่ช่วยถอน,ศรโศก,ที่เสียบใจ,น้องจะได้,ผ่อนพ้น,ทนทรมา
