w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
จะกล่าวถึง,สินสมุทร,บุตรนางยักษ์,กำลังรัก,พระธิดา,มารศรี,เมื่อเรือแตก,แบกมา,ในวารี,ไม่มีที่,หยุดหย่อน,จนอ่อนแรง,ถึงเจ็ดวัน,เจ็ดคืน,แต่คลื่นซัด,นางกษัตริย์,โศกศัลย์,เฝ้ากันแสง,เห็นมัจฉา,ปลาร้าย,ขึ้นว่ายแซง,ยิ่งแสยง,สยองเกล้า,เยาวมาลย์
ถึงเจ็ดวัน,เจ็ดคืน,แต่คลื่นซัด,นางกษัตริย์,โศกศัลย์,เฝ้ากันแสง,เห็นมัจฉา,ปลาร้าย,ขึ้นว่ายแซง,ยิ่งแสยง,สยองเกล้า,เยาวมาลย์,จึงว่าพ่อ,สินสมุทร,สุดสวาท,เหนื่อยอนาถ,นักหนา,น่าสงสาร,จงวางแม่,เสียในวน,ชลธาร,เร่งคิดอ่าน,ตามติด,พระบิดร
นางฟังคำ,ซ้ำสวาท,ราชโอรส,ยิ่งกำสรด,สุดจะขืน,สะอื้นไห้,กุมารา,พาว่าย,คล้ายคล้ายไป,เห็นเกาะใหญ่,ยินดี,ค่อยมีแรง,อุตส่าห์รีบ,ถีบเข้า,ถึงเขาหลวง,พอลับดวง,สุริเยนทร์,ไม่เห็นแสง,หน่อนรินทร์,สินสมุทร,ก็สุดแรง,ถึงที่แห้ง,เสือกซบ,สลบไป
สินสมุทร,สุดสวาท,ของแม่เอ๋ย,ไฉนเลย,ลูกยา,ไม่ฝ่าฝืน,แม่ปลุกเจ้า,เท่าไร,ก็ไม่ฟื้น,พลางสะอื้น,อ่อนองค์,ทรงโศกี,จะหาไหน,ได้เหมือน,พ่อเพื่อนยาก,สู้ลำบาก,แบกพา,มารดาหนี,ไม่ม้วยมอด,รอดมา,ในวารี,จนถึงที่,หยุดแล้ว,เจียวแก้วตา
จะหาไหน,ได้เหมือน,พ่อเพื่อนยาก,สู้ลำบาก,แบกพา,มารดาหนี,ไม่ม้วยมอด,รอดมา,ในวารี,จนถึงที่,หยุดแล้ว,เจียวแก้วตา,ควรหรือพ่อ,หน่อนาถ,มาขาดจิต,สิ้นชีวิต,สิ้นชาติ,วาสนา,ให้แม่อยู่,ผู้เดียวเปลี่ยว,วิญญาณ์,อนิจจา,เจ้าไม่สั่ง,แม่มั่งเลย
ควรหรือพ่อ,หน่อนาถ,มาขาดจิต,สิ้นชีวิต,สิ้นชาติ,วาสนา,ให้แม่อยู่,ผู้เดียวเปลี่ยว,วิญญาณ์,อนิจจา,เจ้าไม่สั่ง,แม่มั่งเลย,มาทอดกาย,วายวาง,อยู่กลางหาด,ไม่มีอาสน์,อุ่นอ่อนที่,นอนเขนย,ระคายคัน,ขวัญใจ,เจ้าไม่เคย,พ่อคุณเอ๋ย,อนิจจา,น่าปรานี
มาทอดกาย,วายวาง,อยู่กลางหาด,ไม่มีอาสน์,อุ่นอ่อนที่,นอนเขนย,ระคายคัน,ขวัญใจ,เจ้าไม่เคย,พ่อคุณเอ๋ย,อนิจจา,น่าปรานี,นางสอดกร,ช้อนเกศ,ขึ้นประทับ,ดังจะดับ,ดวงชีวา,มารศรี,แสนวิโยค,โศกศัลย์,พันทวี,วิสัญญี,ภาพนิ่ง,ไม่ติงกาย
ดูลูกรัก,พักตร์เผือด,เลือดสลด,แสนรันทด,แทบชีวัง,จะสังขาร์,ด้วยความรัก,ลูกเลี้ยง,เพียงชีวา,เฝ้าโศกา,กอดไว้,ไม่ไกลกัน,ประหลาดเหลือ,เนื้อพ่อ,ยังอุ่นอ่อน,หรืออดนอน,นิทรา,ไม่อาสัญ,นางยอกร,วอนไหว้,ไทเทวัญ,ทุกช่องชั้น,ฉกา,มาวจร
ประหลาดเหลือ,เนื้อพ่อ,ยังอุ่นอ่อน,หรืออดนอน,นิทรา,ไม่อาสัญ,นางยอกร,วอนไหว้,ไทเทวัญ,ทุกช่องชั้น,ฉกา,มาวจร,ที่ขึ้นล่อง,ท้องทะเล,ทุกเทเวศร์,รุกขาเขต,เขาเขิน,เนินสิงขร,แม้นพระหน่อ,บดินทร์,นรินทร,จะม้วยมรณ์,มรณา,นิคาลัย
ที่ขึ้นล่อง,ท้องทะเล,ทุกเทเวศร์,รุกขาเขต,เขาเขิน,เนินสิงขร,แม้นพระหน่อ,บดินทร์,นรินทร,จะม้วยมรณ์,มรณา,นิคาลัย,ชีวิตข้า,อย่าให้รอด,จงมอดม้วย,ขอตายด้วย,ลูกรัก,ที่ตักษัย,แม้นบุญหลัง,ยังจะรอด,ตลอดไป,ขอจงให้,ลูกน้อย,ข้าค่อยคลาย
ชีวิตข้า,อย่าให้รอด,จงมอดม้วย,ขอตายด้วย,ลูกรัก,ที่ตักษัย,แม้นบุญหลัง,ยังจะรอด,ตลอดไป,ขอจงให้,ลูกน้อย,ข้าค่อยคลาย,พอขาดคำ,รำพัน,พิษฐาน,พระกุมาร,ฟื้นสม,อารมณ์หมาย,นางนวดเคล้น,เส้นศอ,หน่อนารายณ์,ร้องเรียกสาย,สวาทพลาง,ไม่วางใจ
ลืมพระเนตร,เห็นองค์,นางนงลักษณ์,เฝ้าฟูมฟัก,นวดฟั้น,แล้วกันแสง,เหมือนแม่,ลูกผูกจิต,ไม่คิดแคลง,อุตส่าห์แข็ง,ขืนอารมณ์,บังคมคัล,จึงทูลว่า,ข้าน้อย,นี้ม่อยหลับ,เปรียบเหมือนกับ,กายา,จะอาสัญ,พระมารดา,มาด้วย,ได้ช่วยกัน,หาไม่วัน,นี้เห็น,ไม่เป็นตัว
นางฟังตอบ,ปลอบประโลม,พระลูกน้อย,แม่ได้พลอย,พึ่งบุญ,พ่อทูนหัว,สารพัด,ศัตรูไม่,สู้กลัว,ได้รอดตัว,มาถึงเกาะ,เพราะโอรส,เจ้าม้วยมอด,วอดวาย,จะตายด้วย,เป็นเพื่อนม้วย,มรณา,ให้ปรากฏ,พ่อกลับคืน,ฟื้นพ้น,ชีวงคต,ค่อยเปลื้องปลด,ทุกข์ทนของ,ชนนี
