w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
เฉลิมยศ,พระบุตรี,นารีรัตน์,ตามกษัตริย์,ธิบดินทร์,นรินทร์สูร,อันกาศึก,เมืองนี้,บริบูรณ์,ทั้งตระกูล,เศรษฐี,พวกมีเรือ,รับสั่งของ,ต่างต่าง,ขึ้นห้างไว้,แล้วขนไป,เที่ยวขายข้าง,ฝ่ายเหนือ,ทั้งยุ้งฉาง,ใหญ่ใหญ่,ใส่ข้าวเกลือ,ใครขาดเหลือ,จับจ่าย,ให้เป็นทาน
มาเที่ยวชม,ยมนา,สาคเรศ,บังเกิดเหตุ,ลมกล้า,ฟ้าก็เหลือง,ตีกำปั่น,ปัดส่ง,หลงบ้านเมือง,ทั้งขัดเคือง,ของเสบียง,เลี้ยงโยธา,ขุนด่านแจ้ง,บอกเข้าไป,ในนิเวศน์,นำเอาเหตุ,เรื่องราว,ไปกล่าวหนา,กับท่านขุน,เสนี,ผู้ปรีชา,ให้ทูลฝ่า,บาทบงสุ์,ดำรงวัง
ในอักษร,ว่ากำปั่น,สักพันเศษ,เจ้าประเทศ,ปตาหวี,มียศถา,จากประเทศ,ไปเที่ยวชม,ยมนา,พลัดพารา,หลงทาง,ไปกลางชล,ถึงห้าเดือน,เฟือนทาง,สิ้นแผนที่,หลงมานี้,สารพัด,จะขัดสน,สิ้นเสบียง,เลี้ยงเสนา,ประชาชน,ไปตกวน,แทบจะตาย,วายชีวัน
ถึงห้าเดือน,เฟือนทาง,สิ้นแผนที่,หลงมานี้,สารพัด,จะขัดสน,สิ้นเสบียง,เลี้ยงเสนา,ประชาชน,ไปตกวน,แทบจะตาย,วายชีวัน,มาขอซื้อ,ข้าวปลา,กระยาหาร,พอสำราญ,อิ่มเอม,เกษมสันต์,ขออยู่ซื้อ,หาสัก,พอห้าวัน,พระทรงธรรม์,จะโปรดปราน,สถานใด
เหมือนอก,เราอกเขา,ก็เร่าร้อน,ต้องอาวรณ์,หลงมา,น่าสงสาร,อย่าต้องซื้อ,ต้องหา,ให้ช้าการ,กับอาหาร,ไม่กระไร,จะให้ปัน,จงไปเชิญ,เจ้าพารา,ขึ้นมาก่อน,มีทุกข์ร้อน,เป็นไฉน,จึ่งผายผัน,อันข้าวของ,เครื่องเสบียง,จะเลี้ยงกัน,เราให้ปัน,ดอกให้คน,มาขนไป
จงไปเชิญ,เจ้าพารา,ขึ้นมาก่อน,มีทุกข์ร้อน,เป็นไฉน,จึ่งผายผัน,อันข้าวของ,เครื่องเสบียง,จะเลี้ยงกัน,เราให้ปัน,ดอกให้คน,มาขนไป,เสนารับ,อภิวันท์,รีบผันผาย,ไปบรรยาย,ทูลแจ้ง,แถลงไข,ฝ่ายท่านท้าว,ปตาหวี,ก็ดีใจ,จึ่งเล่าให้,กับท่าน,อาจารย์ฟัง
บาทหลวงเฒ่า,ดีใจ,ไปเถิดหวา,เจ้าพารา,ชื่นชม,แล้วสมหวัง,เขาเมตตา,ปรานี,ดีกว่าชัง,ขึ้นไปฟัง,เจ้าพารา,จะปรานี,กูไปด้วย,จะได้ช่วย,พูดประจบ,ให้เขาคบ,เขารัก,เป็นศักดิ์ศรี,ได้ผูกพัน,กันไว้,เป็นไมตรี,คุณจะมี,อยู่ดอกหวา,พากันไป
แล้วให้แต่ง,พระโรงคัล,ที่ชั้นนอก,เราจะออ,กรับสู้,ผู้มาหา,ตำมะหง,งรับรส,พจนา,คลานออกมา,สั่งเสร็จ,สำเร็จการ,พอเช้าตรู่,สุริยา,ภาณุมาศ,ให้เคลื่อนคลาด,พวกพหล,พลทหาร,เอารถรัตน์,เทียมม้า,อาชาชาญ,ออกทวาร,นครา,รีบคลาไคล
พอเช้าตรู่,สุริยา,ภาณุมาศ,ให้เคลื่อนคลาด,พวกพหล,พลทหาร,เอารถรัตน์,เทียมม้า,อาชาชาญ,ออกทวาร,นครา,รีบคลาไคล,เดินกระบวน,ทวนธง,ตรงไปด่าน,ถึงสถาน,เมืองท่า,ชลาไหล,ให้หยุดพวก,จัตุรงค์,ทั้งธงชัย,คอยท้าวไท,จะขึ้นมา,จากสาคร
กับสิ่งของ,ต่างต่าง,อย่างฝรั่ง,เครื่องแขวงตั้ง,สารพัด,แกจัดสรร,เอาขึ้นไป,ตามทำนอง,ของกำนัล,รีบผายผัน,มาถึงท่า,หน้าบุรินทร์,พวกเสนา,ลงมา,อยู่คอยรับ,ต่างคำนับ,ชื่นชม,สมถวิล,เชิญให้ขึ้น,รถา,ไปธานินทร์,พร้อมกันสิ้น,แห่เข้าไป,ในนคร
