w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
แต่งตัวเป็น,เช่นลังกา,มาแต่แรก,ไม่เหมือน,แขกแปลกเขา,ชาวกรุงศรี,ถึงเดือนห้า,ฝ่ายมุลา,เจ้าธานี,เธอเป็นฝี,ที่ในท้อง,ตกหนองใน,พวกข้าเฝ้า,ป่าวร้อง,เสียงซ้องแซ่,ผู้ใดรู้,ดูแผล,ช่วยแก้ไข,ให้หายโรค,โศกเศร้า,ที่ท้าวไท,จะตั้งให้,เป็นขุนนาง,ให้รางวัล
ให้หมอดู,ภูวนาถ,คาดให้แน่,จะผันแปร,แก้พิษ,คิดไฉน,ฝรั่งดู,รู้ตำรา,จึงว่าไป,ฝีขึ้นใน,ไตตับ,ถึงอับจน,ไส้ทะลุ,พุพอง,น้ำหนองแตก,เกิดกาฬแทรก,ซ่านเซ็น,ทุกเส้นขน,เป็นเช่นนี้,มิรอด,แต่สักคน,เห็นไม่พ้น,มรณา,ในห้าวัน
ฝ่ายองค์ท้าว,เจ้าเมือง,คิดเคืองหมอ,เร่งผูกคอ,ออกไป,อ้ายสมัน,ใส่คุกไว้,ไม่เหมือนว่า,จะฆ่าฟัน,ตัดหัวมัน,เสียบซ้ำ,ให้หนำใจ,โอรสรับ,จับหมอ,ผูกคอลาก,ลงไปจาก,ชานพัก,ถีบผลักไส,อ้ายสมัน,นั้นตำรวจ,เร็วรวดไป,ส่งตัวให้,กรมเมือง,บอกเรื่องความ
จะขอขึ้น,ไปพบ,ในพลบค่ำ,มันก็กำ,กับให้,เข้าไปหา,ให้ค่าลด,ปลดเปลื้อง,เครื่องขื่อคา,พอเห็นหน้า,ครูขับให้,กลับไป,พระมาตึก,นึกถึงท่าน,อาจารย์นัก,เสือกซบพักตร์,โศกา,น้ำตาไหล,จะแลเหลียว,เปลี่ยวเปล่า,ง่วงเหงาใจ,สะอื้นไห้,ไม่วาย,ฟายน้ำตา
ฝ่ายสุบัน,เยเวลา,สักห้าทุ่ม,เห็นผู้คุม,กำกับ,เกือบหลับใหล,จึ่งร่ายมนตร์,ดลขลัง,กำบังไฟ,แล้วเป่าไป,แปดทิศด้วย,วิทยา,คนทั้งปวง,ง่วงหงับ,หลับไปหมด,เสกสะกด,กำบัง,ขลังคาถา,ปัดตลอด,ลอดออก,นอกขื่อคา,แล้วรีบมา,ถึงที่ตึก,ดึกสามยาม
ไม่ทำกล,ปล้นสะดม,เอาสมบัติ,ไม่ฆ่าสัตว์,ตัดชีวิต,ริษยา,มันจัณฑาล,พานพาโล,จึ่งโกรธา,จะไปฆ่า,เจ้าเมือง,ให้เลื่องลือ,แล้วหยุดหย่อน,สอนมนตร์,ดลชะงัด,ให้พระหัส,กันรับ,ด้วยนับถือ,ได้ติดตาม,ยามดึก,ด้วยฝึกปรือ,ด้วยสัตย์ซื่อ,สุจริต,ไม่ปิดบัง
แล้วหยุดหย่อน,สอนมนตร์,ดลชะงัด,ให้พระหัส,กันรับ,ด้วยนับถือ,ได้ติดตาม,ยามดึก,ด้วยฝึกปรือ,ด้วยสัตย์ซื่อ,สุจริต,ไม่ปิดบัง,แล้วแต่งกาย,กรายกระบี่,เหน็บตรีกริช,ออกนำหน้า,สานุศิษย์,ติดตามหลัง,สะกดเงียบ,เซียบเสียง,เข้าเวียงวัง,ต่างขึ้นยัง,ตึกอยู่,ด้วยรู้ชัด
แล้วแต่งกาย,กรายกระบี่,เหน็บตรีกริช,ออกนำหน้า,สานุศิษย์,ติดตามหลัง,สะกดเงียบ,เซียบเสียง,เข้าเวียงวัง,ต่างขึ้นยัง,ตึกอยู่,ด้วยรู้ชัด,เห็นโอร,สอดจิต,คิดสมเพช,เป็นปลายเหตุ,เวทนา,รักษาสัตย์,ถึงเจ้าเมือง,เคืองแค้น,ขึ้นแท่นรัตน์,ถีบให้พลัด,ตกสุ,วรรณบัลลังก์
เห็นโอร,สอดจิต,คิดสมเพช,เป็นปลายเหตุ,เวทนา,รักษาสัตย์,ถึงเจ้าเมือง,เคืองแค้น,ขึ้นแท่นรัตน์,ถีบให้พลัด,ตกสุ,วรรณบัลลังก์,แล้วห้ำหั่น,ฟันฟาด,ฉุดฉาดฉะ,ตัดศีรษะ,ขาดสม,อารมณ์หวัง,หิ้วหัวออก,นอกเขต,นิเวศน์วัง,ออกไปฝัง,เสียปลาย,ท้ายกรุงไกร
ฝ่ายบุรินทร์,อินทรา,เวลาเช้า,เห็นจอมเกล้า,เจ้าพารา,นั้นอาสัญ,ไม่มีหัว,ตัวหวะ,รอยฉะฟัน,ต่างบอกกัน,วิ่งอึง,คะนึงไป,ทั้งเสนา,ข้าบาท,ราชโอรส,โศกกำสรด,โศกา,น้ำตาไหล,ฝ่ายขุนนาง,ข้างนอก,บอกข้างใน,หมอที่ใส่,คุกหนี,มีวิชา
