w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ยิ่งวิตก,อกตรม,ระทมทุกข์,ไม่มีสุข,สารพัด,จะขัดขวาง,ทุกคืนค่ำ,รำลึก,นึกถึงนาง,มาเริศร้าง,ค้างงาน,การวิวาห์,พี่ติดตาม,ทรามสวาท,ก็คลาดแคล้ว,ไม่พบแก้ว,นัยน์เนตร,ของเชษฐา,มาแลเหลียว,เปลี่ยวเปล่าเศร้า,วิญญาณ์,เห็นแต่ฟ้า,กับน้ำ,ทุกค่ำคืน
พี่ติดตาม,ทรามสวาท,ก็คลาดแคล้ว,ไม่พบแก้ว,นัยน์เนตร,ของเชษฐา,มาแลเหลียว,เปลี่ยวเปล่าเศร้า,วิญญาณ์,เห็นแต่ฟ้า,กับน้ำ,ทุกค่ำคืน,ทั้งกำปั่น,บรรดา,โยธาหาญ,อลหม่าน,แล่นหลาม,มาตามคลื่น,พอแสงทอง,ส่องสว่าง,นภางค์พื้น,ต่างยิงปืน,รับกัน,เป็นสัญญา
บ้างลุกขึ้น,ยืนมอง,บ้างป้องหน้า,ยังไกลตา,เต็มพิศ,คิดฉงน,อุศเร,นเห็นที,จะมีคน,แวะขึ้นค้น,ดูให้สิ้น,ที่กินใจ,จึงสั่งให้,นายท้าย,บ่ายกำปั่น,หมายสำคัญ,ทิวธง,ด้วยสงสัย,พวกฝรั่ง,หยั่งน้ำ,ร่ำเข้าไป,ทั้งนายไพร่,พร้อมมา,ในสาคร
จะกล่าวถึง,พระอภัย,วิไลลักษณ์,ซึ่งสำนัก,อยู่มหิ,งขสิงขร,กับคนร้อย,คอยท่า,เภตราจร,เป็นทุกข์ร้อน,ร่ำมา,ถึงห้าเดือน,ได้แต่กิน,เผือกมันพรรณ,ผลไม้,แสนลำบาก,ยากไร้ใคร,จะเหมือน,คิดบ่นจำ,ธรรมขันธ์,ไม่ฟั่นเฟือน,อุตส่าห์เตือน,กันให้ภา,วนามนต์
ได้แต่กิน,เผือกมันพรรณ,ผลไม้,แสนลำบาก,ยากไร้ใคร,จะเหมือน,คิดบ่นจำ,ธรรมขันธ์,ไม่ฟั่นเฟือน,อุตส่าห์เตือน,กันให้ภา,วนามนต์,พระโศกศัลย์,รันทด,สลดจิต,ด้วยสุดคิด,สารพัด,จะขัดสน,ทั้งลูกน้อย,พลอยหาย,ในสายชล,จะอับจน,หรือจะรอด,ตลอดไป
แล้วคิดถึง,สุมาลี,ศรีสวัสดิ์,ระลอกซัด,สูญไป,น่าใจหาย,อันท้าวไท,ไหนจะรอด,คงวอดวาย,อันจะว่าย,สายสมุทร,สุดกำลัง,โอ้ตัวเรา,เล่ามาค้าง,อยู่กลางเกาะ,นี่เนื้อเคราะห์,กรรมสร้าง,แต่ปางหลัง,มิได้คืน,นัคเรศ,นิเวศน์วัง,โอ้แสนสัง,เวชใจ,กระไรเลย
แต่แสนยาก,แล้วมิหนำ,มาซ้ำแยก,ทั้งเรือแตก,ต้องมาอยู่,บนภูเขา,แสนวิโยค,โศกศัลย์,ไม่บรรเทา,กำสรดเศร้า,โศกา,ทุกราตรี,เมื่อวันนั้น,บรรดา,แขกฝรั่ง,อยู่พร้อมพรั่ง,นั่งประณต,บทศรี,พอแลเห็น,เภตรา,ในวารี,พยุตี,ตัดทาง,มากลางชล
เมื่อวันนั้น,บรรดา,แขกฝรั่ง,อยู่พร้อมพรั่ง,นั่งประณต,บทศรี,พอแลเห็น,เภตรา,ในวารี,พยุตี,ตัดทาง,มากลางชล,ชี้พระหัตถ์,ตรัสบอก,บ่าวทั้งนั้น,โน่นกำปั่น,แล่นสลับ,มาสับสน,มีธงเทียว,เขียวเหลือง,แลชอบกล,พวกไพร่พล,ดูพลาง,ไม่วางตา
ชี้พระหัตถ์,ตรัสบอก,บ่าวทั้งนั้น,โน่นกำปั่น,แล่นสลับ,มาสับสน,มีธงเทียว,เขียวเหลือง,แลชอบกล,พวกไพร่พล,ดูพลาง,ไม่วางตา,บ้างก็ว่า,มากมาย,เห็นหลายร้อย,ยังแล่นลอย,ไรไร,ไกลนักหนา,บ้างบนเจ้า,อ่าวทะเล,เทวดา,ขอให้มา,ถึงเรา,ที่เขานี้
บ้างก็ว่า,มากมาย,เห็นหลายร้อย,ยังแล่นลอย,ไรไร,ไกลนักหนา,บ้างบนเจ้า,อ่าวทะเล,เทวดา,ขอให้มา,ถึงเรา,ที่เขานี้,แม้นโดยสาร,ได้สม,อารมณ์หมาย,จะถวาย,เป็ดไก่,กับบายศรี,พระโฉมยง,ลงมา,หน้าคิรี,กับโยธี,ยืนท่า,เภตราจร
