w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายลูกสาว,เจ้าลังกา,พระยาหญิง,ไม่มีสิ่ง,สุขจิต,คิดถวิล,ถึงเวลา,ว่าขาน,การแผ่นดิน,ก็ได้ยิน,เรื่องเขาฆ่า,บิดาตาย,นางทรงฟัง,ดังพระกรรณ,จะลั่นออก,เหมือนหนาม,ยอกเสียบหู,ไม่รู้หาย,ถึงยามนอน,ถอนฤทัย,ให้ระคาย,คิดอุบาย,บาทหลวง,เพียงทรวงโทรม
นางทรงฟัง,ดังพระกรรณ,จะลั่นออก,เหมือนหนาม,ยอกเสียบหู,ไม่รู้หาย,ถึงยามนอน,ถอนฤทัย,ให้ระคาย,คิดอุบาย,บาทหลวง,เพียงทรวงโทรม,ไม่เห็นหน,กลศึก,ที่ลึกซึ้ง,แสนรำพึง,ผอมซูบ,พระรูปโฉม,ทุกทุ่มยาม,ห้ามฆ้อง,กลองประโคม,มิให้โครม,ครื้นครึก,ด้วยตรึกตรอง
นางฟังสี่,พี่เลี้ยง,ประโลมปลอบ,ค่อยชื่นชอบ,ชี้ทาง,สว่างไสว,พอเช้าตรู่,สุริโย,อโณทัย,สั่งให้ไข,สินธุ,พุละออง,นางสรงชล,บนเตียง,พี่เลี้ยงล้อม,ประณตน้อม,พระบุตรี,สีขนอง,ขัดสุคนธ์,ปนเจือ,ด้วยเนื้อทอง,นวลละออง,อำไพ,วิไลตา
นางสรงชล,บนเตียง,พี่เลี้ยงล้อม,ประณตน้อม,พระบุตรี,สีขนอง,ขัดสุคนธ์,ปนเจือ,ด้วยเนื้อทอง,นวลละออง,อำไพ,วิไลตา,แล้วแต่งองค์,ทรงเครื่อง,เรืองจำรัส,อย่างกษัตริย์,บิตุเรศ,พระเชษฐา,พี่เลี้ยงเหล่า,สาวสรรค์,กัลยา,ล้วนปรีชา,เชิญพระแสง,แต่งเป็นชาย
ลงจากรถ,บทบาท,ค่อยยาตรย่าง,พี่เลี้ยงนาง,นำเสด็จ,ไม่เข็ดขาม,สาวสะเทิ้น,เชิญพระแสง,คอยแซงตาม,ชมอาราม,รุ่งโรจน์,โบสถ์โบราณ,เพิงผนัง,หลังคา,โอฬารึก,กุฎีตึก,โตโต,รโหฐาน,บันไดคด,ลดหลั่น,เป็นชั้นชาน,ศิลาลาน,เลี่ยนลาด,สะอาดตา
เพิงผนัง,หลังคา,โอฬารึก,กุฎีตึก,โตโต,รโหฐาน,บันไดคด,ลดหลั่น,เป็นชั้นชาน,ศิลาลาน,เลี่ยนลาด,สะอาดตา,ปลูกต้นแก้ว,ทับทิม,ที่ริมตึก,ร่มระรื่น,ครื้นครึก,ล้วนพฤกษา,กุหลาบดอก,ออกแซม,แย้มระย้า,ทั้งพุดจีบ,ปีบจำปา,สารภี
ปลูกต้นแก้ว,ทับทิม,ที่ริมตึก,ร่มระรื่น,ครื้นครึก,ล้วนพฤกษา,กุหลาบดอก,ออกแซม,แย้มระย้า,ทั้งพุดจีบ,ปีบจำปา,สารภี,หอมรวยรวย,ชวยชื่น,ระรื่นรส,ดอกไม้สด,สองข้าง,ทางวิถี,สี่พี่เลี้ยง,เคียงคลอ,จรลี,ขึ้นกุฎี,บาทหลวง,มีควงกล
บาทหลวงฟัง,นั่งนึก,เห็นลึกแหลม,ไอกระแอม,อุบอิบ,กระซิบสอน,อันดวงตรา,ราหู,คู่นคร,ข่าวขจร,เจริญ,มาเนิ่นนาน,ทุกด้าวแดน,แสนรัก,จักใคร่ได้,เขียนบอกไป,ในกระ,ดาษราชสาร,แม้นใครรับ,ดับร้อน,ช่วยรอนราญ,จะเชิญท่าน,ผ่านผดุง,กรุงลังกา
กับรูปวาด,ราชสาร,การสรรเสริญ,ไปเที่ยวเชิญ,ท้าวพระยา,คงมาหมด,ได้ใช้เล่น,เช่นเขาว่า,เสนามด,เพราะรักยศ,รักหญิง,ช่วยชิงชัย,อันถิ่นฐาน,บ้านเมือง,ที่เรืองเดช,หลายประเทศ,แผนที่,คัมภีร์ไสย,ทั้งแยบยล,กลศึก,จารึกไว้,ตั้งแต่ไตร,ดายุค,ทุกแผ่นดิน
อันถิ่นฐาน,บ้านเมือง,ที่เรืองเดช,หลายประเทศ,แผนที่,คัมภีร์ไสย,ทั้งแยบยล,กลศึก,จารึกไว้,ตั้งแต่ไตร,ดายุค,ทุกแผ่นดิน,แม้นเรียนได้,ไว้เป็นครู,รู้ทำเนียบ,จะคิดเทียบ,ทำอย่างไร,ก็ได้สิ้น,ไม่เหนื่อยใจ,ไพร่ฟ้า,ข้าแผ่นดิน,ใช้แต่ลิ้น,ก็พอเห็น,จะเป็นการ
แม้นเรียนได้,ไว้เป็นครู,รู้ทำเนียบ,จะคิดเทียบ,ทำอย่างไร,ก็ได้สิ้น,ไม่เหนื่อยใจ,ไพร่ฟ้า,ข้าแผ่นดิน,ใช้แต่ลิ้น,ก็พอเห็น,จะเป็นการ,พลางไขตู้,ดูตำรา,ไตรดายุค,แผนที่ทุก,ถิ่นประเทศ,เขตสถาน,ให้ลูกสาว,เจ้าลังกา,แล้วอาจารย์,ก็บอกการ,กลเล่ห์,เสน่ห์ชาย
พลางไขตู้,ดูตำรา,ไตรดายุค,แผนที่ทุก,ถิ่นประเทศ,เขตสถาน,ให้ลูกสาว,เจ้าลังกา,แล้วอาจารย์,ก็บอกการ,กลเล่ห์,เสน่ห์ชาย,เสกสุคนธ์,ปนยาแก้ว,ตามนุษย์,แม้บุรุษ,เห็นพักตร์,รักไม่หาย,ยิ่งถูกมือ,หรือว่าได้,เข้าใกล้กาย,คนนั้นตาย,ด้วยได้,เพราะใจรัก
บาทหลวงนั่ง,ฟังหัวร่อ,แล้วขอโทษ,อย่ากริ้วโกรธ,ตรองตรึก,หมั่นศึกษา,นางจดจำ,คำนับ,รับตำรา,ทั้งผืนผ้า,แผนที่,ด้วยดีใจ,เอาใส่หีบ,จีบจับระ,ดับกระดาษ,ตำรับราช,สงคราม,ตามวิสัย,ให้คนหาม,ตามหลัง,เข้าวังใน,นางตั้งใจ,พากเพียร,เรียนตำรา
เอาใส่หีบ,จีบจับระ,ดับกระดาษ,ตำรับราช,สงคราม,ตามวิสัย,ให้คนหาม,ตามหลัง,เข้าวังใน,นางตั้งใจ,พากเพียร,เรียนตำรา,รู้วิสัย,ไตรเพท,ประเทศถิ่น,ภูมิแผ่นดิน,แดนทะเล,พระเวหา,แล้วจ้างนาง,โลภหนัก,มาควักตา,ประสมยา,ยอดเสน่ห์,ด้วยเล่ห์กล
รู้วิสัย,ไตรเพท,ประเทศถิ่น,ภูมิแผ่นดิน,แดนทะเล,พระเวหา,แล้วจ้างนาง,โลภหนัก,มาควักตา,ประสมยา,ยอดเสน่ห์,ด้วยเล่ห์กล,เลือกเหล่าสา,วสุรางค์,สำอางโฉม,งามประโลม,ล้ำหญิง,ในสิงหล,ที่รุ่นราว,สาวน้อย,ได้ร้อยคน,มาสอนกล,สตรี,ให้ปรีชา
เลือกเหล่าสา,วสุรางค์,สำอางโฉม,งามประโลม,ล้ำหญิง,ในสิงหล,ที่รุ่นราว,สาวน้อย,ได้ร้อยคน,มาสอนกล,สตรี,ให้ปรีชา,แม้นชายใด,ได้ปะ,พอประเนตร,แสนเทวษ,หวังรัก,นั้นนักหนา,แล้วฝึกหญิง,ยิงธนู,รู้ศัสตรา,เป็นรักษา,องค์นั้น,สามพันคน
กับรูปนาง,ช่างเขียน,ไม่เพี้ยนผิด,ตามจริต,เมืองทมิฬ,สิ้นทั้งหลาย,สารสำหรับ,กับรูป,ของเจ้านาย,ไปฝากฝ่าย,เมืองมี,ไมตรีกัน,เที่ยวเชิญท้าว,เจ้าบุรินทร์,ปิ่นประเทศ,ทั้งต่างเพศ,เพียงยักษ์,มักกะสัน,ด้วยแผนที่,มีแจ้ง,แห่งสำคัญ,เกณฑ์กำปั่น,ไปลำ,ละตำบล
เที่ยวเชิญท้าว,เจ้าบุรินทร์,ปิ่นประเทศ,ทั้งต่างเพศ,เพียงยักษ์,มักกะสัน,ด้วยแผนที่,มีแจ้ง,แห่งสำคัญ,เกณฑ์กำปั่น,ไปลำ,ละตำบล,แล้วเกณฑ์ไพร่,ไปตั้ง,วังสนาม,ที่ท่าข้าม,ขอบฝั่ง,หลังถนน,ก่อกำแพง,แหล่งล้อม,ป้อมประจญ,มีตึกกล,สูงใหญ่,กระไดเวียน
