w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ยังตั้งมั่น,แข็งแรง,หรือหย่อนฤทธิ์,จะได้คิด,รบพุ่ง,เอากรุงศรี,เองจงไป,พูดลวง,ดูท่วงที,ว่ากูนี้,ให้บาทหลวง,มาทวงเมือง,มันจะว่า,อย่างไร,แก้ไขตอบ,ตามระบอบ,ว่าให้รู้,ถึงหูเหือง,ให้มันไป,บอกเล่า,แก่เจ้าเมือง,ว่าบทเบื้อง,แต่บุรม,บุราณการ
ฝ่ายไทท้าว,โรมพัฒน์,เขาสัตย์ซื่อ,ด้วยนับถือ,ทั่วจังหวัด,ไม่ขัดขืน,จึงตรัสสั่ง,เสนา,ว่ามะรืน,เร่งจัดปืน,ผาใส่,ในเภตรา,ทั้งต้นหน,คนใช้,ในกำปั่น,เจ้าคุณท่าน,จะให้ไป,ในมหา,สาคเรศ,เขตแคว้น,แดนลังกา,ทั้งข้าวปลา,เครื่องเสบียง,ของเลี้ยงคน
จะสั่งสอน,ศาสนา,ว่าด้วยโลก,จะดับโศก,นรชน,พวกคนหลง,ขุนด่านแจ้ง,แต่งบอก,ไปโดยจง,ทูลพระองค์,เจ้าบุรินทร์,ปิ่นลังกา,พวกคนใช้,รีบเข้าไป,ยังสถาน,ทูลพระผ่าน,ธิบดินทร์,ปิ่นมหา,กษัตริย์เจ้า,จอมวัง,กรุงลังกา,ให้ทราบฝ่า,บาทบงสุ์,ผู้ทรงชัย
กษัตริย์สุด,สาคร,บวรนาถ,ตรัสประภาษ,แก่เจ้าท่า,ชลาไหล,มันเป็นคน,เจ้าสำนวน,พูดกวนใจ,ครั้นจะให้,มันเข้ามา,ในธานี,ก็จะพูด,ยั่วยวน,กวนโทโส,ทำโกโร,อวดรู้,พูดสูสี,พระจึงสั่ง,กรมท่า,อย่าช้าที,ไปรับที่,เมืองด่าน,ชานนคร
แล้วจัดแจง,แต่งที่,ตึกทำใหม่,ตั้งโต๊ะใหญ่,เก้าอี้,ดีขยัน,ตั้งคนโท,ถ้วยน้ำ,ของสำคัญ,ให้จัดสรร,รับรอง,ล้วนของดี,แล้วแต่งเรือ,เอกชัย,ฝีพายพร้อม,เรือแห่ห้อม,คู่หน้า,ดาดผ้าสี,รีบไปถึง,กำปั่น,ด้วยทันที,ขุนเสนี,ก็ขึ้นไป,ในเภตรา
แล้วแต่งเรือ,เอกชัย,ฝีพายพร้อม,เรือแห่ห้อม,คู่หน้า,ดาดผ้าสี,รีบไปถึง,กำปั่น,ด้วยทันที,ขุนเสนี,ก็ขึ้นไป,ในเภตรา,บาทหลวงว่า,มานั่ง,บนเก้าอี้,สูบบุหรี่,ให้สบาย,ก่อนนายขา,แล้วจะ,ได้ขึ้นไป,สนทนา,กับมหา,อำมาตย์,ข้าราชการ
เข้าประตู,เมืองด่าน,ชานสมุทร,แล้วยั้งหยุด,รถเรียง,เคียงไสว,เสนาพา,ดาวิด,ขึ้นบันได,เข้าตึกใหญ่,ท่านเสนี,ผู้ปรีชา,มาคำนับ,จับมือ,เชิญไปนั่ง,ที่โต๊ะตั้ง,เก้าอี้,ที่ปรึกษา,ราชการ,บ้านเมือง,เรื่องนานา,ตั้งน้ำชา,กล้วยขนม,ทั้งนมเนย
มาคำนับ,จับมือ,เชิญไปนั่ง,ที่โต๊ะตั้ง,เก้าอี้,ที่ปรึกษา,ราชการ,บ้านเมือง,เรื่องนานา,ตั้งน้ำชา,กล้วยขนม,ทั้งนมเนย,แล้วเชิญให้,กินอยู่,ดูจริต,มันจะคิด,อย่างไรมั่ง,ฟังเฉลย,บาทหลวงพูด,ชักทำเนียบ,มาเปรียบเปรย,ว่าเราเคย,อยู่ลังกา,มาช้านาน
แล้วเชิญให้,กินอยู่,ดูจริต,มันจะคิด,อย่างไรมั่ง,ฟังเฉลย,บาทหลวงพูด,ชักทำเนียบ,มาเปรียบเปรย,ว่าเราเคย,อยู่ลังกา,มาช้านาน,เมื่อเสียเมือง,เรื่องหลัง,เรายังเด็ก,เดินสารเจ๊ก,เขาไป,ไกลสถาน,ครั้นโตใหญ่,ไปเที่ยวหา,พระอาจารย์,ท่านโองการ,บวชให้,มาหลายปี
เมื่อเสียเมือง,เรื่องหลัง,เรายังเด็ก,เดินสารเจ๊ก,เขาไป,ไกลสถาน,ครั้นโตใหญ่,ไปเที่ยวหา,พระอาจารย์,ท่านโองการ,บวชให้,มาหลายปี,เป็นบาทหลวง,ล่วงรู้ใน,ศาสนา,จึงเที่ยวมา,สอนสั่ง,ทางวิถี,ในประเทศ,เขตแคว้น,แดนบุรี,การชั่วดี,ให้ระงับ,เร่งกลับใจ
