w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายยุพา,ผกา,ก้มหน้ายิ้ม,ด้วยนึกอิ่ม,อารมณ์,ที่สมหวัง,จึงว่าพี่,รำภา,ดูน่าชัง,จะเหมือน,ดังเรื่องราว,ท่านกล่าวไว้,ว่ารักนัก,มักหน่าย,มักหายรัก,ถ้าคิดนัก,มักงง,มักหลงใหล,แม้เสร็จศึก,นึกหมาย,ข้างภายใน,แล้วจะ,ได้ผ่อนผัน,ตามปัญญา
ว่ารักนัก,มักหน่าย,มักหายรัก,ถ้าคิดนัก,มักงง,มักหลงใหล,แม้เสร็จศึก,นึกหมาย,ข้างภายใน,แล้วจะ,ได้ผ่อนผัน,ตามปัญญา,อันศึกนอก,ออกตี,ด้วยฝีปาก,เห็นไม่ยาก,ใจนัก,ไม่หนักหนา,เป็นการเบา,เท่านี้,พี่รำภา,จะอาสา,ปราบได้,ดังใจจง
พระแย้มยิ้ม,พริ้มเพรา,ว่าเจ้าพี่,ไม่หน่ายหนี,นุชนาฏ,อย่ามาดหมาย,ซึ่งสิ่งไร,ได้รับ,ไม่กลับกลาย,จะเป็นตาย,อย่างไร,ไม่ไกลกัน,ถึงแก่กก,งกเงิ่น,เดินไม่รอด,จะสู้กอด,แก้วตา,จนอาสัญ,ซึ่งพระน้อง,กองทัพ,มารับนั้น,ถึงผูกพัน,พวกลาก,ไม่อยากไป
ถึงแก่กก,งกเงิ่น,เดินไม่รอด,จะสู้กอด,แก้วตา,จนอาสัญ,ซึ่งพระน้อง,กองทัพ,มารับนั้น,ถึงผูกพัน,พวกลาก,ไม่อยากไป,พอน้ำข้าว,ลำเลียง,เสบียงหมด,ก็จะอด,อ่อนหู,ไม่อยู่ได้,ห้ามฝรั่ง,ลังกา,อย่าให้ใคร,ไปส่งให้,ข้าวน้ำ,เป็นลำเลียง
นางละเวง,เกรงเหล่า,ชาวผลึก,จะทำศึก,ว้าวุ่น,จึงทูลเถียง,พระน้องมา,ธานี,จะมิเลี้ยง,ก็ผิดเยี่ยง,อย่างกษัตริย์,ขัตติยา,จะแต่งโต๊ะ,ตามอย่าง,ข้างฝรั่ง,ถวายทั้ง,สององค์,ตามวงศา,ทั้งนายทัพ,กับพราหมณ์,สามเวลา,เหล่าโยธา,จ่ายเสบียง,ให้เลี้ยงกัน
จะแต่งโต๊ะ,ตามอย่าง,ข้างฝรั่ง,ถวายทั้ง,สององค์,ตามวงศา,ทั้งนายทัพ,กับพราหมณ์,สามเวลา,เหล่าโยธา,จ่ายเสบียง,ให้เลี้ยงกัน,เชิญพระองค์,ส่งสาร,อาการไข้,ไปบอกให้,เห็นจริง,ทุกสิ่งสรรพ์,อันโอรส,กับพระน้อง,ทั้งสองนั้น,จะพากัน,มาเฝ้า,ก็เข้ามา
เจ้าเอ็นดู,ชูช่วย,เราด้วยเถิด,อย่าให้เกิด,รบพุ่ง,ถึงกรุงศรี,จะปราบปราม,ห้ามได้,ด้วยไมตรี,เนื้อความนี้,เจ้าก็รู้,อยู่ด้วยกัน,ศรีสุวรรณ,นั้นเป็นใหญ่,อยู่ในทัพ,เจ้าเคยรับ,รบสู้,เป็นคู่ขัน,เจ้าพูดล่อ,พอให้หลง,ลืมพงศ์พันธุ์,ตัวสำคัญ,เอามาขัง,ไว้วังใน
นางยิ้มแย้ม,แต้มเติม,ช่วยเสริมส่ง,กลัวจะ,งงจิกปีก,เสียอีกเจ้า,แป้งสุคนธ์,มนตรา,ตำราเรา,จะให้เจ้า,จูงจมูก,มาผูกไว้,แล้วโฉมยง,ทรงเขียน,ให้เรียนมนต์,เสกสุคนธ์,ใส่เวท,ข้างเพทไสย,แล้วว่าเจ้า,เอาหนังสือ,นี้ถือไป,อาการไข้,ให้แก่พระ,อนุชา
แล้วโฉมยง,ทรงเขียน,ให้เรียนมนต์,เสกสุคนธ์,ใส่เวท,ข้างเพทไสย,แล้วว่าเจ้า,เอาหนังสือ,นี้ถือไป,อาการไข้,ให้แก่พระ,อนุชา,ขอบาญ,ชีที่ทัพ,จะรับเลี้ยง,ให้พร้อมเพรียง,ไพร่นาย,ทั้งซ้ายขวา,ทั้งเครื่องของ,สองกษัตริย์,ขัตติยา,ว่าของข้า,ให้ไป,ด้วยใจจง
แล้วเลือกสรร,บรรดา,เหล่าข้าหลวง,ที่งามท่วง,ทีละมุน,พึ่งรุ่นสาว,เชิญเครื่องทอง,ของประทาน,ทั้งหวานคาว,แล้วมีท้าว,นางกำกับ,สำหรับยศ,ทั้งหีบทอง,ของนาง,เป็นอย่างเอก,ใส่เครื่องเสก,ผ้าเช็ดหน้า,บุหงาสด,ครั้นแล้วออก,นอกวัง,ขึ้นนั่งรถ,คนกั้นกลด,ตรงมา,ท้ายธานี
ทั้งหีบทอง,ของนาง,เป็นอย่างเอก,ใส่เครื่องเสก,ผ้าเช็ดหน้า,บุหงาสด,ครั้นแล้วออก,นอกวัง,ขึ้นนั่งรถ,คนกั้นกลด,ตรงมา,ท้ายธานี,ถึงริมค่าย,นายประตู,มาขู่ถาม,จึงบอกนาม,ว่ารำภา,สะหรี,จะมาเฝ้า,เล่าตาม,เนื้อความมี,อย่าช้าที,ทูลแถลง,แจ้งกิจจา
นายประตู,รู้รีบไป,ทูลสนอง,พระตรึกตรอง,กริ่งใจ,จึงให้หา,นางดีใจ,ไปคำนับ,ที่พลับพลา,พอเห็นหน้า,นางมนต์,เข้าดลใจ,ตะลึงจิต,พิศดู,เป็นครู่พัก,ยิ่งนึกรัก,รูปทรง,จนหลงใหล,ดูคมขำ,สำอาง,ทุกอย่างไป,จะดูไหน,งามนั่น,เป็นขวัญตา
พระพรายพริ้ม,ยิ้มเยื้อน,แล้วเอื้อนโอษฐ์,ไม่ถือโทษ,โฉมตรู,ใช่ผู้อื่น,เมื่อพานพบ,รบราญ,กันวานซืน,ก็ได้ชื่น,จิตอยู่,ไม่รู้ลืม,รำลึกถึง,พึ่งจะพบ,ประสบพักตร์,เคยรู้จัก,กันก็ให้,น้ำใจปลื้ม,อันหมวกของ,น้องรัก,พี่จักยืม,ไว้พอลืม,ตรอมตรม,ได้ชมเชย
