w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายโฉมยง,องค์ละเวง,วัณฬาราช,ด้วยสามารถ,มีตรา,พระราหู,เมื่อศึกเข้า,เผาวัง,พังประตู,นางไปอยู่,เขาพยนต์,พ้นอัคคี,คอยแลดู,หมู่ทหาร,ผลาญข้าศึก,พลผลึก,ล้มตาย,กระจายหนี,ยิ่งชื่นชม,สมคะเน,นางเทวี,ได้ยินปี่,เป่าเพราะ,เสนาะใน
คอยแลดู,หมู่ทหาร,ผลาญข้าศึก,พลผลึก,ล้มตาย,กระจายหนี,ยิ่งชื่นชม,สมคะเน,นางเทวี,ได้ยินปี่,เป่าเพราะ,เสนาะใน,สำเนียงดัง,วังเวง,เพลงสังวาส,ดูวินาศ,นอนซบ,สลบไสล,ยังแต่นาง,พลางสลด,ระทดใจ,จะเรียกใคร,ก็ไม่ตื่น,ไม่ฟื้นกาย
สำเนียงดัง,วังเวง,เพลงสังวาส,ดูวินาศ,นอนซบ,สลบไสล,ยังแต่นาง,พลางสลด,ระทดใจ,จะเรียกใคร,ก็ไม่ตื่น,ไม่ฟื้นกาย,นางโฉมยง,องค์สั่น,ให้หวั่นหวาด,กัมปนาท,นึกพรั่น,พระขวัญหาย,คิดสังเกต,เหตุผล,กลอุบาย,เห็นดีร้าย,พระอภัย,ใจฉกรรจ์
โอ้เคราะห์กรรม,ซ้ำร้าย,อายอดสู,เป็นสุดรู้,สุดฤทธิ์,คิดไฉน,แล้วนึกแค้น,แม้นปะ,พระอภัย,จะชิงชัย,แก้แค้น,แทนบิดา,คิดจะใคร่,ไปดู,ให้รู้แน่,จะอยู่แต่,ลำพัง,กระมังหนา,ได้รบสู้,ดูฝีมือ,ให้ลือชา,เมื่อกรรมมา,ถึงกาย,ก็วายปราณ
พระอภัย,ใจกล้า,เห็นข้าศึก,ลุกสะอึก,องอาจ,ฟาดพระแสง,นางแทงอีก,หลีกเลี่ยง,ก็เพลี่ยงแพลง,พระต่อแย้ง,ยกปืน,ขึ้นยืนยิง,ถูกปากม้า,พาโลด,กระโดดดีด,นางร้องหวีด,เต็มเสียง,สำเนียงหญิง,ครั้นรู้สึก,นึกอาย,ในใจจริง,นางควบมิ่ง,ม้ากลับ,ไปทัพชัย
ฝ่ายพระองค์,ทรงเดช,เกศกษัตริย์,ให้คิดขัด,เคืองแค้น,แสนสงสัย,นางคนนี้,ดีทายาด,บังอาจใจ,อยู่ที่ไหน,หนอจึงแกล้ง,แปลงเป็นชาย,หรือลูกสาว,เจ้าลังกา,มีตราแก้ว,จึงกล้าแกล้ว,แคล้วคลาด,ประมาทหมาย,จะตามติด,คิดล้าง,ให้วางวาย,พลางแต่งกาย,กุมกระบี่,เหน็บปี่ทรง
เห็นคล้ายคล้าย,พรายพร่าง,ไปข้างหน้า,ด้วยดวงตรา,แก้วสว่าง,กระจ่างแสง,สกัดกั้น,ทันนาง,ที่กลางแปลง,นางพลิ้วแผลง,เกาทัณฑ์,ประจัญบาน,พระหลบเลี่ยง,เพลี่ยงผิด,ประชิดไล่,นางฟาดไฟ,กรดพราย,กระจายผลาญ,ถูกกายกร,ร้อนรน,พระทนทาน,โถมทะยาน,ฉวยพลาด,นางฟาดฟัน
พระหลบเลี่ยง,เพลี่ยงผิด,ประชิดไล่,นางฟาดไฟ,กรดพราย,กระจายผลาญ,ถูกกายกร,ร้อนรน,พระทนทาน,โถมทะยาน,ฉวยพลาด,นางฟาดฟัน,พระรับรอง,ป้องปัด,สกัดจับ,นางกลอกกลับ,เลี้ยวลัด,สะบัดผัน,จนอาวุธ,หลุดพระกร,อ่อนด้วยกัน,นางกระสัน,สายตรา,คอยราวี
พระอภัย,ได้แส้,ตีสินธพ,คอยรับรบ,กันตราของ,มารศรี,แต่เรียงรอ,ล่อลวง,ดูท่วงที,มาถึงที่,แจ้งกระจ่าง,สว่างไฟ,พระเห็นพักตร์,ลักษณา,วัณฬาน้อย,ดูแช่มช้อย,ชื่นจิต,พิสมัย,ยิ่งเพ่งพิศ,ฤทธิ์สุคนธ์,เข้าดลใจ,จึงปราศรัย,ส่งภาษา,กับนารี
พระเห็นพักตร์,ลักษณา,วัณฬาน้อย,ดูแช่มช้อย,ชื่นจิต,พิสมัย,ยิ่งเพ่งพิศ,ฤทธิ์สุคนธ์,เข้าดลใจ,จึงปราศรัย,ส่งภาษา,กับนารี,พระน้องหรือ,ชื่อละเวง,วัณฬาราช,อย่าหวั่นหวาด,วิญญาณ์,มารศรี,จงหยุดยั้ง,รั้งรา,จะพาที,ไม่ฆ่าตี,ศรีสวัสดิ์,เป็นสัจจา
พระน้องหรือ,ชื่อละเวง,วัณฬาราช,อย่าหวั่นหวาด,วิญญาณ์,มารศรี,จงหยุดยั้ง,รั้งรา,จะพาที,ไม่ฆ่าตี,ศรีสวัสดิ์,เป็นสัจจา,พี่จงจิต,ติดตาม,ข้ามสมุทร,มาด้วยสุด,แสนสวาท,ปรารถนา,จะถมชล,จนกระทั่ง,ถึงลังกา,เป็นสุธา,แผ่นเดียว,เจียวจริงจริง
