w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
นายประตู,รู้ความ,ตามสุภาพ,วิ่งไปกราบ,ทูลแจ้ง,แถลงไข,ทั้งสามพราหมณ์,ความเดิม,ให้เคลิ้มใจ,จึงสั่งให้,รับมา,พลับพลาพลัน,พอสตรี,ผีปอบ,เข้าขอบค่าย,มนต์ก็คลาย,เสื่อมขลัง,ทั้งอาถรรพณ์,นางยุพา,มาถึงองค์,พระทรงธรรม์,บังคมคัล,คอยสดับ,ตรับคดี
พระยินดี,คลี่ผ้า,ย้อมยาแฝด,เปรียบเหมือนแรด,ได้กลิ่น,ถวิลหา,ประจงจำ,สำคัญ,ของวัณฬา,พระเชยผ้า,หอมหวน,ให้ยวนยี,แล้วทรงสาร,อ่านลิขิต,พินิจนิ่ง,ว่าน้องหญิง,กราบประณต,บทศรี,ซึ่งทรงศักดิ์,รักใคร่,เป็นไมตรี,ไม่ต่อตี,ตามสัตย์,ปฏิญาณ
แล้วทรงสาร,อ่านลิขิต,พินิจนิ่ง,ว่าน้องหญิง,กราบประณต,บทศรี,ซึ่งทรงศักดิ์,รักใคร่,เป็นไมตรี,ไม่ต่อตี,ตามสัตย์,ปฏิญาณ,น้องเห็นจริง,สิ่งใด,มิได้แหนง,แต่กลั่นแกล้ง,กลัวอาย,ฝ่ายทหาร,ให้ธิดา,มาประณต,บทมาลย์,ขอประทาน,โทษา,ฝ่าธุลี
น้องเห็นจริง,สิ่งใด,มิได้แหนง,แต่กลั่นแกล้ง,กลัวอาย,ฝ่ายทหาร,ให้ธิดา,มาประณต,บทมาลย์,ขอประทาน,โทษา,ฝ่าธุลี,ด้วยไหนไหน,ได้ต้อง,ตัวน้องแล้ว,เหมือนฉัตร,แก้วเก้าชั้น,กั้นเกศี,ซึ่งสิ่งใด,ได้ว่า,ให้ราคี,ขออย่ามี,เวรา,ข้างหน้าไป
ด้วยไหนไหน,ได้ต้อง,ตัวน้องแล้ว,เหมือนฉัตร,แก้วเก้าชั้น,กั้นเกศี,ซึ่งสิ่งใด,ได้ว่า,ให้ราคี,ขออย่ามี,เวรา,ข้างหน้าไป,ด้วยเป็นหญิง,ยิ่งยากมา,ฝากรัก,สุดจะชัก,ชายชิด,พิสมัย,จนแสนโศก,โรคช้ำ,ระกำใจ,จะกลับ,ไปลังกา,รักษากาย
ด้วยเป็นหญิง,ยิ่งยากมา,ฝากรัก,สุดจะชัก,ชายชิด,พิสมัย,จนแสนโศก,โรคช้ำ,ระกำใจ,จะกลับ,ไปลังกา,รักษากาย,สไบบาง,ต่างน้อง,อยู่รองบาท,อย่าคิดขาด,ความรัก,สมัครหมาย,หนึ่งสารา,อย่าให้รู้,ถึงหูชาย,น้องต้องอาย,อนุกูล,ให้สูญความ
สไบบาง,ต่างน้อง,อยู่รองบาท,อย่าคิดขาด,ความรัก,สมัครหมาย,หนึ่งสารา,อย่าให้รู้,ถึงหูชาย,น้องต้องอาย,อนุกูล,ให้สูญความ,พระเชษฐา,อาลัย,ฉันใดมั่ง,จงตรัสสั่ง,ถึงละเวง,อย่าเกรงขาม,ไว้ความลับ,กับยุพา,พะงางาม,จะผ่อนตาม,สารพัด,ไม่ขัดเอย
พระทราบสาร,หวานชื่น,ไม่ขืนขัด,พอรู้ชัด,ชุบน้ำ,แล้วทำเฉย,เจ้าพราหมณ์คิด,ผิดใจ,กระไรเลย,ไม่เหมือนเคย,ทูลถาม,ตามสงกา,พระแกล้งตรัส,ตัดความ,อย่าถามซัก,เป็นเรื่องรัก,มิใช่ศึก,จะปรึกษา,พากันไป,ให้ลับ,ที่พลับพลา,จะพูดจา,เล่นตาม,ความสำราญ
เจ้าพราหมณ์ดู,รู้กล,ว่ามนต์เสื่อม,พระเนตรเลื่อม,ลงอีก,จึงฉีกสาร,เสียพิธี,ผีสาง,เข้ารางควาน,จึงทัดทาน,ข้อความ,ตามทำนอง,เชิญผ่านเกล้า,เข้ามณฑล,บนแท่นที่,อย่าสูสี,ถูกกล,จะหม่นหมอง,เวลาเย็น,เช่นนี้,ผีคะนอง,จะถูกต้อง,ตกไป,แก่ไพรี
เชิญผ่านเกล้า,เข้ามณฑล,บนแท่นที่,อย่าสูสี,ถูกกล,จะหม่นหมอง,เวลาเย็น,เช่นนี้,ผีคะนอง,จะถูกต้อง,ตกไป,แก่ไพรี,ยังสะเดาะ,เคราะห์ค้าง,อยู่กลางฆาต,อย่าประมาท,เทวดา,ในราศี,อดพระทัย,ไว้พอรุ่ง,ขึ้นพรุ่งนี้,จึงพาที,เถิดไม่ขัด,พระอัธยา
นางยินดี,ที่ได้สม,อารมณ์คิด,ด้วยทรงฤทธิ์,ร่านรัก,เป็นหนักหนา,เคารพรับ,อภิวันท์,จำนรรจา,พระสัญญา,ล้นเหลือ,ลูกเชื่อฟัง,ขอผ่านเกล้า,เป่าปี่,ขึ้นที่ทัพ,ให้คนหลับ,สิ้นสม,อารมณ์หวัง,จะอาสา,พาไป,เข้าในวัง,ตามไปลัง,กาอยู่,เป็นคู่ครอง
แล้วเป่าเห่,เรไร,จับใจแจ้ว,ค่ำลงแล้ว,เจ้าจะคอย,ละห้อยหา,ระหวยหิว,หวิววับจับ,วิญญาณ์,พวกลังกา,กองทัพ,ต่างหลับไป,ถึงเคยรู้,อยู่วันนั้น,ไม่ทันรู้,พอแว่วหู,หวนวับ,ก็หลับใหล,นางยุพา,นารี,ก็ดีใจ,จึงเชิญให้,แต่งองค์,ทรงอาชา
ถึงเคยรู้,อยู่วันนั้น,ไม่ทันรู้,พอแว่วหู,หวนวับ,ก็หลับใหล,นางยุพา,นารี,ก็ดีใจ,จึงเชิญให้,แต่งองค์,ทรงอาชา,พระทรงเครื่อง,เรืองจำรัส,ดูตรัจเตร็จ,ล้วนพลอยเพชร,แพรวพราว,วาวเวหา,ทรงมหา,มาลัย,แล้วไคลคลา,มาทรงม้า,พระที่นั่ง,อลังการ
ฝ่ายรำภา,สะหรี,มิได้หลับ,อยู่ห้องหับ,ตามสัญญา,อัชฌาสัย,หยิบเครื่อง,ทรงขององค์,พระอภัย,แล้วพาอ้าย,ย่องตอด,ดอดไปทัพ,พอเห็นชาย,คล้ายองค์,พระทรงศักดิ์,ให้จับหัก,คอทั้ง,กำลังหลับ,เอาศพไป,ในด่าน,คิดการลับ,เครื่องประดับ,ดังกษัตริย์,แล้วตัดคอ
จึงว่าศพ,พระอภัย,อยู่ไหนเล่า,ชี้ให้เรา,จะได้ออก,คลอกทหาร,นางรำภา,ว่านั่นแน่,แลที่ลาน,พระอาจารย์,ลงไปเห็น,เขม้นมอง,มีเครื่องทรง,มงกุฎ,อาวุธทิ้ง,ประจักษ์จริง,ให้เปลื้อง,เอาเครื่องของ,แล้วกลับ,มาหน้าที่,ขึ้นตีกลอง,พวกนายกอง,นายทัพ,ยังหลับกรน
ฉวยฟางคบ,ครบมือ,บ้างถือชุด,ขับกันรุด,รีบมา,ค่ายข้าศึก,ฝ่ายพวกทัพ,หลับกรนเสียง,คนครึก,พลผลึก,รมจักร,กึกกักกัน,พอเย็นย่ำ,ค่ำพลบ,เห็นคบรอบ,ทหารหอบ,ฟางทิ้ง,วิ่งถลัน,บ้างตีฆ้อง,กลองทัพ,รับประจัญ,ออกไล่ฟัน,พวกฝรั่ง,ชาวลังกา
