w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
จึ่งเรียกพระ,มังคลา,สานุศิษย์,มาช่วยคิด,ตรองตรึก,ได้ปรึกษา,เรียกคนใช้,ให้หยิบ,ขวดสุรา,ยกออกมา,กินเข้าไป,พอใจคลาย,เรือก็ล่อง,แล่นมาใน,สาคเรศ,ล่วงประเทศ,เดือนกระจ่าง,สว่างฉาย,ตามละเมาะ,เกาะเคียง,กันเรียงราย,ลมก็ชาย,พัดจัด,ถนัดใบ
เรือก็ล่อง,แล่นมาใน,สาคเรศ,ล่วงประเทศ,เดือนกระจ่าง,สว่างฉาย,ตามละเมาะ,เกาะเคียง,กันเรียงราย,ลมก็ชาย,พัดจัด,ถนัดใบ,แต่แล่นมา,กว่าเดือน,ไม่เคลื่อนคลาด,ล่องลีลาศ,ในมหา,ชลาไหล,พอจวนแจ้ง,สุริโย,อโณทัย,พยุใหญ่,เกิดกล้า,สลาตัน
แต่แล่นมา,กว่าเดือน,ไม่เคลื่อนคลาด,ล่องลีลาศ,ในมหา,ชลาไหล,พอจวนแจ้ง,สุริโย,อโณทัย,พยุใหญ่,เกิดกล้า,สลาตัน,เป็นลมหวน,ป่วนปั่น,สนั่นก้อง,คลื่นในท้อง,ทะเลป่วน,ซัดหวนหัน,มืดพยับ,อับสี,รวีวรรณ,ตีกำปั่น,แทบจะจม,ด้วยลมแดง
เป็นลมหวน,ป่วนปั่น,สนั่นก้อง,คลื่นในท้อง,ทะเลป่วน,ซัดหวนหัน,มืดพยับ,อับสี,รวีวรรณ,ตีกำปั่น,แทบจะจม,ด้วยลมแดง,ฝนก็ตก,โปรยปราย,พระพายพัด,คลื่นก็จัด,ฟ้าแลบ,วะแวบแสง,คนในเรือ,หนีเข้าร่ม,ล้มตะแคง,กำปั่นแพลง,แทบจะคว่ำ,เป็นน้ำนอง
ฝนก็ตก,โปรยปราย,พระพายพัด,คลื่นก็จัด,ฟ้าแลบ,วะแวบแสง,คนในเรือ,หนีเข้าร่ม,ล้มตะแคง,กำปั่นแพลง,แทบจะคว่ำ,เป็นน้ำนอง,บาทหลวงงก,ตกประหม่า,จนขาสั่น,เดินงกงัน,เซซุน,ให้ขุ่นหมอง,แหงนดูเมฆ,ตั้งดำ,เป็นน้ำนอง,ฟ้าก็ร้อง,ครางครึม,กระหึมครวญ
บาทหลวงงก,ตกประหม่า,จนขาสั่น,เดินงกงัน,เซซุน,ให้ขุ่นหมอง,แหงนดูเมฆ,ตั้งดำ,เป็นน้ำนอง,ฟ้าก็ร้อง,ครางครึม,กระหึมครวญ,เรือสะบัด,ปัดปั่น,ให้หันเห,ท้องทะเล,คลื่นระดม,ทั้งลมหวน,ตีเสาหน้า,หักผาง,เสียงครางครวญ,พายุป่วน,หอบปัด,ซัดออกไป
เรือสะบัด,ปัดปั่น,ให้หันเห,ท้องทะเล,คลื่นระดม,ทั้งลมหวน,ตีเสาหน้า,หักผาง,เสียงครางครวญ,พายุป่วน,หอบปัด,ซัดออกไป,พวกต้นหน,คนท้าย,ที่หมายทิศ,ทั้งมืดมิด,ไม่รู้แห่ง,ตำแหน่งไหน,เรือที่ตาม,มาก็ซัด,พลัดกันไป,พยุใหญ่,ก็ไม่ซา,ถึงห้าคืน
พวกต้นหน,บนบาน,แล้วกรานกราบ,ศิโรราบ,ขอชีวิต,ทุกทิศา,เทพเจ้า,ในทะเล,ทั้งเทวา,ช่วยรักษา,คุ้มกัน,อันตราย,กลับไป,ถึงถิ่นฐาน,บ้านของข้า,จะจัดหา,ไก่แกะชำ,แหละถวาย,ทั้งเหล้าข้าว,เครื่องคั่ว,เนื้อวัวควาย,ขอให้หาย,คลื่นคลั่ง,ในวังวน
พอครบถ้วน,เจ็ดทิวา,ค่อยซาหาย,เห็นสุริย์,ฉายแจ่มฟ้า,เวหาหน,เห็นเกาะใหญ่,โตขวาง,อยู่กลางชล,เป็นน้ำวน,เรือกำปั่น,หันเข้าไป,พวกต้นหน,คนงาน,คลานจากห้อง,เสียงแซ่ซ้อง,เรียกกัน,อยู่หวั่นไหว,บาทหลวงลุก,จากที่,ค่อยดีใจ,กับหน่อไท,มังคลา,ลุกมาพลัน
พวกต้นหน,คนงาน,คลานจากห้อง,เสียงแซ่ซ้อง,เรียกกัน,อยู่หวั่นไหว,บาทหลวงลุก,จากที่,ค่อยดีใจ,กับหน่อไท,มังคลา,ลุกมาพลัน,เอาแผนที่,คลี่ดู,ไม่รู้จัก,เห็นไกลนัก,ผิดสังเกต,ทุกเขตขัณฑ์,เหลือประมาณ,การวิถี,ที่สำคัญ,บนเขานั้น,นกกา,ไม่หากิน
จะกลับ,หลังไปยัง,ถิ่นประเทศ,มาเกิดเหตุ,ฝนตก,ระหกระเหิน,พยุพัด,ซัดมา,ถึงหน้าเนิน,เกิดฉุกเฉิน,ไม่รู้แห่ง,ตำแหน่งทาง,ขอท่านจง,กรุณา,เมตตาด้วย,จงชี้ช่วย,เป่าปัด,ที่ขัดขวาง,พอจะได้,รู้แจ้ง,แห่งหนทาง,ในระหว่าง,แถวถิ่น,บุรินทร์ใด
เป็นเขตครุฑ,พวกมนุษย์,มาไม่ถึง,หนทางกึ่ง,กับมหิ,งคสิงขร,อันฝูงสัตว์,มัจฉา,ในสาคร,ฤทธิ,รอนร้ายกาจ,ชาตินาคา,จงกลับ,หลังทางนี้,จะชี้ให้,จงเร่งไป,เสียให้พ้น,วนมัจฉา,ซึ่งเรือติด,ก็เพราะฤทธิ์,ฝูงนาคา,เราเมตตา,จะช่วยส่ง,ให้คงคืน
จงกลับ,หลังทางนี้,จะชี้ให้,จงเร่งไป,เสียให้พ้น,วนมัจฉา,ซึ่งเรือติด,ก็เพราะฤทธิ์,ฝูงนาคา,เราเมตตา,จะช่วยส่ง,ให้คงคืน,พ้นขึ้นได้,เร่งไป,ข้างทักษิณ,จะพบถิ่น,นครา,รีบฝ่าฝืน,แต่ลมหวน,ป่วนปั่น,ทุกวันคืน,ตีเป็นคลื่น,ลั่นดัง,ก้องกังวาน
พ้นขึ้นได้,เร่งไป,ข้างทักษิณ,จะพบถิ่น,นครา,รีบฝ่าฝืน,แต่ลมหวน,ป่วนปั่น,ทุกวันคืน,ตีเป็นคลื่น,ลั่นดัง,ก้องกังวาน,อันเมืองนั้น,เรียกว่า,โรมวิสัย,ทั้งกว้างใหญ่,เติบโต,รโหฐาน,รู้ไตรเพท,วิทยา,วิชาการ,มีอาจารย์,ผูกหญ้า,ผ้าพยนต์
อันเมืองนั้น,เรียกว่า,โรมวิสัย,ทั้งกว้างใหญ่,เติบโต,รโหฐาน,รู้ไตรเพท,วิทยา,วิชาการ,มีอาจารย์,ผูกหญ้า,ผ้าพยนต์,ท่านจะไป,ให้สม,อารมณ์คิด,เราประสิทธิ์,วัฒนา,สถาผล,พอขาดคำ,เห็นสว่าง,อยู่กลางวน,เป็นน้ำล้น,หนุนกำปั่น,มาทันที
ท่านจะไป,ให้สม,อารมณ์คิด,เราประสิทธิ์,วัฒนา,สถาผล,พอขาดคำ,เห็นสว่าง,อยู่กลางวน,เป็นน้ำล้น,หนุนกำปั่น,มาทันที,หลุดจากแก่ง,แสงสว่าง,กระจ่างหาย,พระพายชาย,พัดส่ง,ตรงวิถี,ไปทักษิณ,ถิ่นประเทศ,เขตบุรี,ลมก็ตี,เรือแล่น,แสนสบาย
สิบห้าวัน,บรรลุ,ถึงขอบเขต,ถิ่นประเทศ,นครา,เวลาสาย,ให้ลดใบ,ทอดท่า,หน้าหาดทราย,จอดอยู่ท้าย,เมืองดู,เห็นผู้คน,ออกเที่ยวหา,ปลาหอย,บ้างลอยช้อน,เดินฉะอ้อน,ตามระหว่าง,ทางถนน,บ้างเก็บผัก,หักฟืน,พื้นคนจน,ตามถนน,หน้าเมือง,เนื่องกันไป
ออกเที่ยวหา,ปลาหอย,บ้างลอยช้อน,เดินฉะอ้อน,ตามระหว่าง,ทางถนน,บ้างเก็บผัก,หักฟืน,พื้นคนจน,ตามถนน,หน้าเมือง,เนื่องกันไป,บาทหลวงสั่ง,พวกชวา,กะลาสี,ไปดูที,พูดจา,อัชฌาสัย,สืบให้รู้,เรื่องราว,พวกชาวใน,จงรีบไป,ดูประเทศ,เขตบุรี
บาทหลวงสั่ง,พวกชวา,กะลาสี,ไปดูที,พูดจา,อัชฌาสัย,สืบให้รู้,เรื่องราว,พวกชาวใน,จงรีบไป,ดูประเทศ,เขตบุรี,พวกคนใช้,ไปตาม,บาทหลวงสั่ง,เดินไปยัง,แถวทาง,กลางวิถี,เข้าพูดจา,ปราศรัย,เป็นไมตรี,ชาวบุรี,รู้ว่าแขก,แปลกขึ้นมา
พวกคนใช้,ไปตาม,บาทหลวงสั่ง,เดินไปยัง,แถวทาง,กลางวิถี,เข้าพูดจา,ปราศรัย,เป็นไมตรี,ชาวบุรี,รู้ว่าแขก,แปลกขึ้นมา,จึงซักไซ้,ไต่ถาม,ไปตามเรื่อง,อันชาวเมือง,พูดได้,หลายภาษา,ฝรั่งแขก,จีนจาม,พราหมณ์ลังกา,ฟังภาษา,รู้ทุกคำ,ด้วยชำนาญ
จึงซักไซ้,ไต่ถาม,ไปตามเรื่อง,อันชาวเมือง,พูดได้,หลายภาษา,ฝรั่งแขก,จีนจาม,พราหมณ์ลังกา,ฟังภาษา,รู้ทุกคำ,ด้วยชำนาญ,จึงถามว่า,มาแต่หน,ตำบลไหน,ธุระอะ,ไรออเจ้า,จงเล่าขาน,หรือมาเที่ยว,หาของ,ที่ต้องการ,หรือพลัดบ้าน,เมืองมา,เที่ยวหากิน
แต่นายใหญ่,อยู่ใน,เรือกำปั่น,จะผ่อนผัน,หลงทาง,มาห่างเห,ไม่รู้แห่ง,แถวทาง,กลางทะเล,เหลือคะเน,ไม่รู้แห่ง,ตำแหน่งจร,ขอลาท่าน,กลับไป,บอกนายข้า,ให้ขึ้นมา,หาผู้รู้,เป็นครูสอน,ได้กลับ,หลังไปยัง,ฝั่งนคร,เป็นการร้อน,จะรีบลา,ท่านคลาไคล
ขอลาท่าน,กลับไป,บอกนายข้า,ให้ขึ้นมา,หาผู้รู้,เป็นครูสอน,ได้กลับ,หลังไปยัง,ฝั่งนคร,เป็นการร้อน,จะรีบลา,ท่านคลาไคล,กะลาสี,กลับหลัง,ยังกำปั่น,เอาความนั้น,เล่าแจ้ง,แถลงไข,บาทหลวงฟัง,ถ้วนถี่,แกดีใจ,รีบขึ้นไป,จะได้เพียร,เรียนวิชา
กะลาสี,กลับหลัง,ยังกำปั่น,เอาความนั้น,เล่าแจ้ง,แถลงไข,บาทหลวงฟัง,ถ้วนถี่,แกดีใจ,รีบขึ้นไป,จะได้เพียร,เรียนวิชา,จึงชวนพระ,มังคลา,สานุศิษย์,เห็นสมคิด,ตรองไว้,ไปสิหวา,แกแต่งตัว,รีบไป,ในพารา,พระมังคลา,แขกล่าม,ตามอาจารย์
จึงชวนพระ,มังคลา,สานุศิษย์,เห็นสมคิด,ตรองไว้,ไปสิหวา,แกแต่งตัว,รีบไป,ในพารา,พระมังคลา,แขกล่าม,ตามอาจารย์,บาทหลวงให้,คนนำ,ไปสำนัก,ที่รู้จัก,กันมา,แล้วว่าขาน,จงช่วยนำ,เราไปหา,ท่านอาจารย์,พอแจ้งการ,ให้ท่านทาย,ร้ายหรือดี
บาทหลวงให้,คนนำ,ไปสำนัก,ที่รู้จัก,กันมา,แล้วว่าขาน,จงช่วยนำ,เราไปหา,ท่านอาจารย์,พอแจ้งการ,ให้ท่านทาย,ร้ายหรือดี,แล้วหยิบ,เงินเหรียญกอง,ให้สองร้อย,ไว้ใช้สอย,ตามสบาย,อย่าหน่ายหนี,จงรู้จัก,กันไว้,เป็นไมตรี,พอเป็นที่,สำนัก,ช่วยชักพา
แล้วหยิบ,เงินเหรียญกอง,ให้สองร้อย,ไว้ใช้สอย,ตามสบาย,อย่าหน่ายหนี,จงรู้จัก,กันไว้,เป็นไมตรี,พอเป็นที่,สำนัก,ช่วยชักพา,พวกชาวเมือง,ดีใจ,ครั้นได้ทรัพย์,แล้วคำนับ,นั่งลง,ส่งภาษา,ว่าขอบใจ,ที่ท่าน,กรุณา,มาจะพา,ไปตำแหน่ง,แห่งอาจารย์
พวกชาวเมือง,ดีใจ,ครั้นได้ทรัพย์,แล้วคำนับ,นั่งลง,ส่งภาษา,ว่าขอบใจ,ที่ท่าน,กรุณา,มาจะพา,ไปตำแหน่ง,แห่งอาจารย์,พลางลุกออก,นำไป,ในประเทศ,เข้าขอบเขต,พารา,แล้วว่าขาน,ท่านจงดู,หนังสือ,ชื่ออาจารย์,มีหลายบ้าน,บอกวิชา,สารพัน
พลางลุกออก,นำไป,ในประเทศ,เข้าขอบเขต,พารา,แล้วว่าขาน,ท่านจงดู,หนังสือ,ชื่ออาจารย์,มีหลายบ้าน,บอกวิชา,สารพัน,ถ้าต้องการ,บ้านไหน,จะไปหา,แจ้งกิจจา,เขาเสียก่อน,จึ่งผ่อนผัน,จะเข้าออก,เล่าก็ยาก,ลำบากครัน,ครบเจ็ดวัน,นายหมวด,เขาตรวจคน
ถ้าต้องการ,บ้านไหน,จะไปหา,แจ้งกิจจา,เขาเสียก่อน,จึ่งผ่อนผัน,จะเข้าออก,เล่าก็ยาก,ลำบากครัน,ครบเจ็ดวัน,นายหมวด,เขาตรวจคน,แล้วนำหน้า,พาเดิน,ไปตามย่าน,มีโรงร้าน,แถวทิม,ริมถนน,บ้านเศรษฐี,มีมาก,ไม่ยากจน,ทุกตำบล,มั่งคั่ง,ทั้งบุรินทร์
แล้วนำหน้า,พาเดิน,ไปตามย่าน,มีโรงร้าน,แถวทิม,ริมถนน,บ้านเศรษฐี,มีมาก,ไม่ยากจน,ทุกตำบล,มั่งคั่ง,ทั้งบุรินทร์,บาทหลวงเดิน,ดูไป,ในจังหวัด,สารพัด,น่าชม,สมถวิล,ถึงบ้านผู้,รู้วิชา,ฟ้าแลดิน,มีเสาหิน,ปักอยู่นอก,บอกวิชา
ผู้ที่นำ,รับคำ,ตาบาทหลวง,ก็เดินล่วง,เข้าไป,ในเคหา,จึงบอกกับ,คนใช้,ให้ไคลคลา,เราจะมา,อภิวันท์,ท่านอาจารย์,พวกคนใช้,ไต่ถาม,ได้ความถ้อย,แล้วจึ่งค่อย,เข้าไป,ในสถาน,แจ้งคดี,กับท่านครู,ผู้อาจารย์,ให้ทราบการ,ที่เขาบอก,ออกเนื้อความ
ฝ่ายนิกรม,พรหมพักตร์,ลุกจากห้อง,ค่อยย่างย่อง,ออกมาใกล้,ปราศรัยถาม,มีธุระ,สิ่งไรเจ้า,จงเล่าความ,บอกไปตาม,เรื่องประสงค์,ที่จงใจ,พวกที่มา,ว่าฝรั่ง,ต่างประเทศ,เสียขอบเขต,ซัดมา,อยู่อาศัย,อยากจะใคร่,เรียนของ,ที่ต้องใจ,ขออาศัย,อยู่เป็นศิษย์,ไม่บิดเบือน
ฝ่ายนิกรม,พรหมพักตร์,จึ่งชักเรื่อง,ว่าบ้านเมือง,ตั้งกฎหมาย,มาหลายหน,ใครจะเรียน,วิทยา,ผ้าพยนต์,เอายุบล,ไปทูลท้าว,เจ้าบุรินทร์,แม้นโปรดให้,จึ่งได้,มาสั่งสอน,เจ้านคร,มีรับสั่ง,ดั่งถวิล,ท่านจงมา,ไปเฝ้า,เจ้าแผ่นดิน,เสียให้สิ้น,ความผิด,ไม่ปิดบัง
แม้นโปรดให้,จึ่งได้,มาสั่งสอน,เจ้านคร,มีรับสั่ง,ดั่งถวิล,ท่านจงมา,ไปเฝ้า,เจ้าแผ่นดิน,เสียให้สิ้น,ความผิด,ไม่ปิดบัง,แล้วครูเฒ่า,เดินหน้า,พาบาทหลวง,ครรไลล่วง,ทางไป,ดั่งใจหวัง,จึ่งเข้าใน,นัคเรศ,นิเวศน์วัง,ไปยับยั้ง,คอยเฝ้า,เจ้านคร
ฝ่ายท้าวไท,ได้ฟัง,สังฆราช,อนุญาต,สั่งให้,ไปศึกษา,จึ่งเรียกอา,จารย์เฒ่า,ให้เข้ามา,บอกวิชา,ที่จะทำ,ให้ชำนาญ,แต่เรื่องแก้,วิทยา,นั้นอย่าให้,เขามิได้,อยู่กิน,เป็นถิ่นฐาน,เกลือกจะเป็น,แยบยล,พวกคนพาล,จะรำคาญ,ขุ่นเคือง,แก่เมืองเรา
แต่เรื่องแก้,วิทยา,นั้นอย่าให้,เขามิได้,อยู่กิน,เป็นถิ่นฐาน,เกลือกจะเป็น,แยบยล,พวกคนพาล,จะรำคาญ,ขุ่นเคือง,แก่เมืองเรา,ไหนไหนมา,อย่าให้เสีย,ท่านเกลี่ยไกล่,จงบอกให้,ตามจำนงค์,ประสงค์เขา,ท้าวแสดง,แจ้งความ,ตามสำเนา,แล้วกลับ,เข้าปรางค์,มาศราชวัง
เป็นดวงดาว,ดารา,ในอากาศ,ของประหลาด,เดินได้,ในวิถี,รูปมนุษย์,ครุฑา,วาสุกรี,ทั้งกุมภีล์,เหรา,สารพัน,มังคลาสา,นุศิษย์,สมจิตนึก,คิดตรองตรึก,อยู่ในใจ,จะผายผัน,แล้วจัดของ,สนองคุณ,อาจารย์พลัน,สารพัน,เงินทอง,เอากองลง
ฝ่ายนิกรม,พรหมพักตร์,จึงซักไซ้,เอามาให้,มากมาย,หลายสถาน,เราขอบใจ,แต่สิ่งของ,ไม่ต้องการ,เป็นอาจารย์,บอกกล่าว,ให้เล่าเรียน,ไม่ประสงค์,จงใจ,ที่ในทรัพย์,ผิดตำหรับ,เรื่องราว,ที่เราเขียน,ใช่จะขาย,ความรู้,แก่ผู้เรียน,เป็นอาเกียรณ์,รุงรัง,ไม่บังควร
ไม่ประสงค์,จงใจ,ที่ในทรัพย์,ผิดตำหรับ,เรื่องราว,ที่เราเขียน,ใช่จะขาย,ความรู้,แก่ผู้เรียน,เป็นอาเกียรณ์,รุงรัง,ไม่บังควร,ขอแต่จิต,สัตย์ซื่อ,ถือให้มั่น,ทุกคืนวัน,โดยระบอบ,คิดสอบสวน,มีความรู้,อยู่ในใจ,จงใคร่ครวญ,ตามกระบวน,จึ่งประสิทธิ์,วิทยา
