w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ช่วยทูลองค์,ทรงฤทธิ์พระ,บิตุเรศ,มิโปรดเกศ,กลับไป,ไอศวรรย์,เชิญเสด็จ,เมตตา,มาฆ่าฟัน,ให้ชีวัน,วอดวาย,ก็หายความ,แม้รู้เห็น,เป็นคน,ทนไม่ได้,จะเข้าไป,ตามเสด็จ,ไม่เข็ดขาม,จะเคืองขัด,ตัดคอ,เสียก็ตาม,มิขอข้าม,คงคา,ไปธานี
พระเล่าความ,ตามยุบล,แต่หนหลัง,ให้นางฟัง,จะแจ้ง,แถลงไข,นางแกล้งถาม,ความคิดฤ,ทธิไกร,พระเล่าให้,รู้ฤทธิ์ถึง,วิทยา,มีไม้เท้า,ดาวบส,ดังกรดกริช,สุจริต,แจ้งจำ,คำสิกขา,หนังเสือเหลือง,เครื่องทับ,ประดับประดา,ถือศีลห้า,อายุ,สิบแปดปี
แต่ยังไม่,ได้พบ,ประสบพักตร์,ยังน่ารัก,รสถ้อย,อร่อยหู,อย่าปล่อยไป,ให้ประสม,ชาวชมพู,ให้หล่อนอยู่,เสียในวัง,ที่ลังกา,โปรดประทาน,ฉันจะใคร่,ได้เป็นลูก,แล้วจะ,ปลูกฝังรัก,ให้หนักหนา,พลางสอพลอ,พ้อตัดพระ,ภัสดา,นี่หรือว่า,โปรดเกล้า,ตรัสเปล่าไป
นางยินดี,ที่ได้สม,อารมณ์นึก,จะปราบศึก,นั้นด้วยเล่ห์,เสน่หา,ลาพระบาท,ยาตรเยื้อง,ชำเลืองมา,ห้องสุลา,ลีวัน,เข้าชั้นใน,ขึ้นนั่งเตียง,เคียงประโลม,โฉมลูกน้อย,พลางค่อยค่อย,เล่าแจ้ง,แถลงไข,จริงจริงเจียว,เดี๋ยวนี้พระ,ภูวไนย,ขอเจ้าให้,กับโอ,รสยศยง
ขึ้นนั่งเตียง,เคียงประโลม,โฉมลูกน้อย,พลางค่อยค่อย,เล่าแจ้ง,แถลงไข,จริงจริงเจียว,เดี๋ยวนี้พระ,ภูวไนย,ขอเจ้าให้,กับโอ,รสยศยง,แม่ก็ยอม,พร้อมใจ,ยกให้แล้ว,นะลูกแก้ว,แก้ไข,ให้ใหลหลง,ล่อให้อยู่,บูรี,ทั้งสี่องค์,ได้ดำรง,ช่วยรักษา,พาราเรา
ไม่ว่าเล่น,เป็นผู้หญิง,จริงจริงนะ,ถ้าเจ้าจะ,เล่นเพื่อนไม่,เหมือนผัว,เขาชวนเชย,เคยเอง,อย่าเกรงกลัว,จงแต่งตัว,ตามตำรับ,ให้จับตา,ถึงปลุกเสก,เลขยันต์,ประกันแก้,ไม่ดูแล,หลงเล่ห์,เสน่หา,เข้าต้องถูก,ผูกจิตด้วย,วิทยา,เสื่อมวิชา,ชายก็คง,จะหลงรัก
ฝ่ายสุลา,ลีวัน,ลงยันต์เลข,นั่งปลุกเสก,สารพัด,ไม่ขัดขวาง,แล้วอ่าองค์,สรงน้ำ,ทรงสำอาง,สยายสาง,ผมเผ้า,พลางเกล้ามวย,กระหมวดมุ่น,รุนปิ่น,ฝังนิลปัก,ช้องจำหลัก,แซมดอกไม้,ไหวสลวย,ลูบสุคนธ์,มนตรา,มหาละลวย,ให้รื่นรวย,รสสุคนธ์,วิมลมาลย์
กระหมวดมุ่น,รุนปิ่น,ฝังนิลปัก,ช้องจำหลัก,แซมดอกไม้,ไหวสลวย,ลูบสุคนธ์,มนตรา,มหาละลวย,ให้รื่นรวย,รสสุคนธ์,วิมลมาลย์,แล้วนุ่งห่ม,สมทรง,ประจงจัด,คาดเข็มขัด,เพชรพราย,สายประสาน,ใส่สร้อยนวม,สวมทร,งวงสังวาล,ทองกรบาน,พับเพชร,แก้วเก็จแกม
แล้วนุ่งห่ม,สมทรง,ประจงจัด,คาดเข็มขัด,เพชรพราย,สายประสาน,ใส่สร้อยนวม,สวมทร,งวงสังวาล,ทองกรบาน,พับเพชร,แก้วเก็จแกม,ธำมรงค์,วงวาว,ดูพราวพร้อย,ล้วนเพชรย้อย,รุ่งเรี่ยม,เจ็ดเหลี่ยมแหลม,กรรเจียกจร,ซ้อนใส่,ดอกไม้แซม,กรอบหน้าแนม,เนาวรัตน์,จำรัสเรือง
ธำมรงค์,วงวาว,ดูพราวพร้อย,ล้วนเพชรย้อย,รุ่งเรี่ยม,เจ็ดเหลี่ยมแหลม,กรรเจียกจร,ซ้อนใส่,ดอกไม้แซม,กรอบหน้าแนม,เนาวรัตน์,จำรัสเรือง,แล้วร่ายมนต์,คนดู,ให้ชูโฉม,งามประโลม,เปล่งปลั่ง,อลั่งเหลือง,ใส่เกือกทอง,รองบาท,แล้วยาตรเยื้อง,นางเชิญเครื่อง,รุ่นงาม,ตามลีลา
