w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ทะเลลึก,เลื่อนลั่น,สนั่นคลื่น,ผวาตื่น,หวาดหวั่น,ฤทัยไหว,ไม่เห็นพี่,ที่พุ่ม,พฤกษาไทร,ประหลาดใจ,ปลุกพราหมณ์,ทั้งสามนาย,พระเชษฐา,ข้าไป,ข้างไหนเล่า,เมื่อกี้เป่า,ปี่เล่น,ไม่เห็นหาย,ที่ก็เตียน,เลี่ยนลาด,ล้วนหาดทราย,จะแฝงกาย,ที่ไหน,ก็ไม่มี
แล้วพากัน,ย่างย่อง,มองเขม้น,ก็พอเห็น,รอยเท้า,ที่ยาวใหญ่,มายั้งหยุด,สุดสิ้น,เพียงต้นไทร,แล้วกลับ,ไปหายลง,ในคงคา,อันรอยนี้,มิใช่,รอยมนุษย์,ต่างวิมุติ,หมางจิต,คิดกังขา,หรือยักษี,ผีเสื้อ,แกล้งมารยา,มาลักพา,ภูวไนย,เอาไปกิน
อันรอยนี้,มิใช่,รอยมนุษย์,ต่างวิมุติ,หมางจิต,คิดกังขา,หรือยักษี,ผีเสื้อ,แกล้งมารยา,มาลักพา,ภูวไนย,เอาไปกิน,ศรีสุวรรณ,เห็นจริง,ก็ใจหาย,ระทวยกาย,ลงกับท่า,ชลาสินธุ์,พระเนตรนอง,นัยนา,ดั่งวาริน,กันแสงสิ้น,เสือกซบ,สลบไป
ศรีสุวรรณ,ฟื้นองค์,ดำรงนั่ง,สุชลหลั่ง,คลอเนตร,ถึงเชษฐา,โอ้สงสาร,ป่านฉะนี้,พระพี่ยา,ไปลับตา,ตายเป็น,ไม่เห็นกัน,เป็นเพื่อนสุข,ทุกข์โศก,วิโยคยาก,ตั้งแต่จาก,กรุงไกร,ไอศวรรย์,ระหกระเหิน,เดินป่า,พนาวัน,กินเผือกมัน,ต่างข้าว,ทุกเช้าเย็น
เป็นเพื่อนสุข,ทุกข์โศก,วิโยคยาก,ตั้งแต่จาก,กรุงไกร,ไอศวรรย์,ระหกระเหิน,เดินป่า,พนาวัน,กินเผือกมัน,ต่างข้าว,ทุกเช้าเย็น,อยู่ด้วยกัน,หลัดหลัด,มาพลัดพราก,แต่แสนยาก,แล้วมิหนำ,มาซ้ำเข็ญ,นึกนึกแล้ว,ก็น่าน้ำ,ตากระเด็น,จะอยู่เป็น,คนไป,ทำไมมี
ทั้งสามพราหมณ์,เข้าประคอง,แล้วร้องไห้,น้ำตาไหล,พรั่งพราย,ทั้งซ้ายขวา,ต่างนบนอบ,ปลอบหน่อ,กษัตรา,อย่าโศกา,ตรอมนัก,จงหักใจ,อันกำเนิด,เกิดมา,ในหล้าโลก,สุขกับโศก,มิได้สิ้น,อย่าสงสัย,ซึ่งเกิดเหตุ,เชษฐา,เธอหายไป,ก็ยังไม่,รู้เห็น,ว่าเป็นตาย
อันกำเนิด,เกิดมา,ในหล้าโลก,สุขกับโศก,มิได้สิ้น,อย่าสงสัย,ซึ่งเกิดเหตุ,เชษฐา,เธอหายไป,ก็ยังไม่,รู้เห็น,ว่าเป็นตาย,ควรจะคิด,ติดตาม,แสวงหา,แล่นนาวา,ไปใน,วนชลสาย,แม้นพระพี่,มิม้วย,ชีวาวาย,ก็ดีร้าย,จะได้พบ,ประสบกัน
ควรจะคิด,ติดตาม,แสวงหา,แล่นนาวา,ไปใน,วนชลสาย,แม้นพระพี่,มิม้วย,ชีวาวาย,ก็ดีร้าย,จะได้พบ,ประสบกัน,ข้าทั้งสาม,ก็จะตาม,เสด็จด้วย,ผิดชอบช่วย,ไปกว่า,จะอาสัญ,จงดับทรง,โศกา,อย่าจาบัลย์,จะเนิ่นวัน,เสียเปล่า,ไม่เข้ายา
เจ้าสานน,คนฉลาด,เฉลยตอบ,พ่อคิดชอบ,อย่างนี้,ดีหนักหนา,พี่ได้ครู,รู้เรียน,ตำรามา,จะจับยาม,สามตา,ให้แน่นอน,แล้วนับนิ้ว,นิ่งนั่ง,ตั้งสติ,ตามลัทธิ,เรียนรู้,ที่ครูสอน,ทั้งลมจัน,ทกาลา,พยากรณ์,เห็นแน่นอน,แม่นยำ,แล้วทำนาย
อยู่ข้างทิศ,อาคเนย์,ทะเลลึก,พระอย่านึก,แหนงว่า,จะอาสัญ,เรารีบเร่ง,ออกเรือ,เผื่อจะทัน,แล้วพากัน,ลงมา,เภตรากล,ถอนสมอ,ช่อใบ,ขึ้นใส่เสา,จัดให้เจ้า,โมรา,เป็นต้นหน,หน่อกษัตริย์,สองพราหมณ์,เป็นสามคน,ขึ้นนั่งบน,บาหลี,ด้วยปรีดา
