w1,w2,w3,w4
จะกล่าวกลับจับเรื่องเมืองวายุภักษ์,กษัตริย์ศักดิ์สูงชาติวาสนา,เมื่อให้หน่อภัทวงศ์องค์บุตรา,ไปวันทาเทวฐานเห็นนานครัน
เกินกำหนดนานหนักหนาไม่มาถึง,ท้าวรำพึงแสนวิโยคยิ่งโศกศัลย์,มเหสีโหยหวนรัญจวนครัน,พระญาติวงศ์พงศ์พันธุ์ต่างทุกข์ทน
ป่างพระปิ่นนคเรศเกศกษัตริย์,โทมนัสมิได้แจ้งแห่งนุสนธิ์,จึงให้หาโหรามาบัดดล,พระจุมพลตรัสถามตามสงกา
โหรคำนับรับรสพจนารถ,ลงเลขคาดเดือนวันชันษา,ราหูจรตามจักรถึงลัคนา,ในตำราว่าวิบัติกำจัดจร
ฝ่ายพระจอมภพไกรยังไม่หวัง,จึ่งตรัสสั่งสามนต์คนทั้งหลาย,ให้ไปหามดท้าวลงเจ้านาย,จะได้ทายให้ตระหนักประจักษ์ความ
เสนารับอภิวาทจอมกษัตริย์,ต่างเดินลัดเลี้ยวไปเที่ยวไต่ถาม,หาอีเฒ่าเจ้ามารยาพวกบ้ากาม,จะได้ถามเรื่องราวให้เข้าใจ
จะใคร่แจ้งแห่งคดีพระหน่อนาถ,เสร็จลีลาศหายไปอย่าใหลหลง,หรือเป็นเหตุเภทภัยอย่างไรจง,ท่านช่วยทรงถามเจ้าให้เข้าใจ
อียายเฒ่าเข้าในห้องเดินย่องแย่ง,หยิบผ้าแดงนุ่งออกมาแล้วปราศรัย,ว่านายคอยไต่ถามเนื้อความใน,จะเชิญไทอารักษ์ให้ทักทาย
แล้วมันนั่งพนมมือถือดอกไม้,ร่ำพิไรเหมือนอย่างจิตที่คิดหมาย,ประเดี๋ยวหนึ่งทำสั่นแล้วบรรยาย,เจ้าทั้งหลายพากันมาเรียกหาเรา
จะไต่ถามความอะไรจงไขขาน,จะบนบานเอาอะไรมาให้เขา,หรือจะถามหรือจะซักการหนักเบา,เฮ้ยออเจ้าว่าไปจะใคร่ฟัง
ฝ่ายอีเฒ่ามารยาหลับตานิ่ง,จะบอกจริงจำไว้อย่าใหลหลง,กำปั่นแตกแต่ไม่ตายวายชีวง,ไปอยู่ดงแดนป่าพนาลัย
อีกสามปีตามไปจะได้ข่าว,อันเรื่องราวมีมาอย่าสงสัย,แล้วมันทำสั่นงกเหมือนตกใจ,เร่งรีบไปติดตามในสามปี
แล้วก็ทำล้มผางวางดอกไม้,มารยาให้เขาเห็นว่าเป็นผี,หาเข้าจริงสิงกายรู้ร้ายดี,พอเป็นที่หากินด้วยลิ้นลม
อีเจ้าเล่ห์เพทุบายได้หลายอย่าง,ทำท่าทางหลอกเอาข้าวขนม,ทั้งเงินเบี้ยคาวหวานพานอุดม,ด้วยลิ้นลมสกปรกโกหกกิน
พวกเสนาได้ความที่ถามไต่,ก็กลับไปทูลองค์พระทรงศิลป์,ฝ่ายพระจอมนคราเจ้าธานินทร์,นิยมยินเชื่อกลอีคนทรง
ให้รุ่มร้อนผ่อนอารมณ์แทบลมจับ,แล้วก็กลับหวนคิดพิศวง,ปรึกษากับอำมาตย์พระญาติวงศ์,ให้รีบลงเภตราอย่าช้าที
ทั้งเรือน้อยเรือใหญ่เอาไปด้วย,จะได้ช่วยหาไปในวิถี,พวกแม่มดว่าให้ตามถึงสามปี,ว่าอยู่ที่ภูผาชายสาคร
พวกเสนามาจัดเรือกำปั่น,พลขันธ์คั่งคับสลับสลอน,ถือเสน่าหลาวโล่แลโตมร,พร้อมนิกรรีบตรงไปลงเรือ
ขนเสบียงอาหารลงบรรทุก,ทั้งดิบสุกจัดใส่ไปให้เหลือ,อีกสามวันพร้อมกันจะออกเรือ,บ้างเบิกเสื้อเบิกหมวกทุกพวกไป
จะกล่าวสามกำปั่นที่พรายพลัด,ระลอกซัดไปตามสายน้ำไหล,สิบสามวันถึงนิเวศน์เขตกรุงไกร,สุลาลัยเมืองด่านชานบุรินทร์
แวะเข้าซื้อข้าวปลากระยาหาร,ที่ชาวบ้านริมท่าชลาสินธุ์,พอเบียดเบี่ยงเลี้ยงดูสู่กันกิน,ออกจากถิ่นสุลาลัยใช้ใบมา
เที่ยวแวะตามเกาะแก่งทุกแห่งหน,ขึ้นไปค้นทุกตำแหน่งแสวงหา,ไม่ได้ข่าวเจ้านายหลายทิวา,ก็แล่นมาตามทางกลางนที
พอแลเห็นเกาะใหญ่อยู่ในน้ำ,จวนจะค่ำดูแดงเป็นแสงสี,ดอกไม้เพลิงส่องสว่างกลางคิรี,เสียงดนตรีอื้ออึงคะนึงใน
