w1,w2,w3,w4
จะขอกลับจับความถึงสามทัพ,ที่ตั้งรับล้อมปราการชานกรุงศรี,เห็นสี่ทัพยับย่อยป่นเต็มที,จึงต้องรีรอฟังกำลังพล
ดูทหารชาญณรงค์เคยยงยุทธ์,ก็สิ้นสุดเกิดวิบัติทั้งขัดสน,บ้างเจ็บปวดวุ่นวายลงหลายคน,แต่ล้วนพลเคยชำนาญการสงคราม
ครั้นจะชักชวนกันทั้งสามค่าย,ก็อายใจหลายเพลงนึกเกรงขาม,ฉวยใครพานางไปได้เสียดายงาม,จะมีความอดสูใช่งูดิน
ทหารดีมีฤทธิ์ประสิทธิ์ประสาท,ทั้งอำมาตย์เรี่ยวแรงแข็งขยัน,จะไปเชิญโฉมสีดาวิลาวัณย์,ในสวนขวัญสักเมื่อไรคงได้มา
แต่ไม่ต้องด้วยบทจึงงดไว้,สู้ข้ามไปผลาญโคตรท้าวยักษา,ต่อเสร็จศึกรับอนงค์องค์สีดา,มาพาราสมประสงค์จำนงปอง
อันเรื่องราวเล่าก็มีเป็นที่อ้าง,ต้องเอาอย่างแบบบุราณท่านสนอง,ลงเอนเอกเขนกนึกแต่ตรึกตรอง,แต่จะลองสนทนาทำหารือ
เขาจะว่าอย่างไรจะใคร่รู้,ฟังกระทู้เขาจะไปอย่างไรหรือ,เมื่อแรกเริ่มยกมาได้หารือ,เป็นคู่มือคู่คิดพร้อมจิตใจ
แล้วสั่งพวกคนสนิทที่ชิดเชื้อ,นำเอาเนื้อความไปแจ้งแถลงไข,ว่าเราเชิญพระสหายผู้ร่วมใจ,เสร็จมาได้สนทนาปรึกษาการ
เสนารับอภิวันท์แล้วผันผาย,ทั้งสองนายเรียกบ่าวเหล่าทหาร,พอสมควรด่วนไปมิได้นาน,แล้วแจ้งการนายประตูให้รู้ความ
ว่าไทท้าวเจ้าเรารับสั่งใช้,มาเฝ้าองค์ภูวไนยชาญสนาม,นายประตูรู้แจ้งแห่งเนื้อความ,เขาบอกนามท้าวไทรีบไปพลัน
เรียนกับท่านผู้ใหญ่ในค่ายหลวง,ตามกระทรวงเร็วร้อนรีบผ่อนผัน,เสนารับกลับไปบังคมคัล,ทูลให้ท่านท้าวทราบแล้วกราบกราน
สองท้าวทราบแต่งองค์สรงสนาน,สั่งทหารกัณฐัศว์ทั้งหัตถี,พร้อมสะพรั่งทั้งพหลแลมนตรี,จรลีมาทรงรถบทจร
สารถีตีม้าให้คลาเคลื่อน,ลีลาศเลื่อนพลแห่แลสลอน,ออกจากค่ายเร่งพหลพลนิกร,แล้วรีบจรมาถึงพลันด้วยทันที
ฝ่ายท้าวไทได้เห็นสองสหาย,รีบผันผายเชิญไปถึงในที่,แต่งไว้รับเชิญให้นั่งต่างยินดี,สั่งเสนียกเครื่องเนื่องกันมา
ใครจะคิดกลไกอย่างไรมั่ง,จะได้ฟังการสงครามสามสหาย,ด้วยต่างคนจะชิงชู้หาอุบาย,ซ่อนแยบคายความในไม่ไขจริง
แต่วาจาปราศรัยใจไม่ตั้ง,เปรียบเหมือนดั่งมดท้าวเจ้าผีสิง,อันชาติชายแล้วตะกลามเป็นความจริง,เรื่องผู้หญิงมันหนักหนาถึงฆ่าฟัน
ทั้งสามท้าวเจ้าชู้รู้น้ำจิต,ต่างก็คิดจะใคร่ได้ดั่งใจหมาย,ต่างก็พูดแสร้งเสเพทุบาย,เป็นแยบคายอ้อมค้อมไม่ยอมตัว
ล้วนเสือเฒ่าเจ้าความคิดบิดตะกูด,แต่ปากพูดกรุ้มกริ่มทั้งยิ้มหัว,นึกหมายใจว่าจะได้เป็นของตัว,แต่ล้วนมัวหลงงามทั้งสามชาย
แต่ล้วนพวกดึงดื้อถือทิษฐิ,ต่างตรองตริหวังว่าสมอารมณ์หมาย,แม้นมิได้อนงค์ก็คงอาย,จะมาหมายนั่งงมประสมมือ
นี่นางเดียวจะมารบสมทบเข้า,แม้นได้เจ้าเยาวมิ่งมาจริงหรือ,ก็คงจะวุ่นวายเมื่อปลายมือ,ต่างแย่งยื้อกันเปล่าไม่เข้าการ
เขาก็เขาเราก็เราเจ้าความคิด,สู้ป้องปิดความในไม่ไขขาน,สนทนาปราศรัยไปตามการ,เสร็จสำราญเลี้ยงลากันคลาไคล
จะกล่าวในพารามหากษัตริย์,ยังข้องขัดเศร้าหมองไม่ผ่องใส,ด้วยข้าศึกยังไม่สิ้นเหมือนริ้นไร,ฝ่ายท้าวไทเจ้าพาราตรัสหารือ
กับสองหน่อนฤบาลชาญสนาม,การสงครามจะชิงชัยอย่างไรหรือ,ราษฎรร้อนใจดั่งไฟฮือ,มันเล่าลือต่างต่างไม่สร่างกลัว
