w1,w2,w3,w4
ฝ่ายคนใช้ขึ้นไปแจ้งแถลงเล่า,ตามเรื่องราวที่ได้ไปสืบไต่ถาม,บาทหลวงได้รู้แจ้งแสดงความ,ก็สมตามคิดไว้เห็นได้การ
แล้วอ้ายแขกพ่อตามันมาด้วย,จะได้ช่วยการศึกให้ฮึกหาญ,แล้วสั่งให้ต้นหนพวกคนงาน,ให้ตั้งกว้านถอนสมอขันช่อใบ
ออกกำปั่นแต่บรรดาโยธาทัพ,ออกคั่งคับตามกันเสียงหวั่นไหว,พอลมคล่องต้องสายระบายใบ,ก็แล่นไปจากเกาะจำเพาะทาง
ข้างสมุทรรุดผ่านชลาสินธุ์,ลมก็กินใบจัดไม่ขัดขวาง,พอวันครึ่งถึงเขตประเทศทาง,ถนนขวางชายฝั่งเกาะลังกา
เห็นกำปั่นจอดรายชายสมุทร,แกให้หยุดชักธงส่งภาษา,ว่ามาดีด้วยกันอย่าฉันทา,เรือชวาชักรับคำนับกัน
บาทหลวงยิ้มอิ่มเอมเปรมในจิต,ว่ากูคิดครั้งนี้ดีขยัน,จะได้ช่วยรุกรบสมทบกัน,เอาให้มันลือกูผู้อาจารย์
ขอเดชะพระเยซูมาชูช่วย,ให้รื่นรวยในสมบัติพัสถาน,พอเรือใกล้ถึงกันมิทันนาน,พวกทหารเทวสินธุ์นรินทร
จึ่งร้องว่าเรือใครที่ไหนเล่า,อย่าเคียงเข้าชายตลิ่งริมสิงขร,จงหยุดยั้งฟังเราว่าอย่าอาวรณ์,คิดผันผ่อนหลีกไปให้ไกลกัน
บาทหลวงฟังร้องว่าใช่ข้าศึก,จงตรองตรึกบอกนายให้ผายผัน,อันเรือกูผู้เป็นพระมาปะกัน,อย่าดุดันดอกไม่ใช่พวกไพรี
คือองค์พระสังฆราชผู้ปราดเปรื่อง,ได้แจ้งเรื่องมรรคาเกาะกาหวี,ตั้งแต่กูจากมาสิบห้าปี,ก็ยินดีจะได้พบประสบกัน
พวกชวามลายูครั้นรู้จัก,มาถามทักเชิญให้แกผายผัน,บ้างเข้าไปทูลองค์พระทรงธรรม์,ว่าตัวท่านบาทหลวงแกล่วงมา
ให้กราบทูลมุลิกาฝ่าพระบาท,พระหน่อนาถทรงยศโอรสา,สามพระองค์พงศ์กษัตริย์ขัตติยา,กับท้าวชวาอิ่มเอมเกษมทรวง
เสด็จออกจากแท่นระบายท้ายบาหลี,ด้วยยินดีจะได้ปะพระบาทหลวง,จึงตรัสกับพวกพหลคนทั้งปวง,เอาเรือช่วงไปรับมาเภตราเรา
