w1,w2,w3,w4
อันเรื่องพระกฤษณาขอช้าไว้,จะกล่าวไปถึงพระองค์ทรงสิกขา,พระอภัยมณีศรีโสภา,ทั้งวันฬาสุมาลีพวกชีไพร
ส่งนัดดาแล้วเสร็จเสด็จกลับ,ไปประทับนคราที่อาศัย,ขึ้นทรงราชรถาให้คลาไคล,เสด็จไปเนินสิงคุตรที่กุฎี
พร้อมพระวงศ์พงศาคณาญาติ,ก็ตามราชรถไปในวิถี,ส่งเสด็จเสร็จไปถึงกุฎี,เข้านั่งที่โรงฉันในศัลลา
พระอภัยมณีฤๅษีสิทธ์,สำรวมจิตแจ้งเหตุเทศนา,พระไตรลักษณ์ชักเรื่องเนื่องกันมา,อนิจจาทุกขังไม่ยั่งยืน
เกิดแล้วตายว่ายวงในสงสาร,ทางกันดารมรรคาไม่ฝ่าฝืน,คิดก็เป็นอนิจจังไม่ยั่งยืน,เป็นแต่พื้นเน่าจมถมแผ่นดิน
เกิดมาแล้วก็คงตายวายชีวาตม์,อย่าหมายมาดรักใคร่ใฝ่ถวิล,เพราะกิเลสเจตนาจึ่งราคิน,ให้สัตว์ดิ้นอยู่ในบ่วงคือห่วงมาร
ติดในธรรมกรรมฐานนิพพานเถิด,จะประเสริฐหนักแน่นเป็นแก่นสาร,อันตัวเราเล่าประโยชน์โพธิญาณ,หมายนิพพานภาคหน้าสถาวร
อันโลโภโทโสแลโมหะ,จงสละเชื่อฟังเราสั่งสอน,เกิดมาในสงสารต้องราญรอน,ชิงนครบ้านเมืองเรื่องอบาย
ให้เขาพลัดญาติวงศ์เผ่าพงศา,อนิจจาอนิจจังสิ้นทั้งหลาย,ต้องรบราฆ่าฟันกันล้มตาย,ตกอบายเสียเปล่าเปล่าไม่เข้ายา
ได้แต่ความทุกขังเกิดสังเวช,กองกิเลสผูกพันเพราะตัณหา,เราเบื่อหน่ายในจิตคิดศรัทธา,บรรพชาเสียให้พ้นทนทรมาน
หมายประโยชน์โปรดสัตว์สันทัดเที่ยง,จึ่งหลีกเลี่ยงจากห่วงบ่วงสงสาร,เป็นฤๅษีชีไพรใจสำราญ,สมาทานยึดมั่นในขันตี
