w1,w2,w3,w4
เห็นประตูบูรีเปิดสี่ด้าน,ถามทหารรู้แจ้งแถลงไข,นางสุวรรณมาลีก็ดีใจ,ทั้งหัสไชยสร้อยสุวรรณจันทร์สุดา
เชิญเข้าไปในด่านปราการใหญ่,ฝ่ายพระอภัยชื่นชมสมประสงค์,ชวนพระน้องสองโอรสยศยง,พร้อมพระวงศ์พงศ์เผ่าทั้งเสาวคนธ์
มารับท้าวเจ้าบุรีรมจักร,เสียงคึกคักคนตามหลามถนน,ขึ้นตึกกลางกว้างใหญ่มีไกกล,เชิญนั่งบนแท่นทองอันรองเรือง
ท้าวทศวงศ์องค์มิ่งมเหสี,ทรงโศกีเล่าความไปตามเรื่อง,ยังแต่ตัวผัวเมียเมื่อเสียเมือง,ต้องตรมตรอมผอมเหลืองไม่เปลื้องทุกข์
แม่วัณฬามารับไปกับหล่อน,ค่อยวายร้อนหย่อนเย็นได้เป็นสุข,พ่อมาปราบราบที่กลียุค,จะสิ้นทุกข์สุขเกษมได้เปรมปรีดิ์
พระอภัยได้สดับอภิวาท,ด้วยข้าบาทกับพระน้องทั้งสองศรี,ไปเยี่ยมศพพระชนกชนนี,สองภูมีสู่สวรรคครรไล
ฝ่ายลูกหลานหาญฮึกเป็นศึกเสือ,เสียว่านเครือเหลือจะห้ามปรามไม่ไหว,เกิดฆ่าฟันกันยุ่งทั้งกรุงไกร,แต่เนื้อไขก็ให้เป็นถึงเช่นนี้
ท้าวทศวงศ์ทรงฟังสรรเสริญ,จงเจริญพงศ์พันธุ์ชันษา,ซึ่งเกิดเข็ญเห็นว่ากรรมเคยทำมา,ไม่โกรธาอย่าระแวงแคลงพระทัย
ทั้งสองนางต่างรับอภิวาท,วัณฬาฉลาดผันผ่อนพูดอ่อนหวาน,อันชาตินี้มีแต่รับอัประมาน,พลอยวงศ์วานบ้านเมืองขุ่นเคืองใจ
นี่หากว่าพระเสด็จมาดับเข็ญ,จะค่อยเว้นเวลาน้ำตาไหล,แม้ครั้งนี้มิได้พระหัสไชย,ไหนจะได้อภิวาทบาทบงสุ์
พระแย้มยิ้มพริ้มพรายภิปรายตรัส,เรียกพระหัสไชยชาติราชหงส์,มานบนอบหมอบเมียงอยู่เคียงองค์,เห็นซูบทรงสงสารรำคาญครัน
พลางกอดจูบลูบไล้ปราศรัยถาม,พ่อสงครามครั้งนี้เศร้าสีสัน,ต้องทำศึกดึกดื่นทุกคืนวัน,จึงผิดพรรณเผือดพักตร์เพราะหนักแรง
พ่อรักเจ้าเท่าบุตรสุจริต,อย่าเคืองจิตคิดอางขนางแหนง,รักสิ่งไรไม่ขัดจะจัดแจง,ช่วยตกแต่งอุปถัมภ์ให้จำเริญ
