w1,w2,w3,w4
จะกลับกล่าวราวเรื่องพระสังฆราช,แกอาฆาตพวกไทยดั่งไม้ขอน,มาทุ่มทับอกใจให้อาวรณ์,จะนั่งนอนไม่เป็นสุขทุกทิวา
ยังตั้งมั่นแข็งแรงหรือหย่อนฤทธิ์,จะได้คิดรบพุ่งเอากรุงศรี,เองจงไปพูดลวงดูท่วงที,ว่ากูนี้ให้บาทหลวงมาทวงเมือง
มันจะว่าอย่างไรแก้ไขตอบ,ตามระบอบว่าให้รู้ถึงหูเหือง,ให้มันไปบอกเล่าแก่เจ้าเมือง,ว่าบทเบื้องแต่บุรมบุราณการ
ของฝรั่งทั้งสิ้นแผ่นดินเกาะ,พูดให้เหมาะตามหลักอย่าหักหาญ,ถึงมันพูดเกะกะอย่าระราน,ฟังอาการแข็งอ่อนค่อยผ่อนปรน
แล้วเร่งรีบกลับมาเหมือนว่าขาน,ได้คิดการรบสู้ดูอีกหน,แกพาศิษย์รีบรัดไปบัดดล,แจ้งยุบลแก่ท้าวเจ้าพารา
จะขอเรือสักลำกำปั่นใหญ่,จะใช้ให้ดาวิดผู้ศิษย์หา,ไปประเทศเขตแคว้นแดนลังกา,ดูพาราเป็นอย่างไรไม่สบาย
ฝ่ายไทท้าวโรมพัฒน์เขาสัตย์ซื่อ,ด้วยนับถือทั่วจังหวัดไม่ขัดขืน,จึงตรัสสั่งเสนาว่ามะรืน,เร่งจัดปืนผาใส่ในเภตรา
ทั้งต้นหนคนใช้ในกำปั่น,เจ้าคุณท่านจะให้ไปในมหา,สาคเรศเขตแคว้นแดนลังกา,ทั้งข้าวปลาเครื่องเสบียงของเลี้ยงคน
บาทหลวงเฒ่าดีใจกลับไปตึก,สมที่นึกมุ่งมาดปรารถนา,ให้ดาวิดศิษย์ผู้ใหญ่รีบไคลคลา,ลงนาวาใช้ใบไปมินาน
ถอนสมอรอราอยู่หน้าป้อม,สะพรั่งพร้อมพลไพร่ทั้งซ้ายขวา,เรือตระเวนตามฝั่งเกาะลังกา,แล่นออกมาเห็นกำปั่นหน้าสันดอน
จึงรอราซาใบเข้าไปถาม,พวกแขกล่ามบอกว่าครูผู้สั่งสอน,คือบาทหลวงดาวิดจิตอาวรณ์,เที่ยวสั่งสอนศาสนาในสามัญ
ว่ากำปั่นพวกแขกแปลกภาษา,ฝรั่งมาเป็นครูผู้สั่งสอน,มาทอดอยู่ตรงท่าหน้าสันดอน,นามกรดาวิดจิตจำนง
จะสั่งสอนศาสนาว่าด้วยโลก,จะดับโศกนรชนพวกคนหลง,ขุนด่านแจ้งแต่งบอกไปโดยจง,ทูลพระองค์เจ้าบุรินทร์ปิ่นลังกา
