w1,w2,w3,w4
ฝ่ายพระจอมธิบดินทร์นรินทร์รัตน์,โองการตรัสให้อาลักษณ์แต่งอักษร,ไปทูลองค์พระเจ้าอาดั่งอาวรณ์,ขอภูธรเมตตาได้ปรานี
จะขอน้องราเมศมาไว้ด้วย,จะได้ช่วยบำรุงซึ่งกรุงศรี,พอเป็นเพื่อนชีวาอยู่ธานี,ขอภูมีโปรดปรานประทานมา
อาลักษณ์เขียนเรื่องสารลงลานเสร็จ,พระสั่งเจ็ดเสนีมียศถา,ให้รีบรัดจัดกันลงเภตรา,ไปพารากำพลเพชรให้เสร็จการ
ขุนเสนีรับสารไปกำปั่น,ต่างเร่งกันต้นหนพลทหาร,ออกแล่นล่องไปในท้องนทีธาร,ลมบันดาลพัดพาให้คลาไคล
สิบแปดวันบรรลุกำพลเพชร,เสนาเจ็ดขึ้นไปแจ้งแถลงไข,กับขุนด่านธารท่าชลาลัย,รีบขึ้นไปทูลองค์พระทรงธรรม์
ฝ่ายพระมิ่งมังคลานราราช,ตรัสประภาษปรีดิ์เปรมเกษมสันต์,สั่งให้แห่สาราขึ้นมาพลัน,พระทรงธรรม์ออกนั่งบัลลังก์ทอง
เจ็ดเสนามาบังคมบรมบาท,ตรัสประภาษถึงเวียงชัยปราศรัยสนอง,เสวกากราบประมูลทูลละออง,พระผู้ครองสวรรยาเจ้าธานี
ทรงทศพิธที่ในกิจการตัดสิน,ชาวบุรินทร์ปรีดิ์เปรมเกษมศรี,ประชาชนในจังหวัดปัถพี,ก็เป็นที่สุโขมโหฬาร
พระทรงฟังยินดีแล้วมิช้า,ให้ขุนอาลักษณ์กวีเร่งคลี่สาร,แถลงเรื่องคำไขที่ในลาน,ศุภสารศรีสวัสดิ์พระนัดดา
ขอบังคมสมเด็จพระทรงภพ,อันเลิศลบธิบดินทร์ปิ่นมหา,กำพลเพชรปิ่นเกล้าพระเจ้าอา,ให้ทราบฝ่าบาทบงสุ์พระทรงธรรม์
ด้วยรัตนาธานินทร์บุรินทร์รัตน์,เขตจังหวัดใหญ่ยิ่งทุกสิ่งสรรพ์,จะขอน้องไปไว้ด้วยได้ช่วยกัน,บำรุงขัณฑเสมาในธานี
ขอพระองค์ทรงโปรดให้ราเมศ,เหมือนปกเกศหลานรักเป็นศักดิ์ศรี,พออุ่นใจในนิเวศน์เขตบุรี,ได้เป็นที่ปรึกษาว่าราชการ
