wak,syllables,flag,guess,a,b,c
ล้วนคนคดเขาไม่เอาเข้าบาญชี,10,10 syllables — likely shatter/miscount,ล้วนคนคดเขาไม่เอาเข้าบาญชี,,,
ให้เป็นขบถคิดอ่านทำการศึก,9,word straddles a beat boundary,ให้เป็นขบถ | คิดอ่าน | ทำการศึก,,,
พระดาบสอดยิ้มพริ้มพระโอษฐ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระดาบสอด | ยิ้มพริ้ม | พระโอษฐ์,,,
เห็นวิปริตผิดอย่างแต่ปางก่อน,9,word straddles a beat boundary,เห็นวิปริต | ผิดอย่าง | แต่ปางก่อน,,,
หมวกโหม่งครุ่มครอบสวมใส่กรวมหัว,10,10 syllables — likely shatter/miscount,หมวกโหม่งครุ่มครอบสวมใส่กรวมหัว,,,
ต่างเด็ดได้ไปถวายพระอัคนี,9,reading chosen by meter: อัคนี 3->2,ต่างเด็ดได้ | ไปถวาย | พระอัคนี,,,
ไม่เห็นหน้าน้องแล้วจะแคล้วกัน,9,word straddles a beat boundary,ไม่เห็นหน้า | น้องแล้วจะ | แคล้วกัน,,,
ให้กลับมาว่ากล่าวทูลท้าวไท,9,word straddles a beat boundary,ให้กลับมา | ว่ากล่าว | ทูลท้าวไท,,,
ไม่นิยมสมบัติพัสถาน,8,word straddles a beat boundary,ไม่นิยม | สมบัติ | พัสถาน,,,
กลับโหยกเหยกก่อศึกพูดฮึกหาญ,10,10 syllables — likely shatter/miscount,กลับโหยกเหยกก่อศึกพูดฮึกหาญ,,,
เลี้ยงบรรดาพลพรรคพระอัคนี,9,reading chosen by meter: อัคนี 3->2,เลี้ยงบรรดา | พลพรรค | พระอัคนี,,,
คิดโหยกเหยกคบขบถจึงจดหมาย,11,11 syllables — likely shatter/miscount,คิดโหยกเหยกคบขบถจึงจดหมาย,,,
ฝ่ายผู้ถือหนังสือลับกลับมาค่าย,10,10 syllables — likely shatter/miscount,ฝ่ายผู้ถือหนังสือลับกลับมาค่าย,,,
มาโหยกเหยกอย่างนี้ผิดวิสัย,10,10 syllables — likely shatter/miscount,มาโหยกเหยกอย่างนี้ผิดวิสัย,,,
ปลัดทัพรับลากลับมาค่าย,9,word straddles a beat boundary,ปลัดทัพ | รับลากลับมา | ค่าย,,,
โห่สนั่นลั่นเลื่อนสะเทื้อนสะทึก,9,word straddles a beat boundary,โห่สนั่น | ลั่นเลื่อนสะเทื้อน | สะทึก,,,
แตกกระจัดกระจายเวียนวิ่งเหียนหัน,9,4-syllable word not at วรรค edge,แตกกระจัดกระจายเวียนวิ่งเหียนหัน,,,
ต่างเสียท่วงทีทัพอัปรา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ต่างเสียท่วง | ทีทัพ | อัปรา,,,
มันโหยกเหยกสาหัสจะตัดหัว,10,10 syllables — likely shatter/miscount,มันโหยกเหยกสาหัสจะตัดหัว,,,
อึกทึกกึกก้องฆ้องกลองตี,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อึกทึกกึก | ก้องฆ้อง | กลองตี,,,
ให้รู้กลการณรงค์ในสงคราม,10,10 syllables — likely shatter/miscount,ให้รู้กลการณรงค์ในสงคราม,,,
อ้ายเดรฉานชาติโกหกยกฤๅษี,10,10 syllables — likely shatter/miscount,อ้ายเดรฉานชาติโกหกยกฤๅษี,,,
ไม่ชื่นชมสมบัติพัสถาน,8,word straddles a beat boundary,ไม่ชื่นชม | สมบัติ | พัสถาน,,,
พลอยโหยกเหยกเอกกะระอ้ายขบถ,11,11 syllables — likely shatter/miscount,พลอยโหยกเหยกเอกกะระอ้ายขบถ,,,
กลับมาขู่กูให้ยอมน้อมประณต,10,10 syllables — likely shatter/miscount,กลับมาขู่กูให้ยอมน้อมประณต,,,
ไม่ทำอันตรายสบายดี,8,word straddles a beat boundary,ไม่ทำอันตราย | สบาย | ดี,,,
ถึงกรุงไกรเตรียมทัพกลับมารบ,9,word straddles a beat boundary,ถึงกรุงไกร | เตรียมทัพกลับมา | รบ,,,
พระนักสิทธ์พิศดูท้าวเจ้าบูรี,10,10 syllables — likely shatter/miscount,พระนักสิทธ์พิศดูท้าวเจ้าบูรี,,,
ให้แก้มัดมิให้ช้ำระส่ำระสาย,10,10 syllables — likely shatter/miscount,ให้แก้มัดมิให้ช้ำระส่ำระสาย,,,
ค่อยหายโกรธตรึกตราอัชฌาสัย,9,word straddles a beat boundary,ค่อยหายโกรธ | ตรึกตรา | อัชฌาสัย,,,
จึงตรัสเทศนาว่าวิตถาร,8,word straddles a beat boundary,จึงตรัสเทศนา | ว่า | วิตถาร,,,
