wak,syllables,flag,guess,a,b,c
พระชนนีจัดงานการวิวาห์,9,word straddles a beat boundary,พระชนนี | จัดงาน | การวิวาห์,,,
การมงคลอดิเรกภิเษกศรี,10,10 syllables — likely shatter/miscount,การมงคลอดิเรกภิเษกศรี,,,
ศุกร์จรดลมาอุตม์ถึงพุธา,9,word straddles a beat boundary,ศุกร์จรดล | มาอุตม์ | ถึงพุธา,,,
พฤหัสจรมาพักถึงลัคนา,10,10 syllables — likely shatter/miscount,พฤหัสจรมาพักถึงลัคนา,,,
สั่งให้หมายตั้งการภิเษกศรี,9,word straddles a beat boundary,สั่งให้หมาย | ตั้งการภิเษก | ศรี,,,
พระเสาวนีย์รับสั่งให้ตั้งการ,9,word straddles a beat boundary,พระเสาวนีย์ | รับสั่ง | ให้ตั้งการ,,,
กรมเมืองกรมท่าโยธาหาญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กรมเมืองกรม | ท่าโย | ธาหาญ,,,
ตั้งเครื่องราชกกุธกัณฑ์เป็นชั้นฉาย,10,10 syllables — likely shatter/miscount,ตั้งเครื่องราชกกุธกัณฑ์เป็นชั้นฉาย,,,
แล้วกางกั้นเศวตฉัตรจัดไว้เสร็จ,10,10 syllables — likely shatter/miscount,แล้วกางกั้นเศวตฉัตรจัดไว้เสร็จ,,,
ชาวประโคมก็ประโคมเสียงโครมครึก,10,10 syllables — likely shatter/miscount,ชาวประโคมก็ประโคมเสียงโครมครึก,,,
มโหระทึกปี่ชวาก้องกาหล,10,10 syllables — likely shatter/miscount,มโหระทึกปี่ชวาก้องกาหล,,,
พวกโหราคั่งคับสลับสลอน,9,word straddles a beat boundary,พวกโหรา | คั่งคับสลับ | สลอน,,,
พระชนนีที่ข้างในดังใจปอง,10,10 syllables — likely shatter/miscount,พระชนนีที่ข้างในดังใจปอง,,,
ขึ้นประสาทกับพระญาติมาตุรงค์,10,10 syllables — likely shatter/miscount,ขึ้นประสาทกับพระญาติมาตุรงค์,,,
โดยไสยศาสตร์ค่อยประจงองค์ละสาม,10,10 syllables — likely shatter/miscount,โดยไสยศาสตร์ค่อยประจงองค์ละสาม,,,
ลดพระองค์ลงกราบพระชนนี,10,10 syllables — likely shatter/miscount,ลดพระองค์ลงกราบพระชนนี,,,
พวกดูโขนหุ่นล้วนคุณหม่อม,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พวกดูโขน | หุ่นล้วน | คุณหม่อม,,,
จับกระเหม่าก้นหม้อแกงโดยแสงงอน,10,10 syllables — likely shatter/miscount,จับกระเหม่าก้นหม้อแกงโดยแสงงอน,,,
เก็บเอาสิ่งยาหยูกกับลูกตา,10,10 syllables — likely shatter/miscount,เก็บเอาสิ่งยาหยูกกับลูกตา,,,
ขึ้นอัสดรเหาะไปในเวหา,9,word straddles a beat boundary,ขึ้นอัสดร | เหาะไป | ในเวหา,,,
ขงเบ้งอุบายลวงจิวยี่แล้วกรีพล,11,11 syllables — likely shatter/miscount,ขงเบ้งอุบายลวงจิวยี่แล้วกรีพล,,,
ชุลมุนล้มคว่ำคะมำหงาย,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ชุลมุน | ล้มคว่ำคะมำหงาย | ,,,
พระชนนีได้เวลาจึ่งพานาง,10,10 syllables — likely shatter/miscount,พระชนนีได้เวลาจึ่งพานาง,,,
จะเป็นที่เคืองขัดอัธยา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จะเป็นที่ | เคืองขัด | อัธยา,,,
จะถามไต่แม่อย่าได้ออกเจรจา,10,10 syllables — likely shatter/miscount,จะถามไต่แม่อย่าได้ออกเจรจา,,,
อภิวันท์บาทยุคลพระชนนี,11,11 syllables — likely shatter/miscount,อภิวันท์บาทยุคลพระชนนี,,,
กระโดดดิ้นในวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กระโดดดิ้น | ในวน | ชลสาย,,,
กระเหว่าร้องก้องกังวานประสานดัง,10,10 syllables — likely shatter/miscount,กระเหว่าร้องก้องกังวานประสานดัง,,,
สองกษัตริย์ดั่งได้เชยเสวยสวรรค์,10,10 syllables — likely shatter/miscount,สองกษัตริย์ดั่งได้เชยเสวยสวรรค์,,,
