wak,syllables,flag,guess,a,b,c
ไปหาพระสังฆราชผู้บาทหลวง,9,4-syllable word not at วรรค edge,ไปหาพระสังฆราชผู้บาทหลวง,,,
ขุนนางแห่แต่ล้วนดาบกำซาบสะพาย,10,10 syllables — likely shatter/miscount,ขุนนางแห่แต่ล้วนดาบกำซาบสะพาย,,,
พอเหยียบบันไดไพล่พลิกเสียงกริกกร่าง,10,10 syllables — likely shatter/miscount,พอเหยียบบันไดไพล่พลิกเสียงกริกกร่าง,,,
มาอารามรูปทำไมเจ้าไอศวรรย์,10,10 syllables — likely shatter/miscount,มาอารามรูปทำไมเจ้าไอศวรรย์,,,
ข้าพเจ้าเอาชีวิตอุทิศถวาย,11,11 syllables — likely shatter/miscount,ข้าพเจ้าเอาชีวิตอุทิศถวาย,,,
ทั้งร่างกายกว่าชีวาตม์จะขาดสูญ,10,10 syllables — likely shatter/miscount,ทั้งร่างกายกว่าชีวาตม์จะขาดสูญ,,,
อึกทึกตึกตั้งด้วยมั่งมี,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อึกทึกตึก | ตั้งด้วย | มั่งมี,,,
ถวายรูปกระดาษราชสาร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ถวายรูป | กระดาษ | ราชสาร,,,
หมอเข้าแก้แต่อังสาถึงขาตะไกร,10,10 syllables — likely shatter/miscount,หมอเข้าแก้แต่อังสาถึงขาตะไกร,,,
เสวยราชย์ลังกามหาศวรรย์,9,word straddles a beat boundary,เสวยราชย์ | ลังกามหา | ศวรรย์,,,
สืบกษัตริย์สุริย์วงศ์ดำรงสถาน,10,10 syllables — likely shatter/miscount,สืบกษัตริย์สุริย์วงศ์ดำรงสถาน,,,
แล้วทรงเสื้อสวมปิดสนิทถนอม,9,word straddles a beat boundary,แล้วทรงเสื้อ | สวมปิดสนิท | ถนอม,,,
ถึงนาทีตีระฆังเสียงหงั่งเหง่ง,11,11 syllables — likely shatter/miscount,ถึงนาทีตีระฆังเสียงหงั่งเหง่ง,,,
ฝ่ายโฉมยงองค์ละเวงวัณฬาสมร,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมยงองค์ละเวงวัณฬาสมร,,,
เจ้าละมานลานจิตพิศเพ่ง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เจ้าละมาน | ลานจิต | พิศเพ่ง,,,
กิริยาน่าถนอมละม่อมละไม,10,10 syllables — likely shatter/miscount,กิริยาน่าถนอมละม่อมละไม,,,
แต่กิริยาดูประหวัดด้วยสตรี,10,10 syllables — likely shatter/miscount,แต่กิริยาดูประหวัดด้วยสตรี,,,
เกษมสุขสืบวงศ์ดำรงสถาน,9,word straddles a beat boundary,เกษมสุข | สืบวงศ์ดำรง | สถาน,,,
เสนหาอาวรณ์ร้อนฤทัย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เสนหาอา | วรณ์ร้อน | ฤทัย,,,
ดูกรุยกรายกรีดพระหัตถ์จัดประจง,10,10 syllables — likely shatter/miscount,ดูกรุยกรายกรีดพระหัตถ์จัดประจง,,,
ช่างไพเราะรำพันสรรเสริญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ช่างไพเราะ | รำพัน | สรรเสริญ,,,
ให้สมความปรารถนายุพาพาล,9,4-syllable word not at วรรค edge,ให้สมความปรารถนายุพาพาล,,,
มาลงเรือพระที่นั่งบัลลังก์รัตน์,9,4-syllable word not at วรรค edge,มาลงเรือพระที่นั่งบัลลังก์รัตน์,,,
เสียงครึกครื้นพื้นพิภพสยบสยอง,10,10 syllables — likely shatter/miscount,เสียงครึกครื้นพื้นพิภพสยบสยอง,,,
มาทรงราชยานหามงามขยัน,9,word straddles a beat boundary,มาทรงราชยาน | หาม | งามขยัน,,,
พอลมมาเพลาเพลาทรงเป่าพลัน,10,10 syllables — likely shatter/miscount,พอลมมาเพลาเพลาทรงเป่าพลัน,,,
หวานวิเวกวังเวงดังเพลงสวรรค์,9,4-syllable word not at วรรค edge,หวานวิเวกวังเวงดังเพลงสวรรค์,,,
เห็นพลิกแพลงแว้งวัดคิดขัดใจ,9,word straddles a beat boundary,เห็นพลิกแพลง | แว้งวัด | คิดขัดใจ,,,
โสมนัสในอารมณ์ด้วยสมหมาย,10,10 syllables — likely shatter/miscount,โสมนัสในอารมณ์ด้วยสมหมาย,,,
เสียน้ำใจในอารมณ์ไม่สมประดี,10,10 syllables — likely shatter/miscount,เสียน้ำใจในอารมณ์ไม่สมประดี,,,
ทั้งวงศ์วานมิได้เห็นว่าเป็นไฉน,10,10 syllables — likely shatter/miscount,ทั้งวงศ์วานมิได้เห็นว่าเป็นไฉน,,,
เข้าล้อมลักชักกระดาษรูปวาดไว้,10,10 syllables — likely shatter/miscount,เข้าล้อมลักชักกระดาษรูปวาดไว้,,,
สู่มนเทียรปรางค์มาศราชวัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สู่มนเทียร | ปรางค์มาศ | ราชวัง,,,
ลมอัสสาสะประสาสขาดสันดาน,11,11 syllables — likely shatter/miscount,ลมอัสสาสะประสาสขาดสันดาน,,,
