wak,syllables,flag,guess,a,b,c
เสวยสมบัติลังกาอัชฌาสัย,9,word straddles a beat boundary,เสวยสมบัติ | ลังกา | อัชฌาสัย,,,
จะไปยังลังกามหาสถาน,9,word straddles a beat boundary,จะไปยัง | ลังกามหา | สถาน,,,
พลทัพนับแสนแน่นอเนก,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลทัพนับ | แสนแน่น | อเนก,,,
ทั้งนงลักษณ์อัคเรศเกศตระกูล,10,10 syllables — likely shatter/miscount,ทั้งนงลักษณ์อัคเรศเกศตระกูล,,,
จึงทูลความจักรพรรดิ์กษัตริย์ศรี,10,10 syllables — likely shatter/miscount,จึงทูลความจักรพรรดิ์กษัตริย์ศรี,,,
ศัตรูกริ่งเกรงจบสยบสยอน,9,word straddles a beat boundary,ศัตรูกริ่ง | เกรงจบสยบ | สยอน,,,
พระทรงฟังสังรเสริญเจริญยศ,11,11 syllables — likely shatter/miscount,พระทรงฟังสังรเสริญเจริญยศ,,,
จึงมีพจนาตรัสปราศรัย,8,word straddles a beat boundary,จึงมีพจนา | ตรัส | ปราศรัย,,,
ให้เลี้ยงดูหมู่พหลพลไกร,8,word straddles a beat boundary,ให้เลี้ยงดู | หมู่พหล | พลไกร,,,
ภิปรายปราศรัยเสร็จเสด็จจร,8,word straddles a beat boundary,ภิปรายปราศรัย | เสร็จ | เสด็จจร,,,
แล้วทรงเครื่องเรืองระยับสำหรับกษัตริย์,10,10 syllables — likely shatter/miscount,แล้วทรงเครื่องเรืองระยับสำหรับกษัตริย์,,,
ที่ตึกกลางหว่างประตูข้างบูรพทิศ,10,10 syllables — likely shatter/miscount,ที่ตึกกลางหว่างประตูข้างบูรพทิศ,,,
เป็นเปลวเพลิงรุ่งโรจน์โชตินา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เป็นเปลวเพลิง | รุ่งโรจน์ | โชตินา,,,
ถึงราหูคู่กาลกิณี,8,word straddles a beat boundary,ถึงราหู | คู่กาลกิณี | ,,,
กรมแสงสารพัดให้จัดการ,8,word straddles a beat boundary,กรมแสงสารพัด | ให้ | จัดการ,,,
คงจะสมปรารถนาเอ็งอย่าแคลง,10,10 syllables — likely shatter/miscount,คงจะสมปรารถนาเอ็งอย่าแคลง,,,
จะปรับโทษเหมือนขบถที่โทษกรณ์,10,10 syllables — likely shatter/miscount,จะปรับโทษเหมือนขบถที่โทษกรณ์,,,
จึงปราศรัยไต่ถามนามกร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จึงปราศรัย | ไต่ถาม | นามกร,,,
มาเสียทีอีวัณฬาบ้ากามคุณ,10,10 syllables — likely shatter/miscount,มาเสียทีอีวัณฬาบ้ากามคุณ,,,
จงผันผ่อนคิดให้สมอารมณ์ถวิล,10,10 syllables — likely shatter/miscount,จงผันผ่อนคิดให้สมอารมณ์ถวิล,,,
แจ้งข้อราชการศึกที่ฮึกหาญ,9,4-syllable word not at วรรค edge,แจ้งข้อราชการศึกที่ฮึกหาญ,,,
นเรนทร์สูรสั่งให้อ่านสารแสดง,10,10 syllables — likely shatter/miscount,นเรนทร์สูรสั่งให้อ่านสารแสดง,,,
แล้วให้ไปรมจักรนัครา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วให้ไป | รมจักร | นัครา,,,
แล้วไปที่หน่อกษัตริย์หัสกัน,8,word straddles a beat boundary,แล้วไปที่ | หน่อกษัตริย์ | หัสกัน,,,
ถวายสารการณรงค์ทุกองค์เสร็จ,10,10 syllables — likely shatter/miscount,ถวายสารการณรงค์ทุกองค์เสร็จ,,,
ว่าบัดนี้เกาะลังกามหาสถาน,10,10 syllables — likely shatter/miscount,ว่าบัดนี้เกาะลังกามหาสถาน,,,
เราจะกรีธาทัพไปรับรอง,8,word straddles a beat boundary,เราจะกรีธาทัพ | ไป | รับรอง,,,
ป่างพระองค์ผู้ดำรงรมจักร,8,word straddles a beat boundary,ป่างพระองค์ | ผู้ดำรง | รมจักร,,,
สั่งองค์อัครชายาสุดาสมร,10,10 syllables — likely shatter/miscount,สั่งองค์อัครชายาสุดาสมร,,,
จากบรรจถรณ์แท่นบรรทมตรมฤทัย,10,10 syllables — likely shatter/miscount,จากบรรจถรณ์แท่นบรรทมตรมฤทัย,,,
พระยุรยาตรจากห้องอันผ่องใส,9,word straddles a beat boundary,พระยุรยาตร | จากห้อง | อันผ่องใส,,,
วายุพัฒน์จัดพหลพลรบ,8,word straddles a beat boundary,วายุพัฒน์ | จัดพหล | พลรบ,,,
แต่แม่พ่อเขายังสู้ไม่รู้คุณ,10,10 syllables — likely shatter/miscount,แต่แม่พ่อเขายังสู้ไม่รู้คุณ,,,
หัสกันน้องยาจึ่งว่าขาน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",หัสกันน้อง | ยาจึ่ง | ว่าขาน,,,
