wak,syllables,flag,guess,a,b,c
คือสุดสาครรณรงค์คงกระพัน,10,10 syllables — likely shatter/miscount,คือสุดสาครรณรงค์คงกระพัน,,,
พระชนนีปรีชาช่วยข้าไท,9,word straddles a beat boundary,พระชนนี | ปรีชา | ช่วยข้าไท,,,
บ้างไหม้เพลาเสากระโดงระโยงระยาง,10,10 syllables — likely shatter/miscount,บ้างไหม้เพลาเสากระโดงระโยงระยาง,,,
อึกทึกทุกทัพวิ่งสับสน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อึกทึกทุก | ทัพวิ่ง | สับสน,,,
ศึกสมทบหลายทัพสลับสลอน,9,word straddles a beat boundary,ศึกสมทบ | หลายทัพสลับ | สลอน,,,
ทั้งสามองค์ทรงพาหนะที่นั่ง,9,word straddles a beat boundary,ทั้งสามองค์ | ทรงพาหนะ | ที่นั่ง,,,
สงสารทหารหิวโหยโรยกำลัง,9,word straddles a beat boundary,สงสารทหาร | หิวโหย | โรยกำลัง,,,
ไล่ฆ่าพลพวกฝรั่งมังคลา,8,word straddles a beat boundary,ไล่ฆ่าพล | พวกฝรั่ง | มังคลา,,,
พอนางสุนีที่มาด้วยเข้าช่วยทัน,10,10 syllables — likely shatter/miscount,พอนางสุนีที่มาด้วยเข้าช่วยทัน,,,
แล้วขึ้นนั่งหลังนิลสินธพ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วขึ้นนั่ง | หลังนิล | สินธพ,,,
เผานครการะเวกโหยกเหยกครัน,11,11 syllables — likely shatter/miscount,เผานครการะเวกโหยกเหยกครัน,,,
ไปรบพุ่งกรุงผลึกรมจักร,8,word straddles a beat boundary,ไปรบพุ่ง | กรุงผลึก | รมจักร,,,
ทั้งสองท้าวสาวสนมรมจักร,8,word straddles a beat boundary,ทั้งสองท้าว | สาวสนม | รมจักร,,,
ชื่อว่าอกตัญญูชาติงูพิษ,9,4-syllable word not at วรรค edge,ชื่อว่าอกตัญญูชาติงูพิษ,,,
ดังทรพีวัดรอยจะคอยขวิด,9,word straddles a beat boundary,ดังทรพี | วัดรอย | จะคอยขวิด,,,
จึงกลับม้าพาพหลพลไพร่,8,word straddles a beat boundary,จึงกลับม้า | พาพหล | พลไพร่,,,
ดูแดนดงดาษดาพฤกษาไสว,10,10 syllables — likely shatter/miscount,ดูแดนดงดาษดาพฤกษาไสว,,,
จึงกล่อมขับคำประดิษฐ์สนิทสนม,10,10 syllables — likely shatter/miscount,จึงกล่อมขับคำประดิษฐ์สนิทสนม,,,
ต่างบรรจถรณ์ทูลเกล้าอย่าเศร้าหมอง,9,word straddles a beat boundary,ต่างบรรจถรณ์ | ทูลเกล้า | อย่าเศร้าหมอง,,,
เหมือนกลองระฆังกังสดาลขานประโคม,10,10 syllables — likely shatter/miscount,เหมือนกลองระฆังกังสดาลขานประโคม,,,
เหมือนอย่างโคมชวาลาระย้าระยับ,10,10 syllables — likely shatter/miscount,เหมือนอย่างโคมชวาลาระย้าระยับ,,,
จะอุส่าห์โอบอ้อมถนอมสนิท,9,word straddles a beat boundary,จะอุส่าห์ | โอบอ้อมถนอม | สนิท,,,
ถนอมสนิทนางสุนีเจ้าพี่เอ๋ย,10,10 syllables — likely shatter/miscount,ถนอมสนิทนางสุนีเจ้าพี่เอ๋ย,,,
จะประคับประคองถนอมเป็นจอมจิต,10,10 syllables — likely shatter/miscount,จะประคับประคองถนอมเป็นจอมจิต,,,
นางกระดักกระดิกกระเดียมอายเหนียมชาย,10,10 syllables — likely shatter/miscount,นางกระดักกระดิกกระเดียมอายเหนียมชาย,,,
ต้นร้อยลิ้นอินทร์จันทน์ขนันขนุน,9,word straddles a beat boundary,ต้นร้อยลิ้น | อินทร์จันทน์ขนัน | ขนุน,,,
ฝางฝาหรั่งทั้งอินทนิลพะเนียง,9,word straddles a beat boundary,ฝางฝาหรั่ง | ทั้งอินทนิล | พะเนียง,,,
เสลาเสลี่ยงแสลงพันกรวยกันเกรา,10,10 syllables — likely shatter/miscount,เสลาเสลี่ยงแสลงพันกรวยกันเกรา,,,
เคี่ยมคล้อเขลงเต็งตะเคียนกระเบียนกระเบา,10,10 syllables — likely shatter/miscount,เคี่ยมคล้อเขลงเต็งตะเคียนกระเบียนกระเบา,,,
เค้าโมงเมียงมาจับสลับสลอน,9,word straddles a beat boundary,เค้าโมงเมียง | มาจับสลับ | สลอน,,,
กระเหว่ากระแวนสัตวากระทาขัน,10,10 syllables — likely shatter/miscount,กระเหว่ากระแวนสัตวากระทาขัน,,,
แล้วคิดอ่านการรณรงค์จะยงยุทธ์,10,10 syllables — likely shatter/miscount,แล้วคิดอ่านการรณรงค์จะยงยุทธ์,,,
บอกพระสังฆราชครูให้รู้ความ,9,4-syllable word not at วรรค edge,บอกพระสังฆราชครูให้รู้ความ,,,
