wak,syllables,flag,guess,a,b,c
จะรบเร้าเอาให้สมอารมณ์ถวิล,10,10 syllables — likely shatter/miscount,จะรบเร้าเอาให้สมอารมณ์ถวิล,,,
เสนากลับมาเรียกพหลทหาร,10,10 syllables — likely shatter/miscount,เสนากลับมาเรียกพหลทหาร,,,
สั่งเสนียกเครื่องเนื่องกันมา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สั่งเสนียก | เครื่องเนื่อง | กันมา,,,
สามกษัตริย์เสวยพลางทางสนทนา,10,10 syllables — likely shatter/miscount,สามกษัตริย์เสวยพลางทางสนทนา,,,
อย่าว่าแต่ท้าวพระยามหากษัตริย์,10,10 syllables — likely shatter/miscount,อย่าว่าแต่ท้าวพระยามหากษัตริย์,,,
ให้อัปราชัยไปไม่ได้หรือ,9,4-syllable word not at วรรค edge,ให้อัปราชัยไปไม่ได้หรือ,,,
ขอรองบาทภูวไนยดั่งในประสงค์,10,10 syllables — likely shatter/miscount,ขอรองบาทภูวไนยดั่งในประสงค์,,,
อย่าได้ทรงพระวิตกสะทกสะท้าน,10,10 syllables — likely shatter/miscount,อย่าได้ทรงพระวิตกสะทกสะท้าน,,,
มิให้ร้อนถึงอาณาประชาราษฎร์,10,10 syllables — likely shatter/miscount,มิให้ร้อนถึงอาณาประชาราษฎร์,,,
พระทรงฟังสังรเสริญเจริญยศ,11,11 syllables — likely shatter/miscount,พระทรงฟังสังรเสริญเจริญยศ,,,
ฝ่ายนิกรมพรหเมศรู้เหตุสิ้น,10,10 syllables — likely shatter/miscount,ฝ่ายนิกรมพรหเมศรู้เหตุสิ้น,,,
กราบถวายบังคมตามกันสามที,9,4-syllable word not at วรรค edge,กราบถวายบังคมตามกันสามที,,,
เครื่องสักการบัดพลีพลีกรรม,8,word straddles a beat boundary,เครื่องสักการ | บัดพลี | พลีกรรม,,,
การสำเร็จเสร็จสรรพกลับมาเฝ้า,9,word straddles a beat boundary,การสำเร็จ | เสร็จสรรพกลับมา | เฝ้า,,,
ทุกหมู่กรมสาวสุรางค์พวกนางใน,10,10 syllables — likely shatter/miscount,ทุกหมู่กรมสาวสุรางค์พวกนางใน,,,
พระยุรยาตรตรงมายังหน้าฉาน,9,word straddles a beat boundary,พระยุรยาตร | ตรงมา | ยังหน้าฉาน,,,
ล่วงลีลาศชายป่าพนาระหง,9,word straddles a beat boundary,ล่วงลีลาศ | ชายป่าพนา | ระหง,,,
ท่านนิกรมพรหเมศทูลเหตุพลัน,10,10 syllables — likely shatter/miscount,ท่านนิกรมพรหเมศทูลเหตุพลัน,,,
ตั้งบัดพลีบำบวงสรวงพระไพร,9,word straddles a beat boundary,ตั้งบัดพลี | บำบวง | สรวงพระไพร,,,
เป็นควันพลุ่งรุ่งโรจน์โชตินา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เป็นควันพลุ่ง | รุ่งโรจน์ | โชตินา,,,
สักครู่หนึ่งเป็นพายุระบุระบัด,10,10 syllables — likely shatter/miscount,สักครู่หนึ่งเป็นพายุระบุระบัด,,,
เว้นแต่อาโปกสิณอภิญญาณ,9,4-syllable word not at วรรค edge,เว้นแต่อาโปกสิณอภิญญาณ,,,
ไปหาท่านพรหเมศฟังเหตุการณ์,10,10 syllables — likely shatter/miscount,ไปหาท่านพรหเมศฟังเหตุการณ์,,,
ฝ่ายท่านครูผู้ชำนาญการกสิณ,9,4-syllable word not at วรรค edge,ฝ่ายท่านครูผู้ชำนาญการกสิณ,,,
เจริญอาโปกสิณอภิญญาณ,9,4-syllable word not at วรรค edge,เจริญอาโปกสิณอภิญญาณ,,,
