wak,syllables,flag,guess,a,b,c
ฟังกิตติศัพท์เรื่องราวท้าวโกสัย,9,word straddles a beat boundary,ฟังกิตติศัพท์ | เรื่องราว | ท้าวโกสัย,,,
แต่ตัวมันเพราะเป็นศิษย์สนิทสนอง,10,10 syllables — likely shatter/miscount,แต่ตัวมันเพราะเป็นศิษย์สนิทสนอง,,,
ขอให้สมปรารถนาดั่งอาวรณ์,10,10 syllables — likely shatter/miscount,ขอให้สมปรารถนาดั่งอาวรณ์,,,
ท้าวโกสัยไหวปัญญาปรีชาฉลาด,10,10 syllables — likely shatter/miscount,ท้าวโกสัยไหวปัญญาปรีชาฉลาด,,,
เขาขยุกเข้าที่คันก็หรรษา,10,10 syllables — likely shatter/miscount,เขาขยุกเข้าที่คันก็หรรษา,,,
แกร้องฮะมึงก็ปราชญ์ฉลาดเฉลียว,10,10 syllables — likely shatter/miscount,แกร้องฮะมึงก็ปราชญ์ฉลาดเฉลียว,,,
ใช่จะพึ่งบุญญาบารมี,8,word straddles a beat boundary,ใช่จะพึ่ง | บุญญาบารมี | ,,,
กับราชบุตรวายุพัฒน์ให้จัดหา,10,10 syllables — likely shatter/miscount,กับราชบุตรวายุพัฒน์ให้จัดหา,,,
พวกนายหมวดตรวจพหลพลรบ,8,word straddles a beat boundary,พวกนายหมวด | ตรวจพหล | พลรบ,,,
แล้วสั่งกันวันพรุ่งนี้จะกรีทัพ,9,reading chosen by meter: กรี 2->1,แล้วสั่งกัน | วันพรุ่งนี้ | จะกรีทัพ,,,
ครั้นเสร็จสรรพขับพหลพลรบ,8,word straddles a beat boundary,ครั้นเสร็จสรรพ | ขับพหล | พลรบ,,,
ไหว้เทเวศร์วัชรินทร์พระอินทร์ศวร,10,10 syllables — likely shatter/miscount,ไหว้เทเวศร์วัชรินทร์พระอินทร์ศวร,,,
พลกรรมร่ำภาวนาไป,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",พลกรรมร่ำ | ภาวนา | ไป,,,
ท้าววะลำสำปันหนาชวาฉวี,10,10 syllables — likely shatter/miscount,ท้าววะลำสำปันหนาชวาฉวี,,,
จึงรีบแก้ผนึกพลันตามสารศรี,10,10 syllables — likely shatter/miscount,จึงรีบแก้ผนึกพลันตามสารศรี,,,
อันศักดิ์สิทธิ์ฤทธิแรงสำแดงกาย,10,10 syllables — likely shatter/miscount,อันศักดิ์สิทธิ์ฤทธิแรงสำแดงกาย,,,
ดูรูปการคล้ายกับหุ่นรุ่นจำเริญ,10,10 syllables — likely shatter/miscount,ดูรูปการคล้ายกับหุ่นรุ่นจำเริญ,,,
แล้วร้องบอกตามภาษาชวาฉวี,10,10 syllables — likely shatter/miscount,แล้วร้องบอกตามภาษาชวาฉวี,,,
กลับไปถิ่นนคเรศประเทศสถาน,10,10 syllables — likely shatter/miscount,กลับไปถิ่นนคเรศประเทศสถาน,,,
เทพไทเจ้าเกาะเมื่อเหาะเหิน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เทพไทเจ้า | เกาะเมื่อ | เหาะเหิน,,,
โองการตรัสกับเสนาบดีศรี,9,4-syllable word not at วรรค edge,โองการตรัสกับเสนาบดีศรี,,,
ฝ่ายท่านครูผู้ประสิทธิ์ฤทธิเวท,10,10 syllables — likely shatter/miscount,ฝ่ายท่านครูผู้ประสิทธิ์ฤทธิเวท,,,
ทั้งลัคนามาอยู่ธนูด้วย,9,word straddles a beat boundary,ทั้งลัคนา | มาอยู่ | ธนูด้วย,,,
หัสไชยไปด้วยได้ช่วยพี่,7,"7 syllables — ambiguous, [3,2,2] is only a guess",หัสไชยไป | ด้วยได้ | ช่วยพี่,,,
