wak,syllables,flag,guess,a,b,c
อยู่สำนักเนินสิงคุตรกุฏิฤๅษี,11,11 syllables — likely shatter/miscount,อยู่สำนักเนินสิงคุตรกุฏิฤๅษี,,,
พลางเสด็จออกนอกกุฎีที่สำนัก,10,10 syllables — likely shatter/miscount,พลางเสด็จออกนอกกุฎีที่สำนัก,,,
ภิปรายปราศรัยน้องสองนารี,8,word straddles a beat boundary,ภิปรายปราศรัย | น้อง | สองนารี,,,
แล้วเทศนาปราศรัยให้ใจเย็น,9,word straddles a beat boundary,แล้วเทศนา | ปราศรัย | ให้ใจเย็น,,,
เข้ากระดูกแล้วมันทำเสียหยำเหยอ,11,11 syllables — likely shatter/miscount,เข้ากระดูกแล้วมันทำเสียหยำเหยอ,,,
ทั้งเยาวมาลย์มัจฉาสีกาโยม,9,word straddles a beat boundary,ทั้งเยาวมาลย์ | มัจฉา | สีกาโยม,,,
พระเสด็จจรทางกสิณอภิญญาณ,10,10 syllables — likely shatter/miscount,พระเสด็จจรทางกสิณอภิญญาณ,,,
ละสมบัติพัสถานการพารา,9,4-syllable word not at วรรค edge,ละสมบัติพัสถานการพารา,,,
หรือเห็นภัยในคฤหัสถ์ตัดลูกเมีย,10,10 syllables — likely shatter/miscount,หรือเห็นภัยในคฤหัสถ์ตัดลูกเมีย,,,
ประเสริฐแล้วอุตสาห์เพียรตัดเสี้ยนหนาม,10,10 syllables — likely shatter/miscount,ประเสริฐแล้วอุตสาห์เพียรตัดเสี้ยนหนาม,,,
จะมีความสุขใจในนิพพาน,9,4-syllable word not at วรรค edge,จะมีความสุขใจในนิพพาน,,,
ทั้งปรนนิบัติพัดวีชุลีกร,9,word straddles a beat boundary,ทั้งปรนนิบัติ | พัดวี | ชุลีกร,,,
ทั้งเภสัชเพลาสารพัน,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งเภสัช | เพลาสารพัน | ,,,
พระสุริยาขึ้นสว่างกลางเวหน,10,10 syllables — likely shatter/miscount,พระสุริยาขึ้นสว่างกลางเวหน,,,
ขนุนขนันจันทน์อินผลลิ้นจี่,9,word straddles a beat boundary,ขนุนขนัน | จันทน์อิน | ผลลิ้นจี่,,,
นางเงือกอยู่วังวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นางเงือกอยู่ | วังวน | ชลสาย,,,
เห็นทรงฤทธิ์จิตปลี้มลืมความทุกข์,10,10 syllables — likely shatter/miscount,เห็นทรงฤทธิ์จิตปลี้มลืมความทุกข์,,,
ก็ถึงภาวสัญญีนิ่งไม่ติงกาย,10,10 syllables — likely shatter/miscount,ก็ถึงภาวสัญญีนิ่งไม่ติงกาย,,,
จะตายแท้หรือว่าซบสลบไสล,10,10 syllables — likely shatter/miscount,จะตายแท้หรือว่าซบสลบไสล,,,
แกภาวนาช่วยชีวิตจิตอาวรณ์,10,10 syllables — likely shatter/miscount,แกภาวนาช่วยชีวิตจิตอาวรณ์,,,
จะพรรณนามาไปเหมือนไฟเผา,9,word straddles a beat boundary,จะพรรณนา | มาไป | เหมือนไฟเผา,,,
สัพลาวาจามุสาวาท,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สัพลาวา | จามุ | สาวาท,,,
พูดเลอะเทอะไปยังค่ำพย่ำเผยอ,10,10 syllables — likely shatter/miscount,พูดเลอะเทอะไปยังค่ำพย่ำเผยอ,,,
แล้วเทรดกายยับสับประหาร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วเทรดกาย | ยับสับ | ประหาร,,,
สละสลัดปัดไปเสียให้พ้น,9,word straddles a beat boundary,สละสลัด | ปัดไป | เสียให้พ้น,,,
ตัดกังวลเพราะเห็นชั่วถ่อยร้อยประตู,10,10 syllables — likely shatter/miscount,ตัดกังวลเพราะเห็นชั่วถ่อยร้อยประตู,,,
ขอบารมีแหวกใส่ในเกศา,9,word straddles a beat boundary,ขอบารมี | แหวกใส่ | ในเกศา,,,
ฟังคดีทรามสงวนนวลหง,8,word straddles a beat boundary,ฟังคดี | ทรามสงวน | นวลหง,,,
จึ่งว่าพี่ละสมบัติญาติวงศ์,8,word straddles a beat boundary,จึ่งว่าพี่ | ละสมบัติ | ญาติวงศ์,,,
