w1,w2,w3,w4
ขุนทองรับอัพภิวันท์รำพันพลอด,ลูกจะสอดสืบความตามประสงค์,ลูกอาสากว่าจะได้ดังใจจง,คุณพ่อคงได้ชมสมคะเน
พระกอดจูบลูบสาลิกาแก้ว,ดีจริงแล้วคิดเหมือนใจไม่ขัดขวาง,ระงับภัยที่จะไปในกลางทาง,อย่านอนค้างกลางดงจงกลับมา
นกขุนทองป้องปีกเคารพรับ,ยืนขยับโผผันด้วยหรรษา,ขึ้นลอยลมไปในหว่างกลางนภา,เข้าพาราร่อนลงตรงวังใน
โสตสดับตรับเหตุสังเกตจิต,ว่ามิ่งมิตรอยู่ปรางค์มุขอันสุกใส,มีต้นกร่างข้างแกลปราสาทไชย,สำราญใจลงจับขยับมอง
โฉมอำพันมาลาไสยาหลับ,ให้วาบวับแว่วเสียงสำเนียงหวาน,นางลงจากแท่นรัตน์ชัชวาล,แล้วเผยบานพระแกลเหลียวแลมา
พอเสียงอาดนกฉลาดเข้าแอบลับ,นัยน์ตาจับเพ่งพิศขนิษฐา,สะอาดเอี่ยมเทียมเทพธิดา,สาลิกาพิศวงด้วยองค์นาง
ทำเลียบเมินเดินมาตรงหน้ามุข,ยืนหัวซุกไซ้ขนบนกิ่งกร่าง,นางเนื้อเย็นเห็นสาลิกาพลาง,งามสำอางเลิศล้ำสกุณี
ปากเหลืองดังทองคำธรรมชาติ,ขนสะอาดผาดขำดูดำสี,คะนึงในน้ำพระทัยนางเทวี,เมื่อตะกี้ชะรอยเสียงสาลิกา
ดำริพลางนางเรียกขุนทองเอ๋ย,เป็นไรเลยเสียไม่พูดเล่าปักษา,หัวเราะหยอกหลอกแม่ให้แลมา,แล้วเมินหน้าเสียไม่พูดให้แม่ฟัง
นกขุนทองหัวร่อแล้วขอโทษ,อย่าถือโกรธลูกไม่มีนัยน์ตาหลัง,เมื่อแรกมาเห็นหน้าพระแกลบัง,แต่พูดพลั้งออกไปนิดยังคิดกลัว
มิชอบใจจะว่าใครมาพูดแจ้ว,ถ้ากริ้วแล้วว่าขุนทองนี้ชาติชั่ว,จะให้สาวชาววังมาจับตัว,ลูกก็กลัวที่จะไปไม่ใคร่ทัน
ฟังเสนาะเพราะเสียงสำเนียงนก,นางลูบอกแล้วก็ทรงพระสรวลสันต์,แม่เจ้าเอ๋ยรู้จริงทุกสิ่งอัน,แล้วรับขวัญเรียกสาลิกาทอง
มานี่เถิดเจ้าสาลิกาเอ๋ย,ให้แม่เชยแต่พอชื่นอารมณ์หมอง,ข้าวกับไข่แม่จะใส่จานทองรอง,เจ้าขุนทองเข้ามาชิมให้อิ่มใจ
ดูดู๋เจ้าใจแข็งเสียแรงปลอบ,คิดเห็นชอบหรือไฉนให้ทิ้งของ,บุญแม่น้อยมิได้อุ้มเจ้าขุนทอง,นุชน้องเจ้างับพระแกลบัง
นกขุนทองป้องปีกเคารพรับ,น้อมคำนับขยับบินแล้วผินหลัง,อนิจจาผิดล้นพ้นกำลัง,นี่หรือยังจะรักไปให้ยืดยาว
ก็สาสมที่อารมณ์เราทำชั่ว,ท่านรักตัวแล้วยังดื้อทำอื้อฉาว,โอ้เคราะห์ร้ายเรื้อรังมาทั้งคราว,ฉันลาเจ้าแม่แล้วอย่าโกรธเลย
ทำยกปีกเหมือนจะถาไปอากาศ,สุดสวาทผลักบานบัญชรเผย,มาเถิดมาสาลิกาอย่าโกรธเลย,แม่เจ้าเอ๋ยใจน้อยนี่สุดใจ
นกขุนทองว่าฉันลองใจเจ้าแม่,คิดอยู่แต่จะไม่เผยบัญชรให้,คอยรับลูกเถิดจะโผนโจนลงไป,ลูกอ่อนใจแสบท้องมาสองวัน
