w1,w2,w3,w4
พระทรงฟังคั่งแค้นแสนกระสัน,ก็อ้นอั้นตันใจพระทัยหาย,อัประมาณสามนต์พลนิกาย,คิดเสียดายเดชาสง่าเมือง
ทั่วประเทศเขตนครขจรฤทธิ์,ปัจจามิตรต่างระบือออกลือเลื่อง,ทั่วจังหวัดปัถพีบูรีเรือง,ลือกระเดื่องทั่วหล้าฟ้าแลดิน
เราหลงตีนางมณีถึงสาหัส,สารพัดที่เราผิดคิดถวิล,หลงด้วยหญิงแพศยาเป็นราคิน,เพราะดูหมิ่นของสำคัญไม่ทันคิด
แสนสลดเหมือนอย่างทศกัณฐ์ยักษ์,เมื่อลิงลักล่อลวงเอาดวงจิต,เสียยศศักดิ์เสียศรีด้วยมีฤทธิ์,พระยิ่งคิดก็ยิ่งแค้นแน่นอุรา
พระหยุดยั้งสั่งฝูงนางสาวสรรค์,ไปเอาตัวนางอำพันมาข้างหน้า,สาวสนมวิ่งกลมเป็นเกลียวมา,ทูลอำพันกัลยาประหม่าใจ
ว่าพระองค์ทรงเรียกแม่เนื้อเกลี้ยง,ทรงกริ้วเสียงดังลั่นสนั่นไหว,เขาจับทาสากับตาเฒ่าเข้ามาไว้,ภูวไนยโกรธาอย่าช้าที
โฉมอำพันขวัญหายพระทัยสั่น,เห็นแม่นมั่นคงจะปลงลงเป็นผี,พระพักตร์เผือดเลือดซีดไม่สมประดี,จรลีมากับสาวเหล่ากำนัล
หมอบประนมบังคมพระทรงฤทธิ์,ดังชีวิตกัลยาจะอาสัญ,เห็นพระองค์ทรงกริ้วดังไฟกัลป์,พระทรงธรรม์ตรัสถามนางทรามวัย
นี่แน่เจ้าเยาวลักษณ์ศักดิ์กระษัตริย์,จงแจ้งอรรถไปให้สิ้นที่สงสัย,เจ้าใช้นางทาสาไปหาใคร,แต่จริงใจนะนางอย่าพรางกัน
ยุพาพาลฟังถามให้คร้ามจิต,เห็นสุดคิดที่จะแก้พูดแปรผัน,ด้วยพวกเพื่อนเหมือนพยานออกยืนยัน,พระองค์สั่นก้มกราบกับบาทา
