w1,w2,w3,w4
พระโคบุตรสุริย์วงศ์ทรงสวัสดิ์,ได้ฟังอรรถเห็นจริงทุกสิ่งสรรพ์,ด้วยลูกน้อยกลอยใจอยู่ในครรภ์,จะหุนหันเข่นฆ่าคงราคี
ประโลมลูบจูบน้องเสน่หา,พ่อปรีชาว่าชอบนะโฉมศรี,แต่ใจหญิงแพศยาเป็นกาลี,ไม่ควรที่จะเลี้ยงไว้เวียงไชย
จะลือชาว่าพี่นี้โฉดเขลา,ช่างมัวเมารักเมียไม่เสียได้,ขอชีวาอย่าวิตกจะยกไว้,แต่ขับไล่เสียให้พ้นพระพารา
ขุนทองฟังเห็นประทังประทานโทษ,เต้นกระโดดขึ้นบนพระเพลาขวา,พลอยฉะอ้อนวอนทูลพระบิดา,ลูกสมเพชเวทนาไม่รู้วาย
ถึงไม่เลี้ยงเคียงพักตร์เหมือนหนหลัง,ให้อยู่วังตามประสานางโฉมฉาย,จะขับไปเดินดงก็คงตาย,ประทานโทษโฉมฉายไว้เวียงไชย
พระฟังคำทำเคืองมิให้ขอ,เฝ้าสอพลอไปทุกสิ่งไม่นิ่งได้,ใครว่าไรว่าบ้างเป็นอย่างไร,ยักออกไปเสียเจ้าไม่เข้าการ
อรุณฟังเห็นยังไม่หยุดได้,ดูพระทัยสิ้นรักสมัครสมาน,จะทูลนักจักเคืองเรื่องรำคาญ,เจ้ากราบกรานทูลลาออกมาพลัน
สาลิกามาตามอรุณน้อย,ให้เศร้าสร้อยสงสารแล้วโศกศัลย์,ครั้นถึงห้องท้องพระโรงเรืองสุวรรณ,โฉมอำพันแลมาโศกาลัย
เข้าสวมสอดกอดน้องประคองนก,น้ำตาตกไต่ถามตามสงสัย,พ่อขอโทษโปรดบ้างหรืออย่างไร,พี่รอใจคอยฟังทั้งสองรา
สาลิกากับอรุณกันแสงไห้,ฉันขอได้แต่ชีวังไม่สังขาร์,ให้ขับไปไกลนอกพระพารา,สุดปัญญาที่จะทูลให้เคลื่อนคลาย
อันตัวพี่นี้ก็คงจะตักษัย,พี่ขอบใจน้องรักเป็นหนักหนา,พระคุณเจ้าสุจริตดังบิดา,พี่ชั่วช้าดูดื้อไม่ซื่อตรง
ผลกรรมจำจากบูรีศรี,เอาซากผีไปไว้ไพรระหง,พ่อช่วยพาไปลาแม่โฉมยง,เมื่อปลดปลงอย่าให้กรรมประจำกาย
อรุณรับอัพภิวันท์แล้วผันพักตร์,แจ้งประจักษ์เพชฌฆาตสิ้นทั้งหลาย,เราขอโทษพี่นางไม่วางวาย,ยังคงตายอยู่เถรอีชาวใน
เขาถึงกรรมตามบทพจนารถ,เพชฌฆาตก้มกราบอยู่ไสว,เจ้าอรุณขุนทองนางทรามวัย,พากันไปห้องสุวรรณพรรณราย
เพชฌฆาตพาเถรกับทาสี,ไปถึงที่แล้วล้างเสียโดยหมาย,ไม้รวกเสียบกายทะลวงเลือดทลาย,ประจานกายขึ้นขาหยั่งริมทางคน
สงสารนางวางวิ่งเข้ากอดบาท,นุชนาฏร้องไห้โฮขอโทษา,ที่ได้ทำผิดพลั้งแต่หลังมา,แม่อย่าผูกเวราให้ติดตัว
ลูกตายจากปลดเปลื้องไปเมืองผี,เพราะกรรมมีดลจิตให้คิดชั่ว,ให้แม่เจ้าเศร้าหมองละอองมัว,แม่ทูนหัวอย่าให้เป็นมีเวรไป
ชาตินี้ลูกอาภัพอัปลักษณ์,จะรู้จักคุณแม่ก็หาไม่,เมื่อลูกพลัดมาถึงพระเวียงไชย,พระหน่อไทบิดาก็ปรานี
ฉันหลงเชื่อคนชั่วด้วยมัวจิต,มิได้คิดถึงคุณแม่โฉมศรี,ไม่ควรคบเถรชราทำยายี,แม่ต้องโพยโบยตีระกำกาย
สารพัดที่ชั่วในตัวลูก,แม่อย่าผูกเวราไปสืบสาย,อนุญาตลูกยาจะลาตาย,นางฟูมฟายชลนาโศกาลัย
โฉมยงทรงฟังสุนทรหวาน,คิดสงสารกัลยาน้ำตาไหล,ที่แค้นเคืองเปลื้องปลดสลดใจ,พลอยร่ำไรเล้าโลมนางโฉมยง
อุตส่าห์กลั้นกันแสงเสียเถิดน้อง,พี่ไม่ปองผูกกรรมนวลหง,นิจจาเอ๋ยเคยอยู่สบายองค์,ฝูงอนงค์แซ่ซ้องประคองนาง
เวราใดจำให้ไกลนิเวศน์,โอ้สมเพชนวลน้องจะหมองหมาง,จะได้ใครไปเป็นเพื่อนในเถื่อนทาง,สงสารนางโฉมยงเจ้าทรงครรภ์
แม้นรอดถึงพาราบิดาน้อง,จะประคองแก้ไขไม่อาสัญ,นี่พารากรุงไกรก็ไกลกัน,เจ้าโศกศัลย์สงสารนางเทวี
อันความผิดมิได้คิดที่ตรงเจ้า,เพราะกรรมเราย่อมสร้างแต่ปางหลัง,สงสารน้องจะลำบากไปจากวัง,จะเซซังเปลี่ยวองค์ในพงพี
แม้นบุญปลอดคลอดบุตรในไพรเขียว,จะแลเหลียวเห็นใครในไพรศรี,ใครจะช่วยมาก่อกองอัคคี,ไม่เห็นมีใครแล้วนะแก้วตา
นางอำพันอั้นอัดสะอื้นร่ำ,อาลัยคำพี่ไม่ผูกซึ่งโทษา,กันแสงพลางนางกราบกับบาทา,อนิจจาเจ้าประคุณของลูกรัก
ลูกทำชั่วมัวหมองให้ข้องขุ่น,ลืมบุญคุณของพระองค์ผู้ทรงศักดิ์,ถึงฟ้าดินก็ไม่เท่ายังเบานัก,แต่ลูกรักทำชั่วด้วยมัวเมา
แม้นอยู่ได้ลูกจะตายอยู่ใต้บาท,ใจหมายมาดดังแม่บังเกิดเกล้า,แล้วกลิ้งเกลือกเสือกองค์นางนงเยาว์,โฉมเฉลานิ่งซบสลบลง
นางมณีสาลิกาเจ้าอรุณ,ก็วายวุ่นเอาสุคนธ์มาโสรจสรง,หอมระรื่นฟื้นกายนางโฉมยง,กันแสงทรงโอบอุ้มเจ้าสาลิกา
จะจำไกลไปจากขุนทองแล้ว,พระลูกแก้วอยู่เถิดอย่าโหยหา,นกขุนทองร้องไห้ฟายน้ำตา,จนสุริยาเยื้องรถลงรอนรอน
นางมณีมีจิตคิดสงสาร,โดยอ่อนหวานให้สติสายสมร,เออแม่น้องลองไปเฝ้าพระภูธร,ทูลอ้อนวอนเพื่อจะโปรดแม่เทวี
โฉมอำพันวันทาลงตรงพระบาท,ยุรยาตรจากปรางค์ปราสาทศรี,ขึ้นปราสาทรัตนาพระสามี,นางเทวีก้มกราบกับบาทา
ทูลกระหม่อมจอมโลกของเมียแก้ว,เมียผิดแล้วจงประทานซึ่งโทษา,มิให้ขายแก่ฝ่ายพระบาทา,ขอเป็นข้าแม่มณีที่วังใน
อันหนทางกลางป่าก็ไม่แจ้ง,จะรู้แห่งจรดลไปหนไหน,พระลูกน้อยในครรภ์จะบรรลัย,จงโปรดให้เป็นข้าอยู่ธานี
พระฟังนางพลางคิดถึงความหลัง,ให้แค้นคั่งขัดเคืองมเหสี,ออกไปเสียเถิดเจ้าอย่าเซ้าซี้,หญิงกาลีกูจะเลี้ยงมึงไว้ไย
จะเดินป่าว่าไม่รู้จักแห่งหน,เสาะหาคนทำเล่ห์เสน่ห์ได้,จะเหาะหรือเดินทางก็ช่างใคร,พระกริ้วเหล่าสาวใช้เป็นโกลี
เป็นไรเล่าอีเหล่านี้มึงนิ่งได้,ขับลงไปเสียให้พ้นคนบัดสี,แล้วขึ้นแท่นไสยาไม่พาที,นางเทวีให้สลดระทดใจ
