w1,w2,w3,w4
นกขุนทองป้องปีกคำรบรับ,บินขยับจับช่องพระแกลใหญ่,พอลับเนตรสาวสรรค์กำนัลใน,ก็บินไปโดยลำพังกำลังแรง
ออกลอยลมชมดงอยู่ร่มรื่น,ในภาคพื้นแดดอับพยับแสง,หมายเมืองพาราณสีไม่มีแคลง,กำลังแรงร่อนไปในไพรวัน
พระสุริยงลงลับเหลี่ยมสิงขร,พระจันทรเทวบุตรก็ผุดผัน,ขึ้นลอยรถหมดเมฆวิเวกครัน,สว่างวันหิมวาพนาลัย
สงัดเสียงสิงสัตว์กำดัดดึก,ขุนทองนึกเอกาลงอาศัย,นอนสุมทุมพุ่มพงพนมไพร,ครั้นรุ่งจรรีบไปในเมฆา
ครั้นแดดร้อนผ่อนพักหาอาหาร,อิ่มสำราญบินรีบถีบถลา,ประมาณทางค้างคืนสองทิวา,ถึงพาราณสีบูรีพลัน
ลงจับแกลแลเห็นอรุณน้อย,กระโดดลอยลงที่ตักเกษมสันต์,สำรวลป้องปีกประนมบังคมคัล,นกว่าฉันรำลึกถึงเป็นพ้นใจ
เจ้าอรุณฟังพลอดแล้วกอดจูบ,ประโลมลูบสาลิกาแล้วปราศรัย,เห็นสารสวมคอนกพระตกใจ,หนังสืออะไรเจ้าสาลิกาทอง
สาลิกาว่าสารของเจ้าแม่,ในกระแสเศร้าใจอาลัยหมอง,สั่งให้ลูกรีบมาหาพระน้อง,แต่ความอื่นขุนทองไม่แจ้งการ
ในสารศรีว่าพี่นางไม่สร่างโศก,แสนวิโยคเพียงชีวาจะอาสัญ,ด้วยพระองค์หลงรักนางอำพัน,เธอมาดมั่นโมโหพาโลตี
นางอำพันฝ่ายน้อยพลอยสำทับ,พี่อายกับหญิงชายชาวกรุงศรี,เพราะเถรเฒ่าเจ้าเล่ห์เสน่ห์ดี,มันทำให้ภูมีนั้นคลั่งไป
พี่สืบดูรู้แจ้งไม่แคลงจิต,ไม่มีใครจะคิดช่วยแก้ไข,อนุชาเร่งร้อนอย่านอนใจ,ก็สิ้นในสารศรีที่มีมา
พระอรุณรู้แจ้งแกล้งทำเฉย,ตรัสภิเปรยกับด้วยเจ้าปักษา,สั่งขุนทองให้อยู่ห้องที่ไสยา,จะไปเฝ้าพระบิดาในราตรี
ครั้นถึงจึ่งบังคมอยู่เคียงอาสน์,ถวายราชสารทองของโฉมศรี,พระพี่กับเชษฐาเป็นราคี,ให้ลูกรีบจรลีไปพารา
