w1,w2,w3,w4
ฉันชื่อภู่รู้เรื่องประจักษ์แจ้ง,จึงแสดงคำคิดประดิษฐ์ถวาย,ตามสติริเริ่มเรื่องนิยาย,ให้เพริศพรายพริ้งเพราะเสนาะกลอน
จะร่ำปางนางสวรรค์เสวยสุข,อยู่ปรางค์มุขพิมานสโมสร,เผยพระแกลแลดูแผ่นดินดอน,เห็นไกรสรคลอดลูกในหิมวา
ผลกรรมนำจิตให้พิศวาส,นุชนาฏจะใคร่มีโอรสา,เห็นพระสุริโยทัยเธอไคลคลา,กัลยานึกไปดังใจปอง
แม้นสามีมิได้เหมือนพระอาทิตย์,ไม่ขอคิดสมสู่เป็นคู่สอง,ผลกรรมจำจากวิมานทอง,นางก็ต้องจุติด้วยใจตน
อยู่ประมาณนานมาในบัวหลวง,สุดาดวงกำดัดชมสมสมร,จะกล่าวถึงสุริยาทิพากร,เสด็จจรเลี้ยวเหลี่ยมพระเมรุมา
อรุณโรจน์โชติช่วงดวงจรัส,ส่องจังหวัด[๒]ภาคพื้นพระเวหา,พิศเพ่งเล็งแลในโลกา,เห็นนางฟ้าอยู่ในพุ่มปทุมมาลย์
จึ่งแบ่งภาคจากรถระเห็จเหาะ,ลงเฉพาะสระใหญ่ในไพรศรี,พระหัตถ์หักปทุมาจากวารี,มานั่งที่ร่มไทรในไพรวัน
คลี่ปทุมอุ้มนางขึ้นวางตัก,แม่ยอดรักปิ่นสุรางค์นางสวรรค์,กุศลเราเคยสมภิรมย์กัน,บุญจึ่งบันดาลใจให้เจาะจง
พี่พึ่งรู้ว่าเจ้าอยู่ในโกเมศ,จึ่งประเวศติดตามด้วยความประสงค์,จะช่วยเจ้าเยาวลักษณ์วิไลทรง,ให้คืนคงเมืองฟ้าสุราลัยฯ
ปางยุพินปิ่นเทพอัปสร,ฟังสุนทรสุริยงคิดสงสัย,นางผลักพลางทางแลชำเลืองไป,งามวิไลพูนสวัสดิ์ชัชวาล
ถึงเทพบุตรสุดสิ้นในอากาศ,ไม่ผุดผาดผิวพรรณเทียมสัณฐาน,นางค้อนคมก้มพักตร์แล้วพจมาน,ไม่ควรการช่างไม่เกรงข่มเหงกัน
ถึงดินฟ้าสาครภูเขาขุน,เมื่อสิ้นบุญถึงกรรมทำไฉน,แต่ชาติก่อนใครห่อนประจักษ์ใจ,ระลึกได้หรือจะรู้ในเรื่องราว
เหมือนมัจฉาสาครเป็นที่พึ่ง,บุญแล้วจึ่งได้พบประสบศรี,ต้องประสงค์อยู่ตรงไมตรีดี,ถึงแม้นมีสิ่งของไม่ต้องการ
นี่แน่เจ้าเยาวลักษณ์วิไลศรี,เสียแรงพี่จงรักสมัครสมาน,อย่าพูดนักชักเยิ่นให้เนิ่นนาน,จะเสียการไมตรีที่เรียมวอน
จงแย้มเยื้อนเบือนพักตร์รับรักบ้าง,ประโลมนางแนบกายสายสมร,แสนสำราญอยู่ในร่มนิโครธร[๔],พระกางกรประดิพัทธ์วัจนา
อัศจรรย์บรรดาสาคเรศ,อรัญเวศหวั่นไหวไพรพฤกษา,เทพทั้งตั้งโห่เป็นโกลา,สนั่นป่าลั่นเสียงสำเนียงดัง
