w1,w2,w3,w4
พระโคบุตรอนุชาพากันเหาะ,ข้ามละเมาะเนินผาพนาสัณฑ์,เห็นเงาะป่าหาปูมาปะกัน,ทำดุดันเตะต่อยกันตึงตัง
ที่ตัวกล้าไม่ถอยตบต่อยโขก,เสียงดังโปกเหวี่ยงปัดถูกหมัดปั๋ง,ล้มถลาซวนเซอยู่เก้กัง,โดยกำลังข้างโกงโขย่งไป
ชื่นอารมณ์ชมป่าพฤกษาชาติ,จัตุบาทเสือสิงห์วิ่งไสว,พระชวนน้องเดินพนมเที่ยวชมไพร,เก็บดอกไม้เล่นพลางตามหว่างเนิน
จะกล่าวถึงอสุรีขินียักษ์,อยู่สำนักในลำเนาภูเขาเขิน,เห็นพี่น้องสององค์ทรงเจริญ,เที่ยวเล่นเพลินด้นดั้นอรัญวา
พึ่งแรกรุ่นรูปร่างสำอางเอี่ยม,งานเสงี่ยมน่ารักเป็นหนักหนา,เนตรโขนงโก่งวาดเพียงบาดตา,กิริยาขำคมก็สมทรง
ดูสองปรางเหมือนมะปรางเมื่อแรกปลิด,ให้ปลื้มจิตแลแลก็ยิ่งหลง,นึกนึกจะสะอึกเข้าอุ้มองค์,กลัวจะทรงพระพิโรธกริ้วโกรธไป
จะกลับแกล้งแปลงเพศเสียจากยักษ์,คงสมศักดิ์เหมือนคิดพิสมัย,แล้วอ่านเวทเพศยักษ์ก็สูญไป,งามวิไลล้ำนางสำอางตา
ทั้งสองเต้าเต่งตั้งดังบัวหลวง,พอเต็มทรวงกำดัดชมทั้งซ้ายขวา,ทำแกล้งเมินเดินทรงโศกามา,ที่ตรงหน้าพี่น้องสองกุมาร
พระโคบุตรสุริยาวราฤทธิ์,สำคัญคิดว่ามนุษย์สุดสงสาร,พอใกล้องค์ทรงวิ่งมาลนลาน,พจมานไถ่ถามตามเมตตา
เป็นไรน้องร้องไห้ไม่เห็นเพื่อน,ในกลางเถื่อนวุ้งเวิ้งชะวากผา,ไม่กลัวสัตว์เสือสีห์จะบีฑา,อนิจจาเดินเดียวน่าเปลี่ยวใจ
ยักขินีฟังคำทำสะอื้น,แล้วหยุดยืนเช็ดชลนัยน์ไหล,พระบิดาพาน้องมาเล่นไพร,ละเลิงไล่มฤคีกับรี้พล
ฉันหลงชมมิ่งไม้ไพรพฤกษา,หมายจะกลับพาราก็ขัดสน,พระโปรดด้วยช่วยพาข้าจรดล,พอให้พ้นหิมวาถึงธานี
ทั้งแก้วแหวนแสนทรัพย์ซึ่งสิ่งของ,จะกอบกองแทนคุณพระโฉมศรี,เป็นสัจจังวาจาน้องพาที,ช่วยชีวีน้องไว้อย่าให้ตาย
ทั้งสององค์หลงกลอีนางยักษ์,ไม่ประจักษ์คิดว่าจริงก็ใจหาย,สงสารเจ้าเสาวภาคย์ลำบากกาย,จะพาสายสุดสวาทไปเวียงไชย
ถึงแก้วแหวนแสนทรัพย์จะนับโกฏิ,ไม่ประโยชน์เลยนะน้องอย่าหมองไหม้,เราจะช่วยนิรมลให้พ้นภัย,อยู่ถึงไหนแก้วตาจะพาจร
อสุรีดีใจเข้าเคียงข้าง,อยู่หว่างกลางสององค์พระทรงศร,บอกบูรีอยู่ตรงที่ทิศอุดร,บทจรเดินตามกันสามรา
ได้สมรักยักษ์ร้ายไม่วายยิ้ม,เดินกระหยิ่มมาด้วยความเสน่หา,เดินพลางดูพลางไม่วางตา,วิ่งผวาเข้าไปกอดพระโฉมยง
พระตกใจว่าอะไรนั่นแก้วพี่,อสุรีแกล้งบอกหลอกให้หลง,เมื่อตะกี้ไหวไหวอยู่ในพง,พยัคฆ์ดงโตใหญ่กระไรเลย
ทั้งสององค์หลงเชื่ออียักษี,ว่ามิใช่พยัคฆีเจ้าพี่เอ๋ย,อย่าหวาดหวั่นพรั่นในพระทัยเลย,แล้วชวนเชยชมนกในหิมวา
อียักษ์แปลงแกล้งถามถึงนามนก,ฝูงวิหคเรียงรายปลายพฤกษา,พระบอกนามตามชื่อสกุณา,สาลิกาจับกิ่งตะโกวัน
โน่นแน่เจ้าเขาไฟนั่นไก่ป่า,นกกระทาจับต้นกระทิงขัน,ฝูงกาลิงจับกิ่งแสลงพัน,ที่ต้นจันทน์นกตะขาบคาบมะปริง
จัตุบาทผาดผยองลำพองโผน,กิเลนโจนไล่นางนรสิงห์,กระต่ายเต้นเล่นหลอกกับลูกลิง,หมู่มหิงส์แรดช้างเสือกวางทราย
เย็นพยับอับแสงสุริยง,ชะนีส่งเสียงไห้น่าใจหาย,กุมาราพายักษ์จำแลงกาย,กำหนดหมายมุ่งทิศอุดรมา
ยักขินีดีใจเห็นใกล้ค่ำ,นิมิตถ้ำด้วยพระเวทของยักษา,ให้เห็นเป็นเวียงวังอลังการ์,เป็นพาราบ้านช่องนั้นนองเนือง
ดูผู้คนอลหม่านร้านตลาด,คนเกลื่อนกลาดเดินตามถนนเนื่อง,จึ่งชวนสองหน่อไทเข้าในเมือง,เดินย่างเยื้องขึ้นปราสาทสุวรรณพราย
ที่แท่นรัตน์ปัจถรณ์เขนยข้าง,เครื่องสำอางวางเรียงเคียงไสว,ด้วยฤทธิ์ยักษ์หากเห็นให้เป็นไป,พระหน่อไทสององค์ไม่สงกา
อสุรีเชิญองค์พระทรงฤทธิ์,ขึ้นสถิตแท่นสุวรรณอันเลขา,ทำฉะอ้อนวอนสองกุมารา,เสน่หาพูนเพิ่มเติมอารมณ์
แสนสงสารสุดสวาทอนาถเหนื่อย,ก็หลับเรื่อยไปแต่แรกยามปฐม,อสุรียิ่งทวีสวาทชม,เห็นสององค์ลงบรรทมสนิทใน
