wak,syllables,flag,guess,a,b,c
เขามีคุณควรจะให้ธิดาสนอง,10,10 syllables — likely shatter/miscount,เขามีคุณควรจะให้ธิดาสนอง,,,
ไว้เป็นสัมพันธมิตรข้าคิดตรอง,9,4-syllable word not at วรรค edge,ไว้เป็นสัมพันธมิตรข้าคิดตรอง,,,
นามสมญาอภัยนุสินนรินทร,11,11 syllables — likely shatter/miscount,นามสมญาอภัยนุสินนรินทร,,,
แต่ลูกรักนามประภาสุดาสมร,10,10 syllables — likely shatter/miscount,แต่ลูกรักนามประภาสุดาสมร,,,
เมื่อภิเษกบังอรยังได้ไป,9,word straddles a beat boundary,เมื่อภิเษก | บังอร | ยังได้ไป,,,
ฟังนางกษัตริย์ทูลแจ้งแถลงไข,9,word straddles a beat boundary,ฟังนางกษัตริย์ | ทูลแจ้ง | แถลงไข,,,
ด้วยมารดรท้าวอภัยอยู่ในวัง,10,10 syllables — likely shatter/miscount,ด้วยมารดรท้าวอภัยอยู่ในวัง,,,
แต่หาหมอรักษาวางยาหยูก,10,10 syllables — likely shatter/miscount,แต่หาหมอรักษาวางยาหยูก,,,
พระอัยกีนางประภาป่วยมานาน,10,10 syllables — likely shatter/miscount,พระอัยกีนางประภาป่วยมานาน,,,
แล้วก้มเกล้ากรุงกษัตริย์ราชหงส์,8,word straddles a beat boundary,แล้วก้มเกล้า | กรุงกษัตริย์ | ราชหงส์,,,
คิดจะให้หน่อนราพ่อราเมศ,10,10 syllables — likely shatter/miscount,คิดจะให้หน่อนราพ่อราเมศ,,,
ฝ่ายนิกรมพรหเมศประจักษ์แจ้ง,10,10 syllables — likely shatter/miscount,ฝ่ายนิกรมพรหเมศประจักษ์แจ้ง,,,
แม้นได้อาวุธสำหรับกลับเป็นไทย,10,10 syllables — likely shatter/miscount,แม้นได้อาวุธสำหรับกลับเป็นไทย,,,
คงสมการฝ่าละอองต้องประสงค์,10,10 syllables — likely shatter/miscount,คงสมการฝ่าละอองต้องประสงค์,,,
พระราเมศสุริย์วงศ์ทรงสดับ,10,10 syllables — likely shatter/miscount,พระราเมศสุริย์วงศ์ทรงสดับ,,,
ไประงับแต่พอหายสวายสวิง,10,10 syllables — likely shatter/miscount,ไประงับแต่พอหายสวายสวิง,,,
พลางเอนเอกเขนกนอนเหนือหมอนอิง,10,10 syllables — likely shatter/miscount,พลางเอนเอกเขนกนอนเหนือหมอนอิง,,,
ขัดสีเรือพระที่นั่งบัลลังก์หงส์,9,4-syllable word not at วรรค edge,ขัดสีเรือพระที่นั่งบัลลังก์หงส์,,,
จัดห้องหับที่สำหรับอนงค์สนม,10,10 syllables — likely shatter/miscount,จัดห้องหับที่สำหรับอนงค์สนม,,,
กว่าบิดรจะกลับมายังธานี,11,11 syllables — likely shatter/miscount,กว่าบิดรจะกลับมายังธานี,,,
มเหสีนักสนมกรมใน,8,word straddles a beat boundary,มเหสี | นักสนม | กรมใน,,,
จากนิเวศน์เสด็จไปท่าชลาไหล,10,10 syllables — likely shatter/miscount,จากนิเวศน์เสด็จไปท่าชลาไหล,,,
ฉนากฉลามตามกันเที่ยวสัญจร,9,word straddles a beat boundary,ฉนากฉลาม | ตามกัน | เที่ยวสัญจร,,,
ทูลราชาดีพระทัยใครจะเหมือน,10,10 syllables — likely shatter/miscount,ทูลราชาดีพระทัยใครจะเหมือน,,,
ละม้ายเหมือนเทวดาทั้งยาดี,10,10 syllables — likely shatter/miscount,ละม้ายเหมือนเทวดาทั้งยาดี,,,
ให้แต่งราชรถทองละอองศรี,9,word straddles a beat boundary,ให้แต่งราชรถ | ทอง | ละอองศรี,,,
ไปรับเสด็จเชษฐาอย่าช้าที,9,word straddles a beat boundary,ไปรับเสด็จ | เชษฐา | อย่าช้าที,,,
พร้อมทั้งบรรดาคนพลพาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พร้อมทั้งบรร | ดาคน | พลพาย,,,
เสนาในขึ้นบังคมประนมถวาย,10,10 syllables — likely shatter/miscount,เสนาในขึ้นบังคมประนมถวาย,,,
พระอนุชากราบถวายบังคมมา,10,10 syllables — likely shatter/miscount,พระอนุชากราบถวายบังคมมา,,,
พลางตรัสชวนราเมศพระหลานรัก,10,10 syllables — likely shatter/miscount,พลางตรัสชวนราเมศพระหลานรัก,,,
กับองค์อัครชายามารศรี,9,4-syllable word not at วรรค edge,กับองค์อัครชายามารศรี,,,
พลพายแซ่ซ้องก้องกังวาน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลพายแซ่ | ซ้องก้อง | กังวาน,,,
เป็นกลุ่มกลุ่มรถรัตน์อัสดร,10,10 syllables — likely shatter/miscount,เป็นกลุ่มกลุ่มรถรัตน์อัสดร,,,
ฝ่ายพระจอมภพไกรอภัยนุสิน,9,word straddles a beat boundary,ฝ่ายพระจอม | ภพไกรอภัย | นุสิน,,,
เสด็จลีลาศทรงรถาทั้งมารศรี,11,11 syllables — likely shatter/miscount,เสด็จลีลาศทรงรถาทั้งมารศรี,,,
พระราเมศกษัตราทรงพาชี,10,10 syllables — likely shatter/miscount,พระราเมศกษัตราทรงพาชี,,,
ฝ่ายนิกรมพรหเมศแกขึ้นแคร่,10,10 syllables — likely shatter/miscount,ฝ่ายนิกรมพรหเมศแกขึ้นแคร่,,,
ด้วยว่าแก่เดินไม่ไหวจะผายผัน,10,10 syllables — likely shatter/miscount,ด้วยว่าแก่เดินไม่ไหวจะผายผัน,,,
พลหอกถือหอกออกสะพรั่ง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลหอกถือ | หอกออก | สะพรั่ง,,,
กษัตริยเจ้านครามาข้างหลัง,10,10 syllables — likely shatter/miscount,กษัตริยเจ้านครามาข้างหลัง,,,
พร้อมสะพรั่งเสวกาจากท่ากระสินธุ์,11,11 syllables — likely shatter/miscount,พร้อมสะพรั่งเสวกาจากท่ากระสินธุ์,,,
เชิญภูมินทร์เสด็จเข้าวังขึ้นปรางค์ทอง,10,10 syllables — likely shatter/miscount,เชิญภูมินทร์เสด็จเข้าวังขึ้นปรางค์ทอง,,,
เดชะบุญก็จะถูกกินหยูกยา,10,10 syllables — likely shatter/miscount,เดชะบุญก็จะถูกกินหยูกยา,,,
ในเจ็ดวันคงหายเหมือนหมายมาด,9,word straddles a beat boundary,ในเจ็ดวัน | คงหายเหมือน | หมายมาด,,,
แล้วจะต้องให้เสวยทั้งเนยนม,10,10 syllables — likely shatter/miscount,แล้วจะต้องให้เสวยทั้งเนยนม,,,
เอาราเมศหน่อกษัตริย์พระนัดดา,10,10 syllables — likely shatter/miscount,เอาราเมศหน่อกษัตริย์พระนัดดา,,,
