wak,syllables,flag,guess,a,b,c
คิดเอาไปช่วยเต้นเหมือนเล่นโขน,9,word straddles a beat boundary,คิดเอาไป | ช่วยเต้นเหมือน | เล่นโขน,,,
แกตรองตรึกนึกเห็นเหมือนเล่นเบี้ย,9,word straddles a beat boundary,แกตรองตรึก | นึกเห็นเหมือน | เล่นเบี้ย,,,
จะนิ่งอยู่กับเมียเหมือนเหี้ยดง,9,word straddles a beat boundary,จะนิ่งอยู่ | กับเมียเหมือน | เหี้ยดง,,,
นางทูลองค์ภูวเรศพระเชษฐา,10,10 syllables — likely shatter/miscount,นางทูลองค์ภูวเรศพระเชษฐา,,,
เวลาจวนสนธยาขอลากลับ,10,10 syllables — likely shatter/miscount,เวลาจวนสนธยาขอลากลับ,,,
ให้มึงหนักใจยิ่งกว่าสิงขร,8,word straddles a beat boundary,ให้มึงหนัก | ใจยิ่งกว่า | สิงขร,,,
บาทหลวงด่าว่ามึงเหมือนอึ่งอ่าง,9,word straddles a beat boundary,บาทหลวงด่า | ว่ามึงเหมือน | อึ่งอ่าง,,,
แม้นมึงพูดไม่เหมือนคำที่ร่ำมา,10,10 syllables — likely shatter/miscount,แม้นมึงพูดไม่เหมือนคำที่ร่ำมา,,,
ที่มีแสงรุ่งโรจน์โชตินา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ที่มีแสง | รุ่งโรจน์ | โชตินา,,,
เหมือนโกมุทบุษบามณฑาทอง,10,10 syllables — likely shatter/miscount,เหมือนโกมุทบุษบามณฑาทอง,,,
เรณูนวลอวลอบตลบกลิ่น,10,10 syllables — likely shatter/miscount,เรณูนวลอวลอบตลบกลิ่น,,,
ฝ่ายโฉมนุชบุษบงอนงค์นาฏ,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมนุชบุษบงอนงค์นาฏ,,,
พยายามกว่าชีวิตจะปลิดปลง,10,10 syllables — likely shatter/miscount,พยายามกว่าชีวิตจะปลิดปลง,,,
เข้าที่สรงสาครขจรขจาย,9,word straddles a beat boundary,เข้าที่สรง | สาครขจร | ขจาย,,,
หอมประทิ่นบุษบงประจงถวาย,10,10 syllables — likely shatter/miscount,หอมประทิ่นบุษบงประจงถวาย,,,
อาจารย์เจ้าแกเหลือเหมือนเสือโคร่ง,9,word straddles a beat boundary,อาจารย์เจ้า | แกเหลือเหมือน | เสือโคร่ง,,,
ฝ่ายไทท้าวเจ้าพาราพ่อตาสนอง,10,10 syllables — likely shatter/miscount,ฝ่ายไทท้าวเจ้าพาราพ่อตาสนอง,,,
ของมารดรลุงตามาแต่หลัง,9,word straddles a beat boundary,ของมารดร | ลุงตา | มาแต่หลัง,,,
มาสอนกูจะให้อยู่ในโอวาท,10,10 syllables — likely shatter/miscount,มาสอนกูจะให้อยู่ในโอวาท,,,
เหมือนยาพิษไม่นิยมจะถ่มเสีย,10,10 syllables — likely shatter/miscount,เหมือนยาพิษไม่นิยมจะถ่มเสีย,,,
มึงหลงเมียเห็นจะเสียพระศาสนา,10,10 syllables — likely shatter/miscount,มึงหลงเมียเห็นจะเสียพระศาสนา,,,
