wak,syllables,flag,guess,a,b,c
มาเคียงบรรจถรณ์บรรทมแล้วชมเชย,10,10 syllables — likely shatter/miscount,มาเคียงบรรจถรณ์บรรทมแล้วชมเชย,,,
ไม่กลัวตายหรือมาค้างอยู่อย่างนี้,10,10 syllables — likely shatter/miscount,ไม่กลัวตายหรือมาค้างอยู่อย่างนี้,,,
จะกลับรักร่วมจังหวัดปัถพี,10,10 syllables — likely shatter/miscount,จะกลับรักร่วมจังหวัดปัถพี,,,
จนล่วงเลยสู่สวรรคครรไล,8,word straddles a beat boundary,จนล่วงเลย | สู่สวรรค | ครรไล,,,
นางนึกนึกแล้วสะอึกสะอื้นอ้อน,9,4-syllable word not at วรรค edge,นางนึกนึกแล้วสะอึกสะอื้นอ้อน,,,
โศรกกำสรดเศร้าสร้อยละห้อยหา,9,word straddles a beat boundary,โศรกกำสรด | เศร้าสร้อย | ละห้อยหา,,,
นางชมเชยชื่นจิตเหมือนธิดา,9,word straddles a beat boundary,นางชมเชย | ชื่นจิตเหมือน | ธิดา,,,
ได้ตลอดกลับไปถึงไอศวรรย์,10,10 syllables — likely shatter/miscount,ได้ตลอดกลับไปถึงไอศวรรย์,,,
ยามกลางวันนั้นจะชมภิรมยา,10,10 syllables — likely shatter/miscount,ยามกลางวันนั้นจะชมภิรมยา,,,
แต่กลิ้งกลับสับสนอยู่คนเดียว,9,word straddles a beat boundary,แต่กลิ้งกลับ | สับสน | อยู่คนเดียว,,,
เป็นของดีกว่าอื่นเอากลืนไว้,8,word straddles a beat boundary,เป็นของดีกว่า | อื่น | เอากลืนไว้,,,
เที่ยวกินเนื้อเสือสีห์เหมือนผีดิบ,9,word straddles a beat boundary,เที่ยวกินเนื้อ | เสือสีห์เหมือน | ผีดิบ,,,
สัตว์จึงสิ้นถิ่นป่ากาลวัน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สัตว์จึงสิ้น | ถิ่นป่า | กาลวัน,,,
เทวฤทธิ์สิทธิศักดิ์ช่วยรักษา,8,word straddles a beat boundary,เทวฤทธิ์สิทธิ | ศักดิ์ | ช่วยรักษา,,,
ด้วยได้กลิ่นเหมือนมนุษย์สุดเสียดาย,10,10 syllables — likely shatter/miscount,ด้วยได้กลิ่นเหมือนมนุษย์สุดเสียดาย,,,
ไม่เขยื้อนเหมือนหนึ่งผีทั้งพี่น้อง,10,10 syllables — likely shatter/miscount,ไม่เขยื้อนเหมือนหนึ่งผีทั้งพี่น้อง,,,
นางเลี้ยวลับหลีกลัดฉวัดเฉวียน,10,10 syllables — likely shatter/miscount,นางเลี้ยวลับหลีกลัดฉวัดเฉวียน,,,
เอาดาบแกว่งแสงสว่างเหมือนอย่างเทียน,10,10 syllables — likely shatter/miscount,เอาดาบแกว่งแสงสว่างเหมือนอย่างเทียน,,,
หกล้มลงนิ่งสลบเหมือนศพตาย,10,10 syllables — likely shatter/miscount,หกล้มลงนิ่งสลบเหมือนศพตาย,,,
บ้างฉุดฉวยเชือกกระหวัดวัดไว้ได้,10,10 syllables — likely shatter/miscount,บ้างฉุดฉวยเชือกกระหวัดวัดไว้ได้,,,
ต่างพิศดูผู้ตายคล้ายคุลา,9,word straddles a beat boundary,ต่างพิศดู | ผู้ตาย | คล้ายคุลา,,,
อุปมาเหมือนจะดิ้นสิ้นชีวิต,10,10 syllables — likely shatter/miscount,อุปมาเหมือนจะดิ้นสิ้นชีวิต,,,
ด้วยลิ้นขัดแข็งกระด้างเหมือนอย่างใบ้,10,10 syllables — likely shatter/miscount,ด้วยลิ้นขัดแข็งกระด้างเหมือนอย่างใบ้,,,
มันบอกว่าข้าชื่ออ้ายย่องตอด,9,word straddles a beat boundary,มันบอกว่า | ข้าชื่อ | อ้ายย่องตอด,,,
เป็นศิษย์ท่านเทวดาวราฤทธิ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เป็นศิษย์ท่าน | เทวดาว | ราฤทธิ์,,,
มันจะไปเป็นข้าเหมือนพาชี,9,word straddles a beat boundary,มันจะไป | เป็นข้าเหมือน | พาชี,,,
จะหาไหนได้เหมือนมันประจัญบาน,10,10 syllables — likely shatter/miscount,จะหาไหนได้เหมือนมันประจัญบาน,,,
เหมือนให้แลเห็นทางสว่างไสว,10,10 syllables — likely shatter/miscount,เหมือนให้แลเห็นทางสว่างไสว,,,
เสียงครึกครึ้นตื่นแตกต้องแยกย้าย,10,10 syllables — likely shatter/miscount,เสียงครึกครึ้นตื่นแตกต้องแยกย้าย,,,
กลัวพวกผีมันจะกลับมาจับคน,11,11 syllables — likely shatter/miscount,กลัวพวกผีมันจะกลับมาจับคน,,,
จะบัตรพลีเทวดารักษาศาล,10,10 syllables — likely shatter/miscount,จะบัตรพลีเทวดารักษาศาล,,,
