wak,syllables,flag,guess,a,b,c
จะกล่าวถึงอนุชานิทราสนิท,10,10 syllables — likely shatter/miscount,จะกล่าวถึงอนุชานิทราสนิท,,,
หรือภูวนาถนึกอางขนางหนี,9,word straddles a beat boundary,หรือภูวนาถ | นึกอาง | ขนางหนี,,,
วรพักตร์ผุดผ่องก็หมองศรี,7,"7 syllables — ambiguous, [3,2,2] is only a guess",วรพักตร์ผุด | ผ่องก็ | หมองศรี,,,
พระคุณล้นล้ำลบภพไตร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระคุณล้น | ล้ำลบ | ภพไตร,,,
เขาอุปถัมภ์ค้ำชูอยู่สบาย,8,word straddles a beat boundary,เขาอุปถัมภ์ค้ำชู | อยู่ | สบาย,,,
สิขรินเกาะแก่งทุกแห่งหน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สิขรินเกาะ | แก่งทุก | แห่งหน,,,
ฉนากฉลามตามคลื่นอยู่คลาคล่ำ,9,word straddles a beat boundary,ฉนากฉลาม | ตามคลื่น | อยู่คลาคล่ำ,,,
พิศเพี้ยนสีเคลือบเมื่อเหลือบแล,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พิศเพี้ยนสี | เคลือบเมื่อ | เหลือบแล,,,
กับพูดจานั้นไม่เป็นเหมือนเช่นเรา,10,10 syllables — likely shatter/miscount,กับพูดจานั้นไม่เป็นเหมือนเช่นเรา,,,
ไม่พานพบเชษฐาเหมือนอารมณ์,9,word straddles a beat boundary,ไม่พานพบ | เชษฐาเหมือน | อารมณ์,,,
เป็นบุพเพสันนิวาสพาสนา,9,4-syllable word not at วรรค edge,เป็นบุพเพสันนิวาสพาสนา,,,
เจ้าเชื้อพราหมณ์พรหเมศประเทศไหน,10,10 syllables — likely shatter/miscount,เจ้าเชื้อพราหมณ์พรหเมศประเทศไหน,,,
อยู่บ้านคามวาสีล้วนพี่น้อง,9,4-syllable word not at วรรค edge,อยู่บ้านคามวาสีล้วนพี่น้อง,,,
เที่ยวแล่นอยู่กลางทะเลระเหระหน,10,10 syllables — likely shatter/miscount,เที่ยวแล่นอยู่กลางทะเลระเหระหน,,,
อันพระองค์ผู้ดำรงอาณาราษฎร์,11,11 syllables — likely shatter/miscount,อันพระองค์ผู้ดำรงอาณาราษฎร์,,,
นามพระบาทท้าวทศวงศา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นามพระบาท | ท้าวทศ | วงศา,,,
มีโฉมยงองค์ราชธิดา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มีโฉมยง | องค์ราช | ธิดา,,,
เป็นเมืองใหญ่กว่ากษัตริย์ขัตติย์วงศ์,10,10 syllables — likely shatter/miscount,เป็นเมืองใหญ่กว่ากษัตริย์ขัตติย์วงศ์,,,
ไม่มีสิ่งใดให้เหมือนใจหมาย,9,word straddles a beat boundary,ไม่มีสิ่ง | ใดให้เหมือน | ใจหมาย,,,
แล้วหยิบย่ามใส่บ่าละล้าละลัง,10,10 syllables — likely shatter/miscount,แล้วหยิบย่ามใส่บ่าละล้าละลัง,,,
ครั้นสุริเยศบ่ายคล้อยก็คอยหา,9,word straddles a beat boundary,ครั้นสุริเยศ | บ่ายคล้อย | ก็คอยหา,,,
เขาบอกว่าข้าเห็นไปตามพราหมณ์,9,word straddles a beat boundary,เขาบอกว่า | ข้าเห็น | ไปตามพราหมณ์,,,
จะคิดกลัวเกรงใครก็ไม่มี,9,word straddles a beat boundary,จะคิดกลัว | เกรงใคร | ก็ไม่มี,,,
จะด่าว่าสักเท่าไรก็ไม่กลัว,10,10 syllables — likely shatter/miscount,จะด่าว่าสักเท่าไรก็ไม่กลัว,,,
มันยกยอกันว่าเหมาะเพราะเป็นผัว,10,10 syllables — likely shatter/miscount,มันยกยอกันว่าเหมาะเพราะเป็นผัว,,,
ได้ตัวมาแล้วจะโปรดประการใด,10,10 syllables — likely shatter/miscount,ได้ตัวมาแล้วจะโปรดประการใด,,,
ธุระอะไรหนอจึงมาถึงธานี,10,10 syllables — likely shatter/miscount,ธุระอะไรหนอจึงมาถึงธานี,,,
ให้พราหมณ์น้อยไปสำนักอยู่สวนขวัญ,11,11 syllables — likely shatter/miscount,ให้พราหมณ์น้อยไปสำนักอยู่สวนขวัญ,,,
ไปส่งให้สองเฒ่าที่เฝ้าสวน,10,10 syllables — likely shatter/miscount,ไปส่งให้สองเฒ่าที่เฝ้าสวน,,,
เห็นโง่เง่าแล้วจะจับไปปรับหมาย,10,10 syllables — likely shatter/miscount,เห็นโง่เง่าแล้วจะจับไปปรับหมาย,,,
ถึงตำบลสองเฒ่าเฝ้าสวนขวัญ,10,10 syllables — likely shatter/miscount,ถึงตำบลสองเฒ่าเฝ้าสวนขวัญ,,,
คงหนีหน้าแล้วจะไล่ที่ไหนทัน,10,10 syllables — likely shatter/miscount,คงหนีหน้าแล้วจะไล่ที่ไหนทัน,,,
อันโทษทัณฑ์สิ่งใดก็ไม่มี,9,word straddles a beat boundary,อันโทษทัณฑ์ | สิ่งใด | ก็ไม่มี,,,
แค้นผู้หญิงมันยังกลับบังคับได้,10,10 syllables — likely shatter/miscount,แค้นผู้หญิงมันยังกลับบังคับได้,,,
เขาบอกชื่อเสียงให้เหมือนใจหวัง,9,word straddles a beat boundary,เขาบอกชื่อ | เสียงให้เหมือน | ใจหวัง,,,
ผลบุญช่วยชักสมัครสมาน,8,word straddles a beat boundary,ผลบุญช่วย | ชักสมัคร | สมาน,,,
ถึงขอเฝ้าเขาไปจับให้อัประมาณ,10,10 syllables — likely shatter/miscount,ถึงขอเฝ้าเขาไปจับให้อัประมาณ,,,
พี่นี้เห็นเป็นกลมารยา,9,word straddles a beat boundary,พี่นี้เห็น | เป็นกลมารยา,,,
ถ้าแม้นเหมือนหมายมุ่งก็พรุ่งนี้,9,word straddles a beat boundary,ถ้าแม้นเหมือน | หมายมุ่ง | ก็พรุ่งนี้,,,
จึงว่าถึงนางฟ้ามาให้ชม,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จึงว่าถึง | นางฟ้ามา | ให้ชม,,,
นอนอยู่เหนือเสื่อลาดขาดระคาย,9,word straddles a beat boundary,นอนอยู่เหนือ | เสื่อลาด | ขาดระคาย,,,
จึงว่าพี่นี้ผิดกว่าทุกวัน,9,word straddles a beat boundary,จึงว่าพี่ | นี้ผิดกว่า | ทุกวัน,,,
ประภาวดีพี่เลี้ยงฉลาดแก้,9,word straddles a beat boundary,ประภาวดี | พี่เลี้ยง | ฉลาดแก้,,,
บุรุษใดในภพโลกา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",บุรุษใด | ในภพ | โลกา,,,
จงกลนีพี่เลี้ยงฉลาดเฉลย,10,10 syllables — likely shatter/miscount,จงกลนีพี่เลี้ยงฉลาดเฉลย,,,
อันชาติชายเหมือนกระต่ายที่ต่ำชาติ,10,10 syllables — likely shatter/miscount,อันชาติชายเหมือนกระต่ายที่ต่ำชาติ,,,
