wak,syllables,flag,guess,a,b,c
ไปเดี๋ยวนี้ให้กองทัพแล้วกลับมา,10,10 syllables — likely shatter/miscount,ไปเดี๋ยวนี้ให้กองทัพแล้วกลับมา,,,
แม้นรักตัวกลัวชีวิตที่ผิดไป,10,10 syllables — likely shatter/miscount,แม้นรักตัวกลัวชีวิตที่ผิดไป,,,
จงกลับใจเสียอย่าดื้ออย่าถือตัว,10,10 syllables — likely shatter/miscount,จงกลับใจเสียอย่าดื้ออย่าถือตัว,,,
เราตั้งแข็งไว้อย่ากลัวช่างหัวมัน,10,10 syllables — likely shatter/miscount,เราตั้งแข็งไว้อย่ากลัวช่างหัวมัน,,,
คือพระจอมนครินทร์รมจักร,8,word straddles a beat boundary,คือพระจอม | นครินทร์ | รมจักร,,,
พระลูกรักในประยูรสกูลหงส์,10,10 syllables — likely shatter/miscount,พระลูกรักในประยูรสกูลหงส์,,,
จึ่งตรัสชมว่าท่านครูเหมือนรู้ใน,10,10 syllables — likely shatter/miscount,จึ่งตรัสชมว่าท่านครูเหมือนรู้ใน,,,
พลง้าวหลาวโล่โตมรา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลง้าวหลาว | โล่โต | มรา,,,
จับที่เพลาเสากระโดงแล้วส่งเสียง,10,10 syllables — likely shatter/miscount,จับที่เพลาเสากระโดงแล้วส่งเสียง,,,
พอเหลือบเห็นสกุณินบินมาจับ,10,10 syllables — likely shatter/miscount,พอเหลือบเห็นสกุณินบินมาจับ,,,
ฟังกิตติศัพท์หลากพระทัยตรัสไต่ถาม,10,10 syllables — likely shatter/miscount,ฟังกิตติศัพท์หลากพระทัยตรัสไต่ถาม,,,
สกุณินมิได้บินไปจากที่,10,10 syllables — likely shatter/miscount,สกุณินมิได้บินไปจากที่,,,
เห็นเสนีเดินผงกนกยกหัว,9,word straddles a beat boundary,เห็นเสนี | เดินผงกนก | ยกหัว,,,
พระคุณนั้นเหลือลบภพไตร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระคุณนั้น | เหลือลบ | ภพไตร,,,
เองแปลงกายให้เหมือนคนกำพลเพชร,10,10 syllables — likely shatter/miscount,เองแปลงกายให้เหมือนคนกำพลเพชร,,,
ฝ่ายตำมะหงงเสนาที่กล้าหาญ,10,10 syllables — likely shatter/miscount,ฝ่ายตำมะหงงเสนาที่กล้าหาญ,,,
ให้แปลงตัวเสียเหมือนเหล่าชาวบุรินทร์,10,10 syllables — likely shatter/miscount,ให้แปลงตัวเสียเหมือนเหล่าชาวบุรินทร์,,,
เห็นจัตุรงค์คุมเสบียงเดินเรียงราย,10,10 syllables — likely shatter/miscount,เห็นจัตุรงค์คุมเสบียงเดินเรียงราย,,,
เข้าฟันฝ่าตัดหลังเหมือนอย่างหมาย,9,word straddles a beat boundary,เข้าฟันฝ่า | ตัดหลังเหมือน | อย่างหมาย,,,
เสนารองนายทัพกลับเข้าวัง,9,word straddles a beat boundary,เสนารอง | นายทัพกลับ | เข้าวัง,,,
กันเข้าหาแม่ทัพเหมือนดับไฟ,9,word straddles a beat boundary,กันเข้าหา | แม่ทัพเหมือน | ดับไฟ,,,
ให้มาตีเอาให้ได้ดั่งใจประสงค์,10,10 syllables — likely shatter/miscount,ให้มาตีเอาให้ได้ดั่งใจประสงค์,,,
ขออาสากว่าชีวิตจะม้วยมรณ์,10,10 syllables — likely shatter/miscount,ขออาสากว่าชีวิตจะม้วยมรณ์,,,
ฝ่ายสี่นายกราบถวายบังคมเสร็จ,9,4-syllable word not at วรรค edge,ฝ่ายสี่นายกราบถวายบังคมเสร็จ,,,
ก็พากันแตกยับอัปรา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ก็พากัน | แตกยับ | อัปรา,,,
ต่อมันเลิกกองทัพกลับพารา,9,word straddles a beat boundary,ต่อมันเลิก | กองทัพกลับ | พารา,,,
เหมือนหนอนเกิดขึ้นในไส้ไม่ประสงค์,10,10 syllables — likely shatter/miscount,เหมือนหนอนเกิดขึ้นในไส้ไม่ประสงค์,,,
ว่าแล้วตรงกลับเข้าไปในที่นอน,10,10 syllables — likely shatter/miscount,ว่าแล้วตรงกลับเข้าไปในที่นอน,,,
ราษฎรก็เป็นธรรม์เหมือนมั่นหมาย,10,10 syllables — likely shatter/miscount,ราษฎรก็เป็นธรรม์เหมือนมั่นหมาย,,,
การอุบายมันก็มากเหมือนทากปลิง,10,10 syllables — likely shatter/miscount,การอุบายมันก็มากเหมือนทากปลิง,,,
บาทหลวงหลอกว่ากระไรไม่ระอา,10,10 syllables — likely shatter/miscount,บาทหลวงหลอกว่ากระไรไม่ระอา,,,
ไปหาสุขจะเต้นเหมือนเล่นโขน,9,word straddles a beat boundary,ไปหาสุข | จะเต้นเหมือน | เล่นโขน,,,
เห็นถูกต้องตามตำหรับแล้วกลับไป,10,10 syllables — likely shatter/miscount,เห็นถูกต้องตามตำหรับแล้วกลับไป,,,
ไล่กระโจมเข้าในค่ายเหมือนใจหมาย,10,10 syllables — likely shatter/miscount,ไล่กระโจมเข้าในค่ายเหมือนใจหมาย,,,
ไปตั้งรับทั้งข้างใต้และฝ่ายเหนือ,10,10 syllables — likely shatter/miscount,ไปตั้งรับทั้งข้างใต้และฝ่ายเหนือ,,,
แกสั่งเสร็จกลับเข้าไปที่ในห้อง,10,10 syllables — likely shatter/miscount,แกสั่งเสร็จกลับเข้าไปที่ในห้อง,,,
