wak,syllables,flag,guess,a,b,c
จะกลับกล่าวเจ้าประเทศทุกเขตแคว้น,10,10 syllables — likely shatter/miscount,จะกลับกล่าวเจ้าประเทศทุกเขตแคว้น,,,
มาถึงแดนสิงหลภาษา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มาถึงแดน | สิงหล | ภาษา,,,
เมืองมะหิมสิมพลเมืองสลัด,9,word straddles a beat boundary,เมืองมะหิม | สิมพลเมือง | สลัด,,,
เมืองจักระหวัดเมืองมัชะเมืองสมัน,10,10 syllables — likely shatter/miscount,เมืองจักระหวัดเมืองมัชะเมืองสมัน,,,
เมืองระตินเมืองจินตะเมืองประจันต์,10,10 syllables — likely shatter/miscount,เมืองระตินเมืองจินตะเมืองประจันต์,,,
ให้สินสมุทรสุดสาครพระหัสไชย,10,10 syllables — likely shatter/miscount,ให้สินสมุทรสุดสาครพระหัสไชย,,,
ฝ่ายข้างในนางสุลารำภาผกา,10,10 syllables — likely shatter/miscount,ฝ่ายข้างในนางสุลารำภาผกา,,,
ออกประตูบูรพานำหน้าทหาร,10,10 syllables — likely shatter/miscount,ออกประตูบูรพานำหน้าทหาร,,,
ข้างเหนือนั้นควันโขมงพลุ่งโพลงเพลิง,10,10 syllables — likely shatter/miscount,ข้างเหนือนั้นควันโขมงพลุ่งโพลงเพลิง,,,
บาทหลวงแม่เลี้ยงทั้งมังคลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",บาทหลวงแม่ | เลี้ยงทั้ง | มังคลา,,,
อาวุธวิเศษเวทวิชาล้วนกล้าหาญ,10,10 syllables — likely shatter/miscount,อาวุธวิเศษเวทวิชาล้วนกล้าหาญ,,,
พวกนายหมวดตรวจพหลพลรบ,8,word straddles a beat boundary,พวกนายหมวด | ตรวจพหล | พลรบ,,,
บ้างรอนรันฟันทวารสะท้านสะทึก,10,10 syllables — likely shatter/miscount,บ้างรอนรันฟันทวารสะท้านสะทึก,,,
แต่พวกเกาะเงาะงวงเหมือนหลวงเถร,9,word straddles a beat boundary,แต่พวกเกาะ | เงาะงวงเหมือน | หลวงเถร,,,
นางกฤษณาเมียสหายที่วายชนม์,10,10 syllables — likely shatter/miscount,นางกฤษณาเมียสหายที่วายชนม์,,,
เอาอาวุธที่ผู้นั้นเหมือนมั่นหมาย,10,10 syllables — likely shatter/miscount,เอาอาวุธที่ผู้นั้นเหมือนมั่นหมาย,,,
หยิบดินมาเคล้าขยำกับน้ำตาล,10,10 syllables — likely shatter/miscount,หยิบดินมาเคล้าขยำกับน้ำตาล,,,
จะตกหลุ่มขุมนรกอเวจี,10,10 syllables — likely shatter/miscount,จะตกหลุ่มขุมนรกอเวจี,,,
พูดโสโครกโหยกเหยกเกกเกเร,10,10 syllables — likely shatter/miscount,พูดโสโครกโหยกเหยกเกกเกเร,,,
เป็นท้องมารเหมือนมีท้องต้องรักษา,10,10 syllables — likely shatter/miscount,เป็นท้องมารเหมือนมีท้องต้องรักษา,,,
ยังขึ้นเสียงเถียงทะเลาะชะเหมาะเหมง,11,11 syllables — likely shatter/miscount,ยังขึ้นเสียงเถียงทะเลาะชะเหมาะเหมง,,,
มิกลัวกรรมรำมะก้าจ้าจองหอง,10,10 syllables — likely shatter/miscount,มิกลัวกรรมรำมะก้าจ้าจองหอง,,,
เหลือแต่ที่ทัพพระมังคลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เหลือแต่ที่ | ทัพพระ | มังคลา,,,
