wak,syllables,flag,guess,a,b,c
เสียหน่อนาถนึกหมายเหมือนทายฝัน,9,word straddles a beat boundary,เสียหน่อนาถ | นึกหมายเหมือน | ทายฝัน,,,
จึงแจ้งความสามนางเหมือนอย่างนึก,9,word straddles a beat boundary,จึงแจ้งความ | สามนางเหมือน | อย่างนึก,,,
มีแต่หลอกลวงกูไม่รู้ถึง,8,word straddles a beat boundary,มีแต่หลอกลวง | กู | ไม่รู้ถึง,,,
เมียเขาหึงโรมโรมเหมือนโหมโรง,9,word straddles a beat boundary,เมียเขาหึง | โรมโรมเหมือน | โหมโรง,,,
ไม่โป้ปดตอแหลเหมือนแต่หลัง,9,word straddles a beat boundary,ไม่โป้ปด | ตอแหลเหมือน | แต่หลัง,,,
กูเป็นพระละชีวิตไม่คิดกลัว,10,10 syllables — likely shatter/miscount,กูเป็นพระละชีวิตไม่คิดกลัว,,,
อันร่างเหมือนเรือนโรครับโศกสุข,9,word straddles a beat boundary,อันร่างเหมือน | เรือนโร | ครับโศกสุข,,,
แล้วหยิบธงลงอักษรที่ซ่อนไว้,10,10 syllables — likely shatter/miscount,แล้วหยิบธงลงอักษรที่ซ่อนไว้,,,
จึงอ่านตามปริศนาว่าอย่าทำ,10,10 syllables — likely shatter/miscount,จึงอ่านตามปริศนาว่าอย่าทำ,,,
ประจุเสกล้างเล่ห์เสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ประจุเสก | ล้างเล่ห์ | เสนหา,,,
เห็นจะมากับกษัตริย์หัสไชย,8,word straddles a beat boundary,เห็นจะมา | กับกษัตริย์ | หัสไชย,,,
ทั้งปริศนาว่าเหน็บให้เจ็บใจ,10,10 syllables — likely shatter/miscount,ทั้งปริศนาว่าเหน็บให้เจ็บใจ,,,
มีผัวเหมือนเดือนหงายสบายใจ,9,word straddles a beat boundary,มีผัวเหมือน | เดือนหงาย | สบายใจ,,,
ทั้งแค้นคำค่อนคิดเป็นปริศนา,10,10 syllables — likely shatter/miscount,ทั้งแค้นคำค่อนคิดเป็นปริศนา,,,
เจ้าคุณด่าดีใจเหมือนให้พร,9,word straddles a beat boundary,เจ้าคุณด่า | ดีใจเหมือน | ให้พร,,,
เหมือนแต่ก่อนเห็นจะกลับกองทัพไป,11,11 syllables — likely shatter/miscount,เหมือนแต่ก่อนเห็นจะกลับกองทัพไป,,,
เหตุเพราะมึงจึงต้องทำบาปกรรมด้วย,10,10 syllables — likely shatter/miscount,เหตุเพราะมึงจึงต้องทำบาปกรรมด้วย,,,
ให้ผัวกลับมาอีกไม่หลีกหนี,9,word straddles a beat boundary,ให้ผัวกลับ | มาอีก | ไม่หลีกหนี,,,
กับน้ำนมฝิ่นเสกเมฆฉาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กับน้ำนม | ฝิ่นเสก | เมฆฉาย,,,
ให้หอมเนื้อเหลืออดซึ่งรสราค,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้หอมเนื้อ | เหลืออดซึ่ง | รสราค,,,
ค่ำวันนี้อียุพาผกาสุลา,10,10 syllables — likely shatter/miscount,ค่ำวันนี้อียุพาผกาสุลา,,,
จะรักกลับตามมาในราตรี,9,word straddles a beat boundary,จะรักกลับ | ตามมา | ในราตรี,,,
ทำเหมือนเขาอย่าให้ผัวเอาตัวหนี,10,10 syllables — likely shatter/miscount,ทำเหมือนเขาอย่าให้ผัวเอาตัวหนี,,,
เอาไพร่ไว้ใช้เล่นเหมือนเช่นวัว,9,word straddles a beat boundary,เอาไพร่ไว้ | ใช้เล่นเหมือน | เช่นวัว,,,
กลัวสินสมุทรจะไม่ชื่นคิดคืนหลัง,11,11 syllables — likely shatter/miscount,กลัวสินสมุทรจะไม่ชื่นคิดคืนหลัง,,,
สอดสำเนียงระนาดฆ้องหน่องหน่องเหน่ง,11,11 syllables — likely shatter/miscount,สอดสำเนียงระนาดฆ้องหน่องหน่องเหน่ง,,,
นางลีวันนั้นถือกริชไม่คิดกลัว,10,10 syllables — likely shatter/miscount,นางลีวันนั้นถือกริชไม่คิดกลัว,,,
ชิดกับนางเสาวคนธ์บนบรรจถรณ์,10,10 syllables — likely shatter/miscount,ชิดกับนางเสาวคนธ์บนบรรจถรณ์,,,
ทำลายมือเหมือนของผัวตัวขยัน,10,10 syllables — likely shatter/miscount,ทำลายมือเหมือนของผัวตัวขยัน,,,
แล้วลีวันจึงวางข้างเสาวคนธ์,10,10 syllables — likely shatter/miscount,แล้วลีวันจึงวางข้างเสาวคนธ์,,,
เห็นสินสมุทรกับพระมเหสี,9,word straddles a beat boundary,เห็นสินสมุทร | กับพระ | มเหสี,,,
แต่คิดกลัวผัวจะขัดหัทยา,9,word straddles a beat boundary,แต่คิดกลัว | ผัวจะ | ขัดหัทยา,,,
หยิบขยี้ยาใส่ค่อยไหวติง,9,word straddles a beat boundary,หยิบขยี้ | ยาใส่ | ค่อยไหวติง,,,
ไม่หน้าแห้งเหมือนเมื่อผัวจากตัวไป,10,10 syllables — likely shatter/miscount,ไม่หน้าแห้งเหมือนเมื่อผัวจากตัวไป,,,
ทั้งสามนางต่างฟังสรรเสริญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งสามนาง | ต่างฟัง | สรรเสริญ,,,
นางเสาวคนธ์อัดอั้นให้พรั่นจิต,9,word straddles a beat boundary,นางเสาวคนธ์ | อัดอั้น | ให้พรั่นจิต,,,
จงกลับหลังยังนครอย่าวอนวิง,10,10 syllables — likely shatter/miscount,จงกลับหลังยังนครอย่าวอนวิง,,,
นี่เป็นหญิงวิ่งมาเหมือนกาลี,9,word straddles a beat boundary,นี่เป็นหญิง | วิ่งมาเหมือน | กาลี,,,
หรือรักเราเจ้าไม่กลับจะรับเลี้ยง,10,10 syllables — likely shatter/miscount,หรือรักเราเจ้าไม่กลับจะรับเลี้ยง,,,
สำนวนทั้งลายลิขิตน่าพิศวง,10,10 syllables — likely shatter/miscount,สำนวนทั้งลายลิขิตน่าพิศวง,,,
คิดเหมือนพี่ที่กำเนิดร่วมอุทร,10,10 syllables — likely shatter/miscount,คิดเหมือนพี่ที่กำเนิดร่วมอุทร,,,
ถึงจะดีก็เหมือนชั่วมัวมลทิน,10,10 syllables — likely shatter/miscount,ถึงจะดีก็เหมือนชั่วมัวมลทิน,,,
พวกสาวศรีพี่เลี้ยงอยู่เคียงข้าง,9,word straddles a beat boundary,พวกสาวศรี | พี่เลี้ยง | อยู่เคียงข้าง,,,
สะอึกสะอื้นอ่อนซบสลบไสล,10,10 syllables — likely shatter/miscount,สะอึกสะอื้นอ่อนซบสลบไสล,,,
ช่วยแก้ไขให้หายเหมือนหมายพึ่ง,9,word straddles a beat boundary,ช่วยแก้ไข | ให้หายเหมือน | หมายพึ่ง,,,
หรือจะกลับไปด้วยหลงงงฉงน,10,10 syllables — likely shatter/miscount,หรือจะกลับไปด้วยหลงงงฉงน,,,
บรรลัยลาญแล้วก็กลับเข้าจับควาย,10,10 syllables — likely shatter/miscount,บรรลัยลาญแล้วก็กลับเข้าจับควาย,,,
มันลอบยิงข้ามหลังคาคาถาสลาย,10,10 syllables — likely shatter/miscount,มันลอบยิงข้ามหลังคาคาถาสลาย,,,
ก็วิตกกลัวจะไม่เหมือนใจหวัง,11,11 syllables — likely shatter/miscount,ก็วิตกกลัวจะไม่เหมือนใจหวัง,,,
มิให้กลับจับจำทำประจาน,9,word straddles a beat boundary,มิให้กลับ | จับจำ | ทำประจาน,,,
คิดบอกป่วยด้วยจะกลับไปพารา,10,10 syllables — likely shatter/miscount,คิดบอกป่วยด้วยจะกลับไปพารา,,,
ฝ่ายโฉมยงองค์ละเวงวัณฬาสมร,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมยงองค์ละเวงวัณฬาสมร,,,
นางพี่น้องสองสุดากับสะหรี,10,10 syllables — likely shatter/miscount,นางพี่น้องสองสุดากับสะหรี,,,
นางหมายแน่ยิงขวับกลับอัสดร,10,10 syllables — likely shatter/miscount,นางหมายแน่ยิงขวับกลับอัสดร,,,
ทะลวงไล่เลี้ยวลัดสกัดสะแกง,9,word straddles a beat boundary,ทะลวงไล่ | เลี้ยวลัดสกัด | สะแกง,,,
ละลานละลนแล่นกลับมาพลับพลา,10,10 syllables — likely shatter/miscount,ละลานละลนแล่นกลับมาพลับพลา,,,
นางลีวันรันทดสลดสลบ,9,word straddles a beat boundary,นางลีวัน | รันทดสลด | สลบ,,,
ให้ยันตังทั้งวิรุญกับกุนตัน,10,10 syllables — likely shatter/miscount,ให้ยันตังทั้งวิรุญกับกุนตัน,,,
ฝ่ายสองนางต่างบังคมประนมสนอง,10,10 syllables — likely shatter/miscount,ฝ่ายสองนางต่างบังคมประนมสนอง,,,
ฝ่ายนงเยาว์เสาวคนธ์อยู่บนตำหนัก,10,10 syllables — likely shatter/miscount,ฝ่ายนงเยาว์เสาวคนธ์อยู่บนตำหนัก,,,
นางเสาวคนธ์เร่งกษัตริย์หัสไชย,9,word straddles a beat boundary,นางเสาวคนธ์ | เร่งกษัตริย์ | หัสไชย,,,
พอเหลียวเห็นหน่อกษัตริย์หัสไชย,8,word straddles a beat boundary,พอเหลียวเห็น | หน่อกษัตริย์ | หัสไชย,,,
ท้าวทศวงศ์องค์อรุณกับอัคเรศ,11,11 syllables — likely shatter/miscount,ท้าวทศวงศ์องค์อรุณกับอัคเรศ,,,
ทั้งแก้วเกษราสุรางค์นางสนม,10,10 syllables — likely shatter/miscount,ทั้งแก้วเกษราสุรางค์นางสนม,,,
ฝรั่งกลุ้มรุมรุกไล่คลุกคลี,9,word straddles a beat boundary,ฝรั่งกลุ้ม | รุมรุก | ไล่คลุกคลี,,,
นางรำภาหาพวกรมจักร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นางรำภา | หาพวก | รมจักร,,,
นางยุพามาที่เสาวคนธ์อยู่,9,word straddles a beat boundary,นางยุพา | มาที่เสาวคนธ์ | อยู่,,,
ไม่หนีถอยรบรับสลับสลอน,9,word straddles a beat boundary,ไม่หนีถอย | รบรับสลับ | สลอน,,,
