wak,syllables,flag,guess,a,b,c
เสวยสวัสดิ์อิ่มเอมเกษมสันต์,9,word straddles a beat boundary,เสวยสวัสดิ์ | อิ่มเอม | เกษมสันต์,,,
คุมโยธาพร้อมถ้วนชนวนเขนง,10,10 syllables — likely shatter/miscount,คุมโยธาพร้อมถ้วนชนวนเขนง,,,
ทั้งมุลนายบอกให้ทั่วตัวพหล,10,10 syllables — likely shatter/miscount,ทั้งมุลนายบอกให้ทั่วตัวพหล,,,
ฝ่ายท่านครูผู้ชำนาญการณรงค์,9,4-syllable word not at วรรค edge,ฝ่ายท่านครูผู้ชำนาญการณรงค์,,,
พลไพร่สิบหมื่นพื้นทหาร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลไพร่สิบ | หมื่นพื้น | ทหาร,,,
เสียบขนนกการเวกภิเษกสวัสดิ์,10,10 syllables — likely shatter/miscount,เสียบขนนกการเวกภิเษกสวัสดิ์,,,
ถวายเครื่องไสยศาสตร์ฉลาดเฉลย,10,10 syllables — likely shatter/miscount,ถวายเครื่องไสยศาสตร์ฉลาดเฉลย,,,
ให้เหยียบไม้ข่มนามเหมือนตามเคย,9,word straddles a beat boundary,ให้เหยียบไม้ | ข่มนามเหมือน | ตามเคย,,,
พระอนุชาทรงพระยาพลายมงคล,10,10 syllables — likely shatter/miscount,พระอนุชาทรงพระยาพลายมงคล,,,
เสลาสล้างกร่างไกรทั้งใครเครือ,9,word straddles a beat boundary,เสลาสล้าง | กร่างไกร | ทั้งใครเครือ,,,
กระแบกกระเบาเหล่าชะโอนใบโกร๋นเกรียน,10,10 syllables — likely shatter/miscount,กระแบกกระเบาเหล่าชะโอนใบโกร๋นเกรียน,,,
สาลิกาโกกิลาจร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สาลิกา | โกกิ | ลาจร,,,
กระแวนกระเหว่าโนรีสีสลัว,10,10 syllables — likely shatter/miscount,กระแวนกระเหว่าโนรีสีสลัว,,,
พระชมพลางทางเร่งพยุหทัพ,9,word straddles a beat boundary,พระชมพลาง | ทางเร่งพยุห | ทัพ,,,
แล้วชวนกันฉุดลากกระชากมา,9,word straddles a beat boundary,แล้วชวนกัน | ฉุดลากกระชาก | มา,,,
พระสั่งให้ไล่ขับกลับไปบอก,9,word straddles a beat boundary,พระสั่งให้ | ไล่ขับกลับ | ไปบอก,,,
ต่างทูลลากลับไปแจ้งแถลงไข,10,10 syllables — likely shatter/miscount,ต่างทูลลากลับไปแจ้งแถลงไข,,,
ต่างฮึกฮักอิศโรจิตโอหัง,10,10 syllables — likely shatter/miscount,ต่างฮึกฮักอิศโรจิตโอหัง,,,
จะชำแหละผ่าดูจิตที่ริษยา,10,10 syllables — likely shatter/miscount,จะชำแหละผ่าดูจิตที่ริษยา,,,
เห็นจะเหืลอกำลังทั้งพหล,10,10 syllables — likely shatter/miscount,เห็นจะเหืลอกำลังทั้งพหล,,,
ท้าวเสี่ยงสัตย์อธิษฐานการกุศล,10,10 syllables — likely shatter/miscount,ท้าวเสี่ยงสัตย์อธิษฐานการกุศล,,,
จึงตรัสกับพรหเมศท่านครูใหญ่,10,10 syllables — likely shatter/miscount,จึงตรัสกับพรหเมศท่านครูใหญ่,,,
