wak,syllables,flag,guess,a,b,c
พระนางนาฏนามปทุมเกสร,8,word straddles a beat boundary,พระนางนาฏ | นามปทุม | เกสร,,,
ประไพพักตร์เพียงเทพเลขา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ประไพพักตร์ | เพียงเทพ | เลขา,,,
เนื้อดังทองนพคุณจำรูญศรี,9,4-syllable word not at วรรค edge,เนื้อดังทองนพคุณจำรูญศรี,,,
พระชนนีรักใคร่ดังนัยนา,10,10 syllables — likely shatter/miscount,พระชนนีรักใคร่ดังนัยนา,,,
ย่อมพากเพียรเรียนไสยศาสตร์เวท,8,word straddles a beat boundary,ย่อมพากเพียร | เรียนไสยศาสตร์ | เวท,,,
บัดนั้นพี่น้องสองกษัตริย์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",บัดนั้นพี่ | น้องสอง | กษัตริย์,,,
ก็สมจิตเหมือนลูกคิดทุกคืนวัน,10,10 syllables — likely shatter/miscount,ก็สมจิตเหมือนลูกคิดทุกคืนวัน,,,
จึงชวนกันจรจรัลจากสถาน,10,10 syllables — likely shatter/miscount,จึงชวนกันจรจรัลจากสถาน,,,
พิศเพลินมิ่งไม้ในไพรวัน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พิศเพลินมิ่ง | ไม้ใน | ไพรวัน,,,
แสนชำนาญเลิศลบภพไตร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แสนชำนาญ | เลิศลบ | ภพไตร,,,
วันนั้นพระอภัยมณีศรีสุวรรณ,10,10 syllables — likely shatter/miscount,วันนั้นพระอภัยมณีศรีสุวรรณ,,,
ตรัสพลางย่างเยื้องครรไลไป,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ตรัสพลางย่าง | เยื้องครร | ไลไป,,,
อนุชาว่าการกลศึก,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อนุชา | ว่าการ | กลศึก,,,
อันตัวน้องนี้จะอยู่ด้วยครูกระบอง,10,10 syllables — likely shatter/miscount,อันตัวน้องนี้จะอยู่ด้วยครูกระบอง,,,
ครั้นเสร็จสมปรารถนาไม่ช้าที,10,10 syllables — likely shatter/miscount,ครั้นเสร็จสมปรารถนาไม่ช้าที,,,
ดูแน่งน้อยรูปร่างเหมือนอย่างหุ่น,9,word straddles a beat boundary,ดูแน่งน้อย | รูปร่างเหมือน | อย่างหุ่น,,,
เอาธำมรงค์ทรงนิ้วดัชนี,9,word straddles a beat boundary,เอาธำมรงค์ | ทรงนิ้ว | ดัชนี,,,
จึงคิดอ่านเอาชัยเหมือนใจจง,9,word straddles a beat boundary,จึงคิดอ่าน | เอาชัยเหมือน | ใจจง,,,
ให้ชื่นจิตพระบิดาแลมารดร,10,10 syllables — likely shatter/miscount,ให้ชื่นจิตพระบิดาแลมารดร,,,
แล้วบทจรจากบ้านอาจารย์ตน,9,word straddles a beat boundary,แล้วบทจร | จากบ้าน | อาจารย์ตน,,,
ฝ่ายว่านฤบดีศรีสุวรรณ,9,4-syllable word not at วรรค edge,ฝ่ายว่านฤบดีศรีสุวรรณ,,,
ทั้งธำมรงค์วงนั้นก็คืนให้,9,word straddles a beat boundary,ทั้งธำมรงค์ | วงนั้น | ก็คืนให้,,,
แถลงไขข้อความตามปริศนา,10,10 syllables — likely shatter/miscount,แถลงไขข้อความตามปริศนา,,,
เหมือนอาจารย์คนนั้นที่พรรณนา,10,10 syllables — likely shatter/miscount,เหมือนอาจารย์คนนั้นที่พรรณนา,,,
อัปยศอดสูเสนาใน,8,word straddles a beat boundary,อัปยศอดสู | เส | นาใน,,,
มิทันสั่งอำมาตย์ญาติวงศ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มิทันสั่ง | อำมาตย์ | ญาติวงศ์,,,
ทั้งโภชนาอาหารกันดารครัน,9,word straddles a beat boundary,ทั้งโภชนา | อาหาร | กันดารครัน,,,
มีความรู้อยู่กับตัวกลัวอะไร,10,10 syllables — likely shatter/miscount,มีความรู้อยู่กับตัวกลัวอะไร,,,
กินผลาผลไม้ในดงดอน,8,word straddles a beat boundary,กินผลาผลไม้ | ใน | ดงดอน,,,
ถึงร่มพฤกษาไทรดังใจหวัง,8,word straddles a beat boundary,ถึงร่มพฤกษา | ไทร | ดังใจหวัง,,,
เราชื่ออภัยมณีศรีสุวรรณ,9,word straddles a beat boundary,เราชื่ออภัย | มณี | ศรีสุวรรณ,,,
ดนตรีมีคุณที่ข้อไหน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ดนตรีมี | คุณที่ | ข้อไหน,,,
เข้าพิงพฤกษาไทรดังใจหวัง,8,word straddles a beat boundary,เข้าพิงพฤกษา | ไทร | ดังใจหวัง,,,
จะชื่นใจเหมือนสตรีไม่มีเลย,10,10 syllables — likely shatter/miscount,จะชื่นใจเหมือนสตรีไม่มีเลย,,,
แม้นได้แก้วแล้วจะค่อยประคองเคย,10,10 syllables — likely shatter/miscount,แม้นได้แก้วแล้วจะค่อยประคองเคย,,,
