wak,syllables,flag,a,b,c
ชื่อบุษยาดวงมณีผ่องสีใส,10,10 syllables — likely shatter/miscount,ชื่อบุษยาดวงมณีผ่องสีใส,,
แต่ล้วนวงศ์พวกผู้ดีมีตระกูล,10,10 syllables — likely shatter/miscount,แต่ล้วนวงศ์พวกผู้ดีมีตระกูล,,
มิใช่น้อยล้วนเป็นสุขสนุกสนาน,10,10 syllables — likely shatter/miscount,มิใช่น้อยล้วนเป็นสุขสนุกสนาน,,
จึงแวะเข้าไต่ถามนามกร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จึงแวะเข้า,ไต่ถาม,นามกร
ถึงห้าเดือนเหมือนอย่างว่าใช่ข้าศึก,10,10 syllables — likely shatter/miscount,ถึงห้าเดือนเหมือนอย่างว่าใช่ข้าศึก,,
ทั้งคาวหวานพอได้สมอารมณ์ถวิล,10,10 syllables — likely shatter/miscount,ทั้งคาวหวานพอได้สมอารมณ์ถวิล,,
ประเทศถิ่นนคราเหมือนอาวรณ์,10,10 syllables — likely shatter/miscount,ประเทศถิ่นนคราเหมือนอาวรณ์,,
พวกตระเวนแจ้งกิจจาพากันกลับ,10,10 syllables — likely shatter/miscount,พวกตระเวนแจ้งกิจจาพากันกลับ,,
รีบเข้าไปแจ้งยุบลเหมือนหนหลัง,10,10 syllables — likely shatter/miscount,รีบเข้าไปแจ้งยุบลเหมือนหนหลัง,,
คิดก็น่าเวทนามาแต่ไกล,9,4-syllable word not at วรรค edge,คิดก็น่าเวทนามาแต่ไกล,,
เฝ้าภูวไนยจอมประเทศเขตนคร,10,10 syllables — likely shatter/miscount,เฝ้าภูวไนยจอมประเทศเขตนคร,,
กับรถาลงไปรับประคับประคอง,10,10 syllables — likely shatter/miscount,กับรถาลงไปรับประคับประคอง,,
กับสังฆราชรีบไปรับประคับประคอง,11,11 syllables — likely shatter/miscount,กับสังฆราชรีบไปรับประคับประคอง,,
อย่าให้ข้องเคืองขัดอัธยา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อย่าให้ข้อง,เคืองขัด,อัธยา
ครั้นสุริย์ศรีแจ่มจำรัสประภัสสร,10,10 syllables — likely shatter/miscount,ครั้นสุริย์ศรีแจ่มจำรัสประภัสสร,,
