wak,syllables,flag,guess,a,b,c
เห็นเมฆกลาดกลุ้มวิถีเป็นสีเหลือง,10,10 syllables — likely shatter/miscount,เห็นเมฆกลาดกลุ้มวิถีเป็นสีเหลือง,,,
เป็นควันกลุ้มตูมลั่นสนั่นดัง,9,word straddles a beat boundary,เป็นควันกลุ้ม | ตูมลั่น | สนั่นดัง,,,
อาวุธสั้นเร่งเข้ากลุ้มตะลุมบอน,10,10 syllables — likely shatter/miscount,อาวุธสั้นเร่งเข้ากลุ้มตะลุมบอน,,,
ให้ถอยทัพกลับพหลพลนิกร,10,10 syllables — likely shatter/miscount,ให้ถอยทัพกลับพหลพลนิกร,,,
เราตั้งมั่นกว่าจะสมอารมณ์ประสงค์,11,11 syllables — likely shatter/miscount,เราตั้งมั่นกว่าจะสมอารมณ์ประสงค์,,,
กายสิทธิ์ฤทธิรณทั้งทนคง,10,10 syllables — likely shatter/miscount,กายสิทธิ์ฤทธิรณทั้งทนคง,,,
พอควันกลุ้มต่อต่อยไม่ถอยหนี,9,word straddles a beat boundary,พอควันกลุ้ม | ต่อต่อย | ไม่ถอยหนี,,,
ต้องหาของอ้ายที่ชั่วตัวอัปรีย์,10,10 syllables — likely shatter/miscount,ต้องหาของอ้ายที่ชั่วตัวอัปรีย์,,,
เก็บโหราเท้าสุนัขผักบุ้งขัน,9,4-syllable word not at วรรค edge,เก็บโหราเท้าสุนัขผักบุ้งขัน,,,
แกใคร่ครวญในฉบับตำหรับตำรา,10,10 syllables — likely shatter/miscount,แกใคร่ครวญในฉบับตำหรับตำรา,,,
จึงทูลพระจอมวังมังคลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จึงทูลพระ | จอมวัง | มังคลา,,,
ขออาสาการศึกเหมือนนึกปอง,9,word straddles a beat boundary,ขออาสา | การศึกเหมือน | นึกปอง,,,
แล้วถวายบังคมลาออกมาตรวจ,9,4-syllable word not at วรรค edge,แล้วถวายบังคมลาออกมาตรวจ,,,
ยกเข้ากลุ้มรุมรับทั้งทัพกอง,9,word straddles a beat boundary,ยกเข้ากลุ้ม | รุมรับ | ทั้งทัพกอง,,,
ชาติจระเข้เนรคุณได้วุ่นกัน,10,10 syllables — likely shatter/miscount,ชาติจระเข้เนรคุณได้วุ่นกัน,,,
ครั้นโตใหญ่กลับระยำอ้ายซำสาม,10,10 syllables — likely shatter/miscount,ครั้นโตใหญ่กลับระยำอ้ายซำสาม,,,
กูจะหักก้ามเคี้ยวเหมือนเปี้ยวปู,9,word straddles a beat boundary,กูจะหัก | ก้ามเคี้ยวเหมือน | เปี้ยวปู,,,
แต่ตัวนั้นกระจิ๋วหริวเท่านิ้วมือ,10,10 syllables — likely shatter/miscount,แต่ตัวนั้นกระจิ๋วหริวเท่านิ้วมือ,,,
จะเจื้อยแจ้วสกุณินก็บินปรื๋อ,10,10 syllables — likely shatter/miscount,จะเจื้อยแจ้วสกุณินก็บินปรื๋อ,,,
หรือจะเป็นกายสิทธิ์ฤทธิเวท,10,10 syllables — likely shatter/miscount,หรือจะเป็นกายสิทธิ์ฤทธิเวท,,,
จิกกระชากเอาที่ลิ้นแล้วบินหนี,10,10 syllables — likely shatter/miscount,จิกกระชากเอาที่ลิ้นแล้วบินหนี,,,
ให้เจ็บจิตเหมือนใครเชือดให้เลือดไหล,10,10 syllables — likely shatter/miscount,ให้เจ็บจิตเหมือนใครเชือดให้เลือดไหล,,,
กับท่านครูผู้ประสิทธิ์ฤทธิแรง,10,10 syllables — likely shatter/miscount,กับท่านครูผู้ประสิทธิ์ฤทธิแรง,,,
เหมือนพระองค์ทรงสุบินว่าเกิดไฟ,10,10 syllables — likely shatter/miscount,เหมือนพระองค์ทรงสุบินว่าเกิดไฟ,,,
