wak,syllables,flag,a,b,c
สงสารนางแก้วเกษราธิดาท้าว,10,10 syllables — likely shatter/miscount,สงสารนางแก้วเกษราธิดาท้าว,,
เกี่ยวกระหวัดรัดรอบอุราน้อง,9,word straddles a beat boundary,เกี่ยวกระหวัด,รัดรอบ,อุราน้อง
ครั้นจะแก้กลัวจะโกรธพิโรธฉัน,10,10 syllables — likely shatter/miscount,ครั้นจะแก้กลัวจะโกรธพิโรธฉัน,,
ให้สมความปรารถนาไม่ช้าวัน,9,4-syllable word not at วรรค edge,ให้สมความปรารถนาไม่ช้าวัน,,
ทูลพลางทางพลิกสมุดถวาย,8,word straddles a beat boundary,ทูลพลางทาง,พลิกสมุด,ถวาย
ชวนให้อ่านแต่ตำรับที่อัปรีย์,10,10 syllables — likely shatter/miscount,ชวนให้อ่านแต่ตำรับที่อัปรีย์,,
หาไม่จะว่าเสียให้อายกับสาวศรี,11,11 syllables — likely shatter/miscount,หาไม่จะว่าเสียให้อายกับสาวศรี,,
จะโศกศัลย์อยู่ในสวนรัญจวนใจ,11,11 syllables — likely shatter/miscount,จะโศกศัลย์อยู่ในสวนรัญจวนใจ,,
ตรงไปสวนมาลีด้วยปรีดา,10,10 syllables — likely shatter/miscount,ตรงไปสวนมาลีด้วยปรีดา,,
ตาเอ๋ยคุมออกไปใช้ในสวนขวัญ,11,11 syllables — likely shatter/miscount,ตาเอ๋ยคุมออกไปใช้ในสวนขวัญ,,
ให้ช่วยกันถางหญ้ากว่าจะเย็น,9,word straddles a beat boundary,ให้ช่วยกัน,ถางหญ้ากว่า,จะเย็น
ส่วนตาเฒ่าเหย่าย่างมาข้างสระ,10,10 syllables — likely shatter/miscount,ส่วนตาเฒ่าเหย่าย่างมาข้างสระ,,
ต้องอ้อยอิ่งอดเปรี้ยวไว้กินหวาน,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ต้องอ้อยอิ่ง,อดเปรี้ยวไว้กินหวาน,
ถึงจะชักนางฟ้าลงมาให้,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ถึงจะชัก,นางฟ้าลง,มาให้
ฝ่ายพี่เลี้ยงพระธิดามาถึงสวน,11,11 syllables — likely shatter/miscount,ฝ่ายพี่เลี้ยงพระธิดามาถึงสวน,,
เราทั้งสี่จะเข้าไปข้างในสวน,11,11 syllables — likely shatter/miscount,เราทั้งสี่จะเข้าไปข้างในสวน,,
แล้วเสแสร้งแต่งจริตกระบิดประบวน,10,10 syllables — likely shatter/miscount,แล้วเสแสร้งแต่งจริตกระบิดประบวน,,
พอใกล้สระโกสุมปทุมชาติ,9,word straddles a beat boundary,พอใกล้สระ,โกสุม,ปทุมชาติ
แค้นอ้ายเฒ่าเฝ้าสวนแสนจัญไร,10,10 syllables — likely shatter/miscount,แค้นอ้ายเฒ่าเฝ้าสวนแสนจัญไร,,
อย่าเร้ารบไปเลยน้องไม่ปรารถนา,10,10 syllables — likely shatter/miscount,อย่าเร้ารบไปเลยน้องไม่ปรารถนา,,
จึงตอบความตามธรรมดามา,8,word straddles a beat boundary,จึงตอบความ,ตามธรรมดา,มา
ความข้างในให้คุมไว้เพียงสวน,10,10 syllables — likely shatter/miscount,ความข้างในให้คุมไว้เพียงสวน,,
เป็นสำนวนแล้วจะส่งไปโรงศาล,10,10 syllables — likely shatter/miscount,เป็นสำนวนแล้วจะส่งไปโรงศาล,,
จึงจะได้กรุณาเหมือนพาที,10,10 syllables — likely shatter/miscount,จึงจะได้กรุณาเหมือนพาที,,
ไม่อ้อมค้อมพูดจาเหมือนข้าหลวง,9,word straddles a beat boundary,ไม่อ้อมค้อม,พูดจาเหมือน,ข้าหลวง
สี่พี่เลี้ยงเอียงอายชม้ายชม้อย,9,word straddles a beat boundary,สี่พี่เลี้ยง,เอียงอายชม้าย,ชม้อย
นั่นอุบลคนนี้ศรีสุดา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นั่นอุบลคน,นี้ศรี,สุดา
ก็จะมีคนว่าชั่วฉันกลัวอาย,10,10 syllables — likely shatter/miscount,ก็จะมีคนว่าชั่วฉันกลัวอาย,,
ไม่อ้อมค้อมพูดเล่นเหมือนเช่นหมาย,9,word straddles a beat boundary,ไม่อ้อมค้อม,พูดเล่นเหมือน,เช่นหมาย
ครั้นฉันจะถวายตัวก็กลัวอยู่,10,10 syllables — likely shatter/miscount,ครั้นฉันจะถวายตัวก็กลัวอยู่,,
จะได้อยู่พึ่งบุญเหมือนมุลนาย,10,10 syllables — likely shatter/miscount,จะได้อยู่พึ่งบุญเหมือนมุลนาย,,
แกล้งหน่วงหนักพจนารถฉลาดเฉลียว,10,10 syllables — likely shatter/miscount,แกล้งหน่วงหนักพจนารถฉลาดเฉลียว,,
