wak,syllables,flag,a,b,c
ช่วยตรึกตราสมนึกเหมือนตรึกตรอง,9,word straddles a beat boundary,ช่วยตรึกตรา,สมนึกเหมือน,ตรึกตรอง
รมจักรนคราถึงธานี,8,word straddles a beat boundary,รมจักรนครา,ถึง,ธานี
เฝ้าที่นี่แล้วจะไปในลังกา,10,10 syllables — likely shatter/miscount,เฝ้าที่นี่แล้วจะไปในลังกา,,
ฝ่ายพระองค์ผู้ดำรงรมจักร,8,word straddles a beat boundary,ฝ่ายพระองค์,ผู้ดำรง,รมจักร
ขอบารมีทูลกระหม่อมจอมประชา,10,10 syllables — likely shatter/miscount,ขอบารมีทูลกระหม่อมจอมประชา,,
จะถือโกรธพูดไปเหมือนใส่สี,9,word straddles a beat boundary,จะถือโกรธ,พูดไปเหมือน,ใส่สี
กลับไปเป็นศัตรูตีบูรินทร์,10,10 syllables — likely shatter/miscount,กลับไปเป็นศัตรูตีบูรินทร์,,
เหมือนคนป่วยข้าศึกมันฮึกเหิม,10,10 syllables — likely shatter/miscount,เหมือนคนป่วยข้าศึกมันฮึกเหิม,,
กลัวแต่เห็นยังจะเป็นในไกกล,10,10 syllables — likely shatter/miscount,กลัวแต่เห็นยังจะเป็นในไกกล,,
พระทรงฟังจึงว่าสังฆราชแตก,9,word straddles a beat boundary,พระทรงฟัง,จึงว่าสังฆ,ราชแตก
ที่จะมารยาไปเห็นไม่มี,8,word straddles a beat boundary,ที่จะมารยา,ไป,เห็นไม่มี
ในสารศรีของฝรั่งมังคลา,8,word straddles a beat boundary,ในสารศรี,ของฝรั่ง,มังคลา
อันปัญญาตาเฒ่าเหมือนเข้ากรง,9,word straddles a beat boundary,อันปัญญา,ตาเฒ่าเหมือน,เข้ากรง
แม้นไม่สมปรารถนาแล้วล่ากลับ,11,11 syllables — likely shatter/miscount,แม้นไม่สมปรารถนาแล้วล่ากลับ,,
แกโกโรดีแต่หึงอย่าพึงถวิล,10,10 syllables — likely shatter/miscount,แกโกโรดีแต่หึงอย่าพึงถวิล,,
ขอฝากองค์นงลักษณ์อัคเรศ,9,word straddles a beat boundary,ขอฝากองค์,นงลักษณ์อัค,เรศ
ทั้งแก้วเกศกัลยารำภาสะหรี,11,11 syllables — likely shatter/miscount,ทั้งแก้วเกศกัลยารำภาสะหรี,,
กับโฉมฉายรำภาพงางอน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กับโฉมฉาย,รำภาพ,งางอน
รำภาสะหรีเกษรามาทั้งสอง,11,11 syllables — likely shatter/miscount,รำภาสะหรีเกษรามาทั้งสอง,,
ท้าวทศวงศ์ทรงราชยานรัตน์,8,word straddles a beat boundary,ท้าวทศวงศ์,ทรงราชยาน,รัตน์
พระมาตุรงค์ทรงวอจรจรัล,10,10 syllables — likely shatter/miscount,พระมาตุรงค์ทรงวอจรจรัล,,
พระกฤษณาตรีพลำสามพระองค์,9,word straddles a beat boundary,พระกฤษณา,ตรีพลำ,สามพระองค์
ได้เหมือนองค์พระนารายณ์ไวยกูณฐ์,10,10 syllables — likely shatter/miscount,ได้เหมือนองค์พระนารายณ์ไวยกูณฐ์,,
พอได้ฤกษ์โหรประนมบังคมทูล,10,10 syllables — likely shatter/miscount,พอได้ฤกษ์โหรประนมบังคมทูล,,
ในสาชลมากมายมีหลายพรรณ,9,word straddles a beat boundary,ในสาชล,มากมาย,มีหลายพรรณ
ฝูงปลาวาฬพ่นชลเป็นวนวง,9,word straddles a beat boundary,ฝูงปลาวาฬ,พ่นชล,เป็นวนวง
จะพรรณนาว่าไปในทะเล,9,word straddles a beat boundary,จะพรรณนา,ว่าไป,ในทะเล
ถึงดวงเนตรอัมพวันกระสันถวิล,10,10 syllables — likely shatter/miscount,ถึงดวงเนตรอัมพวันกระสันถวิล,,
อยู่เป็นโสดตามสบายเหมือนใจหวัง,10,10 syllables — likely shatter/miscount,อยู่เป็นโสดตามสบายเหมือนใจหวัง,,
แล้วลุกเข้าไปนั่งชิดพระกฤษณา,10,10 syllables — likely shatter/miscount,แล้วลุกเข้าไปนั่งชิดพระกฤษณา,,
แต่แล่นล่องมาในท้องมหาสมุทร,10,10 syllables — likely shatter/miscount,แต่แล่นล่องมาในท้องมหาสมุทร,,
ให้เรือเสาะตระเวนไปในกระสินธุ์,10,10 syllables — likely shatter/miscount,ให้เรือเสาะตระเวนไปในกระสินธุ์,,
