wak,syllables,flag,guess,a,b,c
จะกล่าวกลับจับเรื่องเมืองฝรั่ง,9,word straddles a beat boundary,จะกล่าวกลับ | จับเรื่อง | เมืองฝรั่ง,,,
ได้ครองคู่อยู่กับพระอภัยมณี,10,10 syllables — likely shatter/miscount,ได้ครองคู่อยู่กับพระอภัยมณี,,,
ฝันว่ากลืนดาวจระเข้ในเวหา,10,10 syllables — likely shatter/miscount,ฝันว่ากลืนดาวจระเข้ในเวหา,,,
ถือสายฟ้าฟาดนางเหมือนอย่างไฟ,9,word straddles a beat boundary,ถือสายฟ้า | ฟาดนางเหมือน | อย่างไฟ,,,
ต้องกินหยูกกินยาเลือดตาไหล,10,10 syllables — likely shatter/miscount,ต้องกินหยูกกินยาเลือดตาไหล,,,
พลางยั่วเย้าเฝ้าล้ออรไท,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลางยั่วเย้า | เฝ้าล้อ | อรไท,,,
ฝ่ายโฉมยงองค์ละเวงวัณฬาสมร,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมยงองค์ละเวงวัณฬาสมร,,,
ให้หาสองธิดารำภาสะหรี,10,10 syllables — likely shatter/miscount,ให้หาสองธิดารำภาสะหรี,,,
ซึ่งชมชื่นกลืนดาวจระเข้นั้น,9,word straddles a beat boundary,ซึ่งชมชื่น | กลืนดาวจระ | เข้นั้น,,,
จะจำให้ห่างเหเสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จะจำให้ | ห่างเห | เสนหา,,,
สังเวยไหว้ไทเทวโลกา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สังเวยไหว้ | ไทเทว | โลกา,,,
จงทำตามแบบฉบับระงับภัย,9,4-syllable word not at วรรค edge,จงทำตามแบบฉบับระงับภัย,,,
แต่ขวานฟ้ามาเหมือนแก้ววับแววไว,10,10 syllables — likely shatter/miscount,แต่ขวานฟ้ามาเหมือนแก้ววับแววไว,,,
ฝ่ายโฉมยงองค์วัณฬาสุดาสดับ,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมยงองค์วัณฬาสุดาสดับ,,,
จงคิดอ่านกันไปจัดตั้งบัตรพลี,10,10 syllables — likely shatter/miscount,จงคิดอ่านกันไปจัดตั้งบัตรพลี,,,
ล้มถวายกว่าจะเสร็จทั้งเจ็ดวัน,10,10 syllables — likely shatter/miscount,ล้มถวายกว่าจะเสร็จทั้งเจ็ดวัน,,,
บ้างปลูกศาลบ้างก็จัดทำบัตรพลี,10,10 syllables — likely shatter/miscount,บ้างปลูกศาลบ้างก็จัดทำบัตรพลี,,,
เครื่องพลีกรรมแกะทั้งแพะโค,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เครื่องพลีกรรม | แกะทั้ง | แพะโค,,,
ทั้งแปดด้านศาลเทวอิศโร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งแปดด้าน | ศาลเทว | อิศโร,,,
ครั้นเสร็จสรรพกลับมาเฝ้าเยาวราช,10,10 syllables — likely shatter/miscount,ครั้นเสร็จสรรพกลับมาเฝ้าเยาวราช,,,
กลัวแต่พระจะเสด็จออกไปด้วย,10,10 syllables — likely shatter/miscount,กลัวแต่พระจะเสด็จออกไปด้วย,,,
ทั้งสามองค์เจ้าจงกลับไปหลับนอน,10,10 syllables — likely shatter/miscount,ทั้งสามองค์เจ้าจงกลับไปหลับนอน,,,
ทั้งสามนางต่างคำนับแล้วกลับหลัง,10,10 syllables — likely shatter/miscount,ทั้งสามนางต่างคำนับแล้วกลับหลัง,,,
เมื่อคราวมัวผัวเหมือนหนึ่งขี้ผึ้งเคล้น,10,10 syllables — likely shatter/miscount,เมื่อคราวมัวผัวเหมือนหนึ่งขี้ผึ้งเคล้น,,,
ชะอ้อนอิงพระอภัยพิไรแถลง,10,10 syllables — likely shatter/miscount,ชะอ้อนอิงพระอภัยพิไรแถลง,,,
อย่าใกล้กรายกว่าจะเสร็จเพียงเจ็ดวัน,10,10 syllables — likely shatter/miscount,อย่าใกล้กรายกว่าจะเสร็จเพียงเจ็ดวัน,,,
เหมือนจากกันร้อยปีไม่มีสบาย,10,10 syllables — likely shatter/miscount,เหมือนจากกันร้อยปีไม่มีสบาย,,,
ขืนยั่วเย้ายามวิตกเพียงอกหัก,10,10 syllables — likely shatter/miscount,ขืนยั่วเย้ายามวิตกเพียงอกหัก,,,
จะกล่าวกลับจับเรื่องบาทหลวงเฒ่า,9,word straddles a beat boundary,จะกล่าวกลับ | จับเรื่อง | บาทหลวงเฒ่า,,,
