wak,syllables,flag,a,b,c
จะกลับกล่าวเสาวคนธ์วิมลสมร,11,11 syllables — likely shatter/miscount,จะกลับกล่าวเสาวคนธ์วิมลสมร,,
พระภูวนาถราษฎรได้ร้อนรน,10,10 syllables — likely shatter/miscount,พระภูวนาถราษฎรได้ร้อนรน,,
นางเสาวคนธ์อ้นอั้นให้ตันจิต,9,word straddles a beat boundary,นางเสาวคนธ์,อ้นอั้น,ให้ตันจิต
ฝ่ายอุปราชมาตยาเสนาใน,10,10 syllables — likely shatter/miscount,ฝ่ายอุปราชมาตยาเสนาใน,,
พระบิตุราชมาตุรงค์ทั้งวงศ์วาน,10,10 syllables — likely shatter/miscount,พระบิตุราชมาตุรงค์ทั้งวงศ์วาน,,
ฝ่ายวาโหมโสมนัสตรัสประภาษ,10,10 syllables — likely shatter/miscount,ฝ่ายวาโหมโสมนัสตรัสประภาษ,,
พระอัคนีนี้เราคิดเหมือนบิดา,11,11 syllables — likely shatter/miscount,พระอัคนีนี้เราคิดเหมือนบิดา,,
สาวนเสื้อขนสกุณีขี่ลีลา,10,10 syllables — likely shatter/miscount,สาวนเสื้อขนสกุณีขี่ลีลา,,
ทรงเสื้อเหลืองเครื่องสำหรับประดับประดา,10,10 syllables — likely shatter/miscount,ทรงเสื้อเหลืองเครื่องสำหรับประดับประดา,,
นางเสาวคนธ์อ้นอั้นตันฤทัย,9,word straddles a beat boundary,นางเสาวคนธ์,อ้นอั้น,ตันฤทัย
เลิศลบลือฤทธิ์ทุกทิศา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เลิศลบลือ,ฤทธิ์ทุก,ทิศา
ให้เรียบร้อยรักใคร่เหมือนใจหมาย,9,word straddles a beat boundary,ให้เรียบร้อย,รักใคร่เหมือน,ใจหมาย
ครั้นอุทัยไขสว่างนภางค์โพยม,10,10 syllables — likely shatter/miscount,ครั้นอุทัยไขสว่างนภางค์โพยม,,
ทรงชโลมสายสหัสนที,8,word straddles a beat boundary,ทรงชโลม,สายสหัส,นที
จะกล่าวพระหัสไชยฤทัยระทด,9,word straddles a beat boundary,จะกล่าวพระ,หัสไชยฤทัย,ระทด
จงคอยรับทัพผลึกรมจักร,8,word straddles a beat boundary,จงคอยรับ,ทัพผลึก,รมจักร
ให้ปราบศัตรูได้ดังใจหมาย,8,word straddles a beat boundary,ให้ปราบศัตรู,ได้,ดังใจหมาย
ที่นั่งครุฑบุษบกกระหนกกระหนาบ,11,11 syllables — likely shatter/miscount,ที่นั่งครุฑบุษบกกระหนกกระหนาบ,,
สรงสหัสธาราดั่งห่าฝน,9,4-syllable word not at วรรค edge,สรงสหัสธาราดั่งห่าฝน,,
ทั้งซ้ายขวาหน้าหลังเหมือนมังกร,9,word straddles a beat boundary,ทั้งซ้ายขวา,หน้าหลังเหมือน,มังกร
ยังไม่สุดสายทะเลระเหระหน,10,10 syllables — likely shatter/miscount,ยังไม่สุดสายทะเลระเหระหน,,
เกาะลังกานั้นเหมือนกับเรือนตาย,8,word straddles a beat boundary,เกาะลังกา,นั้นเหมือนกับ,เรือนตาย
ช่วยส่งท้ายไปให้ถึงเหมือนหนึ่งนึก,10,10 syllables — likely shatter/miscount,ช่วยส่งท้ายไปให้ถึงเหมือนหนึ่งนึก,,
เข้าแว่นแคว้นแดนลังกาเห็นฝรั่ง,10,10 syllables — likely shatter/miscount,เข้าแว่นแคว้นแดนลังกาเห็นฝรั่ง,,
ที่ตั้งคอยรายทางสล้างสลับ,9,word straddles a beat boundary,ที่ตั้งคอย,รายทางสล้าง,สลับ
อึกทึกถึงกันฟาดฟันแทง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อึกทึกถึง,กันฟาด,ฟันแทง
พวกการะเวกเอกกะระโถมฉะฟัน,10,10 syllables — likely shatter/miscount,พวกการะเวกเอกกะระโถมฉะฟัน,,
จนทินกรรุ่งรางสว่างวัน,9,word straddles a beat boundary,จนทินกร,รุ่งราง,สว่างวัน
มันเหมือนเกลือแกลบจะรุมแลกพุมเสน,11,11 syllables — likely shatter/miscount,มันเหมือนเกลือแกลบจะรุมแลกพุมเสน,,
แล้วสั่งเกณฑ์กลศึกเหมือนตรึกตรา,9,word straddles a beat boundary,แล้วสั่งเกณฑ์,กลศึกเหมือน,ตรึกตรา
เห็นดีพร้องพร้อมกันสรรเสริญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เห็นดีพร้อง,พร้อมกัน,สรรเสริญ
มาตีด่านชานสมุทรประทุษร้าย,10,10 syllables — likely shatter/miscount,มาตีด่านชานสมุทรประทุษร้าย,,
ให้กูฆ่าโคตรขโมยเสียโดยดี,10,10 syllables — likely shatter/miscount,ให้กูฆ่าโคตรขโมยเสียโดยดี,,
พวกการะเวกเลกเชลยกูเคยตี,10,10 syllables — likely shatter/miscount,พวกการะเวกเลกเชลยกูเคยตี,,
อันพวกพ้องของมึงเหมือนหนึ่งบ่าว,9,word straddles a beat boundary,อันพวกพ้อง,ของมึงเหมือน,หนึ่งบ่าว
ยังฮึกฮักหักโหมมาโรมราญ,9,word straddles a beat boundary,ยังฮึกฮัก,หักโหม,มาโรมราญ
เหมือนฝูงฟานจะเป็นภักษ์พยัคฆา,10,10 syllables — likely shatter/miscount,เหมือนฝูงฟานจะเป็นภักษ์พยัคฆา,,
จะแกล้งล่อให้เราไล่เหมือนใจหมาย,10,10 syllables — likely shatter/miscount,จะแกล้งล่อให้เราไล่เหมือนใจหมาย,,
จะจุดไฟเป็นสำคัญให้ควันกลบ,10,10 syllables — likely shatter/miscount,จะจุดไฟเป็นสำคัญให้ควันกลบ,,
