wak,syllables,flag,a,b,c
ใครเข้าไปติดตึงเหมือนตรึงตรา,9,word straddles a beat boundary,ใครเข้าไป,ติดตึงเหมือน,ตรึงตรา
เสียงฮึกฮักชักโซ่โล้ทะลึ่ง,9,word straddles a beat boundary,เสียงฮึกฮัก,ชักโซ่,โล้ทะลึ่ง
พรูกันกลุ้มคลุกคลีเข้าตีรัน,9,word straddles a beat boundary,พรูกันกลุ้ม,คลุกคลี,เข้าตีรัน
กลศึกตรึกตรองลองวิจารณ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กลศึกตรึก,ตรองลอง,วิจารณ์
ต่างเห็นพร้อมยอมจิตเหมือนคิดอ่าน,9,word straddles a beat boundary,ต่างเห็นพร้อม,ยอมจิตเหมือน,คิดอ่าน
เห็นศึกกลับออกไปได้ยังไม่หนี,10,10 syllables — likely shatter/miscount,เห็นศึกกลับออกไปได้ยังไม่หนี,,
ในบอกว่าข้าพเจ้ารำภาสะหรี,12,12 syllables — likely shatter/miscount,ในบอกว่าข้าพเจ้ารำภาสะหรี,,
ขยันยิ่งเสียกว่าชายนายทหาร,10,10 syllables — likely shatter/miscount,ขยันยิ่งเสียกว่าชายนายทหาร,,
แต่งขุนนางให้วิรุญกับกุนตัน,10,10 syllables — likely shatter/miscount,แต่งขุนนางให้วิรุญกับกุนตัน,,
ไปรักษาด่านไว้เหมือนใจหวัง,9,word straddles a beat boundary,ไปรักษา,ด่านไว้เหมือน,ใจหวัง
แต่ไม่รู้ว่าจะไปข้างใต้เหนือ,10,10 syllables — likely shatter/miscount,แต่ไม่รู้ว่าจะไปข้างใต้เหนือ,,
คิดแต่กลอนเพลงยาวเมื่อคราวครวญ,9,4-syllable word not at วรรค edge,คิดแต่กลอนเพลงยาวเมื่อคราวครวญ,,
เขาทูลเล่าการณรงค์ทรงพระสรวล,10,10 syllables — likely shatter/miscount,เขาทูลเล่าการณรงค์ทรงพระสรวล,,
บัดเดี๋ยวกลับพัดมาโกลาหล,9,word straddles a beat boundary,บัดเดี๋ยวกลับ,พัดมา,โกลาหล
แล้วกลับตรงลงเชิงเทินเนินลำเนา,10,10 syllables — likely shatter/miscount,แล้วกลับตรงลงเชิงเทินเนินลำเนา,,
เสียงเวยวายวิ่งไขว่กันไปมา,10,10 syllables — likely shatter/miscount,เสียงเวยวายวิ่งไขว่กันไปมา,,
แต่กลัวกันครั้นจะวางจะล้างผลาญ,10,10 syllables — likely shatter/miscount,แต่กลัวกันครั้นจะวางจะล้างผลาญ,,
จงวางกันสัญญาหยิบอาวุธ,9,word straddles a beat boundary,จงวางกัน,สัญญาหยิบ,อาวุธ
เสียดายรูปจูบเล่นเหมือนเช่นชู้,9,word straddles a beat boundary,เสียดายรูป,จูบเล่นเหมือน,เช่นชู้
นี่หญิงมารบสู้เหมือนชู้เมีย,9,word straddles a beat boundary,นี่หญิงมา,รบสู้เหมือน,ชู้เมีย
มิทันรับเรือกลพหลทหาร,9,word straddles a beat boundary,มิทันรับ,เรือกลพหล,ทหาร
แล้วพิศพักตร์ลักขณารำภาสะหรี,11,11 syllables — likely shatter/miscount,แล้วพิศพักตร์ลักขณารำภาสะหรี,,
จะรักใคร่กันให้เหมือนเพื่อนชีวี,10,10 syllables — likely shatter/miscount,จะรักใคร่กันให้เหมือนเพื่อนชีวี,,
อุปเท่ห์สารพัดนางตรัสสอน,8,word straddles a beat boundary,อุปเท่ห์สารพัด,นาง,ตรัสสอน
