wak,syllables,flag,a,b,c
ให้ตรวจตราว่าพหลพลไกร,8,word straddles a beat boundary,ให้ตรวจตรา,ว่าพหล,พลไกร
สำแดงฤทธิ์ขวิดพ่อเหมือนทรพี,10,10 syllables — likely shatter/miscount,สำแดงฤทธิ์ขวิดพ่อเหมือนทรพี,,
จนเราราชาภิเษกเป็นเอกองค์,9,4-syllable word not at วรรค edge,จนเราราชาภิเษกเป็นเอกองค์,,
บุรีรัตนาภาษาสยาม,9,word straddles a beat boundary,บุรีรัตนา,ภา,ษาสยาม
เลือกที่รักมักที่ชังทำดั่งนี้,8,word straddles a beat boundary,เลือกที่รักมักที่ชัง,ทำ,ดั่งนี้
ครั้นเกิดมึงจึงสมเด็จพระบิตุเรศ,10,10 syllables — likely shatter/miscount,ครั้นเกิดมึงจึงสมเด็จพระบิตุเรศ,,
มอบสมบัติพัสถานให้มารดา,9,4-syllable word not at วรรค edge,มอบสมบัติพัสถานให้มารดา,,
พระอัยกีอัยกาเอามาไว้,10,10 syllables — likely shatter/miscount,พระอัยกีอัยกาเอามาไว้,,
กลับตลบรบพุ่งเผากรุงไกร,9,word straddles a beat boundary,กลับตลบ,รบพุ่ง,เผากรุงไกร
กระทำล่วงเกินผิดจริตบุราณ,9,word straddles a beat boundary,กระทำล่วง,เกินผิดจริต,บุราณ
กลับหยิบผิดบิดาสารพัด,9,word straddles a beat boundary,กลับหยิบผิด,บิดา,สารพัด
มังคลาว่าเจ้าเข้าด้วยพ่อ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มังคลาว่า,เจ้าเข้า,ด้วยพ่อ
กลับไปช่วยการะเวกแกล้งเสกสรรค์,10,10 syllables — likely shatter/miscount,กลับไปช่วยการะเวกแกล้งเสกสรรค์,,
เหมือนบูราณท่านว่าเข้าพร้าเสียม,10,10 syllables — likely shatter/miscount,เหมือนบูราณท่านว่าเข้าพร้าเสียม,,
ความเจียมตัวกลัวมนุษย์ก็สุดเจียม,10,10 syllables — likely shatter/miscount,ความเจียมตัวกลัวมนุษย์ก็สุดเจียม,,
มังคลาถาโถมโจมประจัญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มังคลาถา,โถมโจม,ประจัญ
กลับกระโดดดิ้นสลัดมันกัดติด,10,10 syllables — likely shatter/miscount,กลับกระโดดดิ้นสลัดมันกัดติด,,
มังคลาม้าล้มลุกถลัน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มังคลาม้า,ล้มลุก,ถลัน
มังคลาตาลายข้างฝ่ายพี่,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มังคลาตา,ลายข้าง,ฝ่ายพี่
สุดสาครร้อนตัวกลัวพระขรรค์,9,word straddles a beat boundary,สุดสาคร,ร้อนตัวกลัว,พระขรรค์
พวกอยู่ค่ายฝ่ายฝรั่งมังคลา,8,word straddles a beat boundary,พวกอยู่ค่าย,ฝ่ายฝรั่ง,มังคลา
รีบกลับมาทูลถึงทัพที่รับรบ,10,10 syllables — likely shatter/miscount,รีบกลับมาทูลถึงทัพที่รับรบ,,
ต้องพระกฤษณาจนม้าสลบ,9,word straddles a beat boundary,ต้องพระกฤษณา,จน,ม้าสลบ
แต่สินสมุทรกับพระหัสไชย,8,word straddles a beat boundary,แต่สินสมุทร,กับ,พระหัสไชย
จะใคร่ไปรบฝรั่งมังคลา,8,word straddles a beat boundary,จะใคร่ไป,รบฝรั่ง,มังคลา
ทองแดงทองเหลืองเครื่องอาวุธยุทธนา,10,10 syllables — likely shatter/miscount,ทองแดงทองเหลืองเครื่องอาวุธยุทธนา,,
ใส่แหวนพิรอดปรอทกลมอมทุกคน,10,10 syllables — likely shatter/miscount,ใส่แหวนพิรอดปรอทกลมอมทุกคน,,
ฝ่ายศรีสุวรรณกฤษณาสุดสาคร,10,10 syllables — likely shatter/miscount,ฝ่ายศรีสุวรรณกฤษณาสุดสาคร,,
หน้าปราการกองทัพสลับสลอน,9,word straddles a beat boundary,หน้าปราการ,กองทัพสลับ,สลอน
พระขรรค์ร้อยสร้อยกระหวัดผูกหัตถ์พัน,10,10 syllables — likely shatter/miscount,พระขรรค์ร้อยสร้อยกระหวัดผูกหัตถ์พัน,,
ขี่ม้าสีมรกตผยดผยอง,10,10 syllables — likely shatter/miscount,ขี่ม้าสีมรกตผยดผยอง,,
พระบิตุเรศเล่าก็ถือเป็นฤๅษี,10,10 syllables — likely shatter/miscount,พระบิตุเรศเล่าก็ถือเป็นฤๅษี,,
ต้องรบสู้ผู้คนพลไพร่,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ต้องรบสู้,ผู้คน,พลไพร่
เหมือนเชลยลับชื่อไม่ลือชา,9,word straddles a beat boundary,เหมือนเชลย,ลับชื่อ,ไม่ลือชา
