wak,syllables,flag,a,b,c
จะกล่าวกลับจับเรื่องเมืองวายุภักษ์,10,10 syllables — likely shatter/miscount,จะกล่าวกลับจับเรื่องเมืองวายุภักษ์,,
ลงเลขคาดเดือนวันชันษา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ลงเลขคาด,เดือนวัน,ชันษา
พฤหัสบดีเป็นเดชาพยากรณ์,12,12 syllables — likely shatter/miscount,พฤหัสบดีเป็นเดชาพยากรณ์,,
ในเรื่องราวตามคัมภีร์ดีอักโข,10,10 syllables — likely shatter/miscount,ในเรื่องราวตามคัมภีร์ดีอักโข,,
นเรนทร์สูรจงทราบคำข้าทำนาย,10,10 syllables — likely shatter/miscount,นเรนทร์สูรจงทราบคำข้าทำนาย,,
ว่าวันนี้มีรับสั่งพระภูวไนย,10,10 syllables — likely shatter/miscount,ว่าวันนี้มีรับสั่งพระภูวไนย,,
หยิบผ้าแดงนุ่งออกมาแล้วปราศรัย,10,10 syllables — likely shatter/miscount,หยิบผ้าแดงนุ่งออกมาแล้วปราศรัย,,
ร่ำพิไรเหมือนอย่างจิตที่คิดหมาย,10,10 syllables — likely shatter/miscount,ร่ำพิไรเหมือนอย่างจิตที่คิดหมาย,,
พระราชบุตรสุดสวาทนิราศวัง,10,10 syllables — likely shatter/miscount,พระราชบุตรสุดสวาทนิราศวัง,,
จะกลับมาหรือจะสูญประยูรวงศ์,10,10 syllables — likely shatter/miscount,จะกลับมาหรือจะสูญประยูรวงศ์,,
แล้วมันทำสั่นงกเหมือนตกใจ,9,word straddles a beat boundary,แล้วมันทำ,สั่นงกเหมือน,ตกใจ
อีเจ้าเล่ห์เพทุบายได้หลายอย่าง,9,4-syllable word not at วรรค edge,อีเจ้าเล่ห์เพทุบายได้หลายอย่าง,,
แล้วก็กลับหวนคิดพิศวง,9,word straddles a beat boundary,แล้วก็กลับ,หวนคิด,พิศวง
ปรึกษากับอำมาตย์พระญาติวงศ์,9,word straddles a beat boundary,ปรึกษากับ,อำมาตย์พระญาติ,วงศ์
พลขันธ์คั่งคับสลับสลอน,9,word straddles a beat boundary,พลขันธ์,คั่งคับสลับ,สลอน
ที่แดงก่ำรุ้งร่วงเหมือนดวงดาว,9,word straddles a beat boundary,ที่แดงก่ำ,รุ้งร่วงเหมือน,ดวงดาว
จะจรลีไปอยู่ไหนไม่ได้ความ,10,10 syllables — likely shatter/miscount,จะจรลีไปอยู่ไหนไม่ได้ความ,,
ดั่งเราถามบอกไปเหมือนใจจง,9,word straddles a beat boundary,ดั่งเราถาม,บอกไปเหมือน,ใจจง
ฝ่ายเสนีได้สดับคำนับแถลง,10,10 syllables — likely shatter/miscount,ฝ่ายเสนีได้สดับคำนับแถลง,,
แล้วอารักษ์ลักษมีกลับที่อยู่,10,10 syllables — likely shatter/miscount,แล้วอารักษ์ลักษมีกลับที่อยู่,,
พิศดูเดือนเหมือนวงนลาฏนุช,10,10 syllables — likely shatter/miscount,พิศดูเดือนเหมือนวงนลาฏนุช,,
ยุพินพี่ปานฉะนี้จะหวนโหย,10,10 syllables — likely shatter/miscount,ยุพินพี่ปานฉะนี้จะหวนโหย,,
ไปขยายมิ่งมิตรเหมือนจิตปอง,9,word straddles a beat boundary,ไปขยาย,มิ่งมิตรเหมือน,จิตปอง
สักเจ็ดวันเหมือนประสงค์จำนงปอง,10,10 syllables — likely shatter/miscount,สักเจ็ดวันเหมือนประสงค์จำนงปอง,,
เรือก็ล่องมาในท้องกระแสสินธุ์,10,10 syllables — likely shatter/miscount,เรือก็ล่องมาในท้องกระแสสินธุ์,,
จะจรลีลงไปด่านชานชลา,10,10 syllables — likely shatter/miscount,จะจรลีลงไปด่านชานชลา,,
พลไพร่ล้อมรอบเป็นขอบคัน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลไพร่ล้อม,รอบเป็น,ขอบคัน
ฝ่ายพระจอมนครินทร์ปิ่นวายุภักษ์,10,10 syllables — likely shatter/miscount,ฝ่ายพระจอมนครินทร์ปิ่นวายุภักษ์,,
เธอให้จัดข้าวปลาผลาผล,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เธอให้จัด,ข้าวปลา,ผลาผล
