wak,syllables,flag,a,b,c
สามสิทธาเคร่งครัดมัสการ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สามสิทธา,เคร่งครัด,มัสการ
ช่างไม่กลัวบาปกรรมพูดร่ำไร,10,10 syllables — likely shatter/miscount,ช่างไม่กลัวบาปกรรมพูดร่ำไร,,
ไม่กลัวความครหานินทาหรือ,10,10 syllables — likely shatter/miscount,ไม่กลัวความครหานินทาหรือ,,
พระจะถือเอาแต่ได้เหมือนใจหมาย,10,10 syllables — likely shatter/miscount,พระจะถือเอาแต่ได้เหมือนใจหมาย,,
อย่าวุ่นวายเลยพระองค์เหมือนวงศ์วาน,10,10 syllables — likely shatter/miscount,อย่าวุ่นวายเลยพระองค์เหมือนวงศ์วาน,,
พระหักจิตให้ตรงเหมือนวงศ์วาน,9,word straddles a beat boundary,พระหักจิต,ให้ตรงเหมือน,วงศ์วาน
องค์พระกฤษณาเบียดเข้าเสียดสี,9,word straddles a beat boundary,องค์พระกฤษณา,เบียด,เข้าเสียดสี
นางป้องปัดมิให้ชิดสนิทสนม,10,10 syllables — likely shatter/miscount,นางป้องปัดมิให้ชิดสนิทสนม,,
จะขาดพรหมจรรย์ไปพระไม่กลัว,10,10 syllables — likely shatter/miscount,จะขาดพรหมจรรย์ไปพระไม่กลัว,,
จึ่งอุตส่าห์บรรพชิตเพราะคิดกลัว,10,10 syllables — likely shatter/miscount,จึ่งอุตส่าห์บรรพชิตเพราะคิดกลัว,,
พระกฤษณาว่าศรัทธาฉันสาธุ,10,10 syllables — likely shatter/miscount,พระกฤษณาว่าศรัทธาฉันสาธุ,,
เอาเชือกคาดผูกไว้เหมือนใจหมาย,9,word straddles a beat boundary,เอาเชือกคาด,ผูกไว้เหมือน,ใจหมาย
ไม่สมหมายก็คงวายชีวาลา,10,10 syllables — likely shatter/miscount,ไม่สมหมายก็คงวายชีวาลา,,
กันแสงพลางน้องจะพูดกลัวมุสา,10,10 syllables — likely shatter/miscount,กันแสงพลางน้องจะพูดกลัวมุสา,,
พระกฤษณาว่าไม่สึกนึกไฉน,10,10 syllables — likely shatter/miscount,พระกฤษณาว่าไม่สึกนึกไฉน,,
พระก็มิวางนางนงเยาว์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระก็มิ,วางนาง,นงเยาว์
เหมือนคำเหล่าชาวพาราเขาว่าไว้,10,10 syllables — likely shatter/miscount,เหมือนคำเหล่าชาวพาราเขาว่าไว้,,
พี่ก็ไม่เคยเห็นเหมือนเช่นกล่าว,9,word straddles a beat boundary,พี่ก็ไม่,เคยเห็นเหมือน,เช่นกล่าว
ฝนก็พราวพรำพร้อยปรอยปราย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ฝนก็พราว,พรำพร้อย,ปรอยปราย
ขึ้นเพ่นพิษที่ในกลางหว่างสิงขร,10,10 syllables — likely shatter/miscount,ขึ้นเพ่นพิษที่ในกลางหว่างสิงขร,,
ถึงโอสถใดจะเปรียบไม่เทียบถึง,10,10 syllables — likely shatter/miscount,ถึงโอสถใดจะเปรียบไม่เทียบถึง,,
ที่ตรึกตรองไว้อย่างไรทำให้เหมือน,10,10 syllables — likely shatter/miscount,ที่ตรึกตรองไว้อย่างไรทำให้เหมือน,,
ทำให้เหมือนก่อนเก่าแต่เยาว์มา,8,word straddles a beat boundary,ทำให้เหมือนก่อน,เก่า,แต่เยาว์มา
พระรีบรุดเร่งราชรถา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระรีบรุด,เร่งรา,ชรถา
ทั้งศึกเสือเหนือใต้เมืองใดมา,8,word straddles a beat boundary,ทั้งศึกเสือเหนือใต้,เมือง,ใดมา
แต่โฉมยงองค์เทพินมุนินน้อย,10,10 syllables — likely shatter/miscount,แต่โฉมยงองค์เทพินมุนินน้อย,,
ผลผลาอาหารทั้งหวานเปรี้ยว,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ผลผลาอา,หารทั้ง,หวานเปรี้ยว
ขอพระเดชช่วยระงับดับพิษสง,10,10 syllables — likely shatter/miscount,ขอพระเดชช่วยระงับดับพิษสง,,
ชฎากลีบจีบจัดกระหวัดพัน,9,word straddles a beat boundary,ชฎากลีบ,จีบจัดกระหวัด,พัน
พระกฤษณานำหน้ารถที่นั่ง,9,word straddles a beat boundary,พระกฤษณา,นำหน้า,รถที่นั่ง
ประสานหัตถ์มัสการเหนือเกศี,9,word straddles a beat boundary,ประสานหัตถ์,มัสการเหนือ,เกศี
จะถือพรหมจรรย์อีกก็ตามใจ,9,word straddles a beat boundary,จะถือพรหมจรรย์,อีก,ก็ตามใจ
พอสั่งเสร็จนางเสด็จจรจรัล,10,10 syllables — likely shatter/miscount,พอสั่งเสร็จนางเสด็จจรจรัล,,
พวกปรนนิบัติพร้อมกันก็หรรษา,9,word straddles a beat boundary,พวกปรนนิบัติ,พร้อมกัน,ก็หรรษา
ราษฎรได้สุขสนุกสบาย,9,word straddles a beat boundary,ราษฎร,ได้สุขสนุก,สบาย
พระฤๅษีทรงฟังสังรเสริญ,10,10 syllables — likely shatter/miscount,พระฤๅษีทรงฟังสังรเสริญ,,
นรินทร์รัตน์ขัตติยวงศ์ตามพงศา,10,10 syllables — likely shatter/miscount,นรินทร์รัตน์ขัตติยวงศ์ตามพงศา,,
ได้โอสถไว้สำหรับประคับประคอง,11,11 syllables — likely shatter/miscount,ได้โอสถไว้สำหรับประคับประคอง,,
พระไปเยี่ยมมิได้ขาดหมือนญาติวงศ์,11,11 syllables — likely shatter/miscount,พระไปเยี่ยมมิได้ขาดหมือนญาติวงศ์,,
เหมือนอกเราเล่าเมื่อยังกำลังหนุ่ม,10,10 syllables — likely shatter/miscount,เหมือนอกเราเล่าเมื่อยังกำลังหนุ่ม,,
พระตรองตรึกนึกแล้วเสด็จกลับ,9,word straddles a beat boundary,พระตรองตรึก,นึกแล้วเสด็จ,กลับ
พระทรงฟังอนุชาปรีชาฉลาด,10,10 syllables — likely shatter/miscount,พระทรงฟังอนุชาปรีชาฉลาด,,
เครื่องภิเษกเอกฉัตรจัดให้พร้อม,9,word straddles a beat boundary,เครื่องภิเษก,เอกฉัตร,จัดให้พร้อม
ทั้งเจ็ดวันกว่าจะเสร็จสำเร็จการ,10,10 syllables — likely shatter/miscount,ทั้งเจ็ดวันกว่าจะเสร็จสำเร็จการ,,
กับนางนักสนมนาฏในราชฐาน,10,10 syllables — likely shatter/miscount,กับนางนักสนมนาฏในราชฐาน,,
ลายสลักโปร่งปรุฉลุเฉลา,9,word straddles a beat boundary,ลายสลัก,โปร่งปรุฉลุ,เฉลา
ทรงมงกุฎบุษราจินดาประดับ,10,10 syllables — likely shatter/miscount,ทรงมงกุฎบุษราจินดาประดับ,,
มาพร้อมที่ปราสาทราชวัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มาพร้อมที่,ปราสาท,ราชวัง
ขึ้นกองรัตน์ราชัยเหมือนใจหวัง,9,word straddles a beat boundary,ขึ้นกองรัตน์,ราชัยเหมือน,ใจหวัง
พร้อมพระญาติวงศ์สิ้นทั้งหลาย,8,word straddles a beat boundary,พร้อมพระญาติ,วงศ์,สิ้นทั้งหลาย
เสกน้ำมนต์บัดพลีพลีกรรม,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เสกน้ำมนต์,บัดพลี,พลีกรรม
ร่วมเอกฉัตรเดียวกันสรรเสริญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ร่วมเอกฉัตร,เดียวกัน,สรรเสริญ
พระคิดจัดจะให้ไปครองไอศวรรย์,10,10 syllables — likely shatter/miscount,พระคิดจัดจะให้ไปครองไอศวรรย์,,
บิดาช่วยอวยสวัสดิ์พพิพัฒนผล,11,11 syllables — likely shatter/miscount,บิดาช่วยอวยสวัสดิ์พพิพัฒนผล,,
พระอัยกาอัยกีมีพระคุณ,10,10 syllables — likely shatter/miscount,พระอัยกาอัยกีมีพระคุณ,,
จงฟูมฟักกรุณาเมตตาเหมือน,10,10 syllables — likely shatter/miscount,จงฟูมฟักกรุณาเมตตาเหมือน,,
รักให้เหมือนชนนีจะดีครัน,10,10 syllables — likely shatter/miscount,รักให้เหมือนชนนีจะดีครัน,,
พระกฤษณาว่าอย่าทรงพระวิตก,10,10 syllables — likely shatter/miscount,พระกฤษณาว่าอย่าทรงพระวิตก,,
เหมือนมารดรเกิดเกล้าพงศ์เผ่าพันธุ์,10,10 syllables — likely shatter/miscount,เหมือนมารดรเกิดเกล้าพงศ์เผ่าพันธุ์,,
ฉนากฉลามตามกันเป็นคู่คู่,9,word straddles a beat boundary,ฉนากฉลาม,ตามกัน,เป็นคู่คู่
บ้างผุดดำกลอกกลับสลับสลอน,9,word straddles a beat boundary,บ้างผุดดำ,กลอกกลับสลับ,สลอน
เหล่าปลาวาฬฟูฟ่องในท้องสมุทร,10,10 syllables — likely shatter/miscount,เหล่าปลาวาฬฟูฟ่องในท้องสมุทร,,
มันโตสุดสาหัสกว่ามัจฉา,9,word straddles a beat boundary,มันโตสุด,สาหัสกว่า,มัจฉา
พิศดูหน้าเหมือนกับนางแต่หางมี,10,10 syllables — likely shatter/miscount,พิศดูหน้าเหมือนกับนางแต่หางมี,,
เห็นสุดแล้วจริงหนาเหมือนว่าขาน,9,word straddles a beat boundary,เห็นสุดแล้ว,จริงหนาเหมือน,ว่าขาน
พระได้ใหม่คงเหมือนคำที่รำพัน,10,10 syllables — likely shatter/miscount,พระได้ใหม่คงเหมือนคำที่รำพัน,,
ล้วนเครื่องทิพย์หยิบประทานทั้งหวานมัน,10,10 syllables — likely shatter/miscount,ล้วนเครื่องทิพย์หยิบประทานทั้งหวานมัน,,
เป็นละเมาะน่าชมเหมือนนมสาว,10,10 syllables — likely shatter/miscount,เป็นละเมาะน่าชมเหมือนนมสาว,,
มีพุ่มไม้ปลายเกรียนเหมือนเขียนวาด,9,word straddles a beat boundary,มีพุ่มไม้,ปลายเกรียนเหมือน,เขียนวาด
ในสาชลทะเลลมยมนา,10,10 syllables — likely shatter/miscount,ในสาชลทะเลลมยมนา,,
จะเข้าปล้นเรือใหญ่เหมือนใจนึก,9,word straddles a beat boundary,จะเข้าปล้น,เรือใหญ่เหมือน,ใจนึก
พระกฤษณาไล่พหลพลทหาร,10,10 syllables — likely shatter/miscount,พระกฤษณาไล่พหลพลทหาร,,
เห็นโยธากลอกกลับกันสับสน,8,word straddles a beat boundary,เห็นโยธา,กลอกกลับกัน,สับสน
บ้างก็โยนขอกระชากสับปากเรือ,10,10 syllables — likely shatter/miscount,บ้างก็โยนขอกระชากสับปากเรือ,,
สู้กรากกรำลำบากด้วยยากใจ,9,word straddles a beat boundary,สู้กรากกรำ,ลำบาก,ด้วยยากใจ
มอบสมบัติพัสถานทั้งเงินทอง,9,4-syllable word not at วรรค edge,มอบสมบัติพัสถานทั้งเงินทอง,,
ขอเป็นข้ากว่าจะตายวายชีวี,10,10 syllables — likely shatter/miscount,ขอเป็นข้ากว่าจะตายวายชีวี,,
เราก็ควรจะเป็นข้าเหมือนว่ากล่าว,10,10 syllables — likely shatter/miscount,เราก็ควรจะเป็นข้าเหมือนว่ากล่าว,,
มีประมาณอยู่เท่าไรในบาญชี,10,10 syllables — likely shatter/miscount,มีประมาณอยู่เท่าไรในบาญชี,,
จะยกตามข้ามทะลไปรมจักร,10,10 syllables — likely shatter/miscount,จะยกตามข้ามทะลไปรมจักร,,
