wak,syllables,flag,a,b,c
แล้วซ้ำหยิบทิพรสให้ซดชิม,9,word straddles a beat boundary,แล้วซ้ำหยิบ,ทิพรส,ให้ซดชิม
โหรคำนับรับประทานสำราญใจ,10,10 syllables — likely shatter/miscount,โหรคำนับรับประทานสำราญใจ,,
ถึงเวลาเคยว่าราชการ,8,word straddles a beat boundary,ถึงเวลา,เคยว่าราชการ,
ออกวิมานบุษบกกระจกบัง,10,10 syllables — likely shatter/miscount,ออกวิมานบุษบกกระจกบัง,,
กลับตลบเอาด้วยเล่ห์เสน่หา,10,10 syllables — likely shatter/miscount,กลับตลบเอาด้วยเล่ห์เสน่หา,,
พระนุชนาถเสนหารำภาสะหรี,10,10 syllables — likely shatter/miscount,พระนุชนาถเสนหารำภาสะหรี,,
สั่งให้ทัพกลับมาพาราผลึก,10,10 syllables — likely shatter/miscount,สั่งให้ทัพกลับมาพาราผลึก,,
กลศึกลึกล้ำเป็นสำคัญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กลศึกลึก,ล้ำเป็น,สำคัญ
ยิ่งแค้นใจสินสมุทรเหมือนบุตรา,10,10 syllables — likely shatter/miscount,ยิ่งแค้นใจสินสมุทรเหมือนบุตรา,,
มันชักพาเอาไปติดกับบิตุรงค์,10,10 syllables — likely shatter/miscount,มันชักพาเอาไปติดกับบิตุรงค์,,
จะบอกองค์อัคเรศเกษรา,10,10 syllables — likely shatter/miscount,จะบอกองค์อัคเรศเกษรา,,
แจ้งพระอัคเรศความตามอักษร,10,10 syllables — likely shatter/miscount,แจ้งพระอัคเรศความตามอักษร,,
พระชนนีขี้หึงเหมือนหนึ่งลูก,10,10 syllables — likely shatter/miscount,พระชนนีขี้หึงเหมือนหนึ่งลูก,,
อีละเวงนั้นและลูกทำหยูกยา,10,10 syllables — likely shatter/miscount,อีละเวงนั้นและลูกทำหยูกยา,,
บุษบกกระจกกระจังบนหลังคา,11,11 syllables — likely shatter/miscount,บุษบกกระจกกระจังบนหลังคา,,
พระอัยกีตามส่งมาลงแพ,9,word straddles a beat boundary,พระอัยกี,ตามส่ง,มาลงแพ
ฉนากฉลามตามคลื่นนับหมื่นพัน,9,word straddles a beat boundary,ฉนากฉลาม,ตามคลื่น,นับหมื่นพัน
ต่างเคล้าเพื่อนเหมือนมนุษย์สุดอดสู,10,10 syllables — likely shatter/miscount,ต่างเคล้าเพื่อนเหมือนมนุษย์สุดอดสู,,
เป็นคู่คู่เขาไม่พลัดกระจัดกระจาย,10,10 syllables — likely shatter/miscount,เป็นคู่คู่เขาไม่พลัดกระจัดกระจาย,,
ไม่มีมิตรเหมือนมัจฉาปลาทั้งหลาย,10,10 syllables — likely shatter/miscount,ไม่มีมิตรเหมือนมัจฉาปลาทั้งหลาย,,
พอเย็นย่ำค่ำพลบดูกลบกลุ้ม,10,10 syllables — likely shatter/miscount,พอเย็นย่ำค่ำพลบดูกลบกลุ้ม,,
ท้องฟ้าคลุ้มคล้ำหมดสลดสลัว,9,word straddles a beat boundary,ท้องฟ้าคลุ้ม,คล้ำหมดสลด,สลัว
แสนวิตกแต่ชั้นหลับก็กลับฝัน,10,10 syllables — likely shatter/miscount,แสนวิตกแต่ชั้นหลับก็กลับฝัน,,
กรมการกราบก้มประนมกร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กรมการกราบ,ก้มประ,นมกร
