wak,syllables,flag,a,b,c
เสียงสนั่นลั่นเลื่อนสะเทื้อนสะทึก,9,word straddles a beat boundary,เสียงสนั่น,ลั่นเลื่อนสะเทื้อน,สะทึก
บ้างสวนทัพคอยแทงล้วนแข็งขัน,10,10 syllables — likely shatter/miscount,บ้างสวนทัพคอยแทงล้วนแข็งขัน,,
บ้างปล่อยตับทัพชนวนบ้างสวนควัน,10,10 syllables — likely shatter/miscount,บ้างปล่อยตับทัพชนวนบ้างสวนควัน,,
พระมังคลาให้พะว้าพะวังใจ,9,4-syllable word not at วรรค edge,พระมังคลาให้พะว้าพะวังใจ,,
เรือผลึกรมจักรนัครา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เรือผลึก,รมจักร,นัครา
กับทั้งวายุพัฒน์หัสกัน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",กับทั้งวา,ยุพัฒน์,หัสกัน
เดี๋ยวนี้ใหญ่อย่าให้เป็นเหมือนเช่นนั้น,10,10 syllables — likely shatter/miscount,เดี๋ยวนี้ใหญ่อย่าให้เป็นเหมือนเช่นนั้น,,
อุตสาหะจะได้สมอารมณ์หมาย,10,10 syllables — likely shatter/miscount,อุตสาหะจะได้สมอารมณ์หมาย,,
เที่ยวขวนขวายร่ายเร่พเนจร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เที่ยวขวนขวาย,ร่ายเร่,พเนจร
ทั่วประเทศเกรงจบสยบสยอน,9,word straddles a beat boundary,ทั่วประเทศ,เกรงจบสยบ,สยอน
พระฟังเตือนเหมือนหนึ่งหยิบน้ำทิพรส,11,11 syllables — likely shatter/miscount,พระฟังเตือนเหมือนหนึ่งหยิบน้ำทิพรส,,
เห็นดีหมดอตส่าห์นั่งดูหนังสือ,10,10 syllables — likely shatter/miscount,เห็นดีหมดอตส่าห์นั่งดูหนังสือ,,
ไม่เริศร้างห่างเหเสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ไม่เริศร้าง,ห่างเห,เสนหา
เสด็จไปเขาสิงคุตรที่กุฎี,10,10 syllables — likely shatter/miscount,เสด็จไปเขาสิงคุตรที่กุฎี,,
มิใช่กิจผิดระบอบไม่ตอบสนอง,10,10 syllables — likely shatter/miscount,มิใช่กิจผิดระบอบไม่ตอบสนอง,,
แล้วนิ่งนั่งหวังจะเลยเสวยสวรรค์,10,10 syllables — likely shatter/miscount,แล้วนิ่งนั่งหวังจะเลยเสวยสวรรค์,,
จงนึกในไตรลักษณ์มรรคญาณ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จงนึกใน,ไตรลักษณ์,มรรคญาณ
ตรวจวารินรำพันสรรเสริญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ตรวจวาริน,รำพัน,สรรเสริญ
พระกฤษณาสาธุสะพระนักสิทธ์,10,10 syllables — likely shatter/miscount,พระกฤษณาสาธุสะพระนักสิทธ์,,
พระกฤษณาว่าพระตรีพลำจ๊ะ,9,word straddles a beat boundary,พระกฤษณา,ว่าพระ,ตรีพลำจ๊ะ
ตามจำนงพระจะไปตามความประสงค์,10,10 syllables — likely shatter/miscount,ตามจำนงพระจะไปตามความประสงค์,,
สามดาบสอดยิ้มพริ้มพระพักตร์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สามดาบสอด,ยิ้มพริ้ม,พระพักตร์
ชฎาทรงวงกระหวัดจีบจัดยอด,10,10 syllables — likely shatter/miscount,ชฎาทรงวงกระหวัดจีบจัดยอด,,
องค์พี่สาวก้าวจรจรัลเทวัญรอง,11,11 syllables — likely shatter/miscount,องค์พี่สาวก้าวจรจรัลเทวัญรอง,,
สานุศิษย์กฤษณาเป็นสารถี,10,10 syllables — likely shatter/miscount,สานุศิษย์กฤษณาเป็นสารถี,,
พระกฤษณาหาดอกรักหักกิ่งโศก,10,10 syllables — likely shatter/miscount,พระกฤษณาหาดอกรักหักกิ่งโศก,,
ถวายตรงองค์เทพเทพิน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ถวายตรง,องค์เทพ,เทพิน
ชะโงกคอยจ้องหัตถ์ริมรัถา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ชะโงกคอย,จ้องหัตถ์,ริมรัถ
ไม่กลัวบาปบ้างดอกหรือพระฤๅษี,10,10 syllables — likely shatter/miscount,ไม่กลัวบาปบ้างดอกหรือพระฤๅษี,,
มาตั้งเรียบเรียงเรียงเหมือนเลี้ยงสงฆ์,9,word straddles a beat boundary,มาตั้งเรียบ,เรียงเรียงเหมือน,เลี้ยงสงฆ์
พร้อมสุรางค์นางนาฏพระญาติวงศ์,9,word straddles a beat boundary,พร้อมสุรางค์,นางนาฏพระญาติ,วงศ์
กระแอมไอให้กระดากอายปากคอ,10,10 syllables — likely shatter/miscount,กระแอมไอให้กระดากอายปากคอ,,
เสียงสั่นแปร่งแห้งแหบเหมือนแสบคอ,9,word straddles a beat boundary,เสียงสั่นแปร่ง,แห้งแหบเหมือน,แสบคอ
